subject,run,trial,n_epochs,has_fixation,has_letters,has_wm_period,has_left_click,has_right_click,has_correct_feedback,has_incorrect_feedback,n_letters,event_sequence,feedback,response_type,complete_trial,event_source,memory_cond,remember_count,ignore_count,remember_letters,ignore_letters,probe_type,probe_letter,behavior_outcome,behavior_label,alignment_status
sub-006,run-01,1,13,1,1,0,1,1,0,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|left_click|show_letter|show_letter|show_letter|show_letter|show_letter|right_click|right_click,unknown,right_click,0,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-006,run-01,2,85,1,1,1,1,1,1,0,78,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|show_letter|show_letter|show_letter|show_letter|left_click|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|right_click|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|show_letter|show_letter|show_letter|right_click|sound_beep|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter,correct,right_click,1,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-008,run-01,1,4,1,0,0,0,1,0,1,0,show_cross|right_click|sound_buzz|right_click,incorrect,right_click,0,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-014,run-01,11,4,1,0,0,0,1,0,1,0,show_cross|right_click|sound_buzz|right_click,incorrect,right_click,0,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-014,run-02,3,14,1,1,1,0,1,1,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|right_click|sound_beep|right_click,correct,right_click,1,BIDS,3,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-014,run-02,8,14,1,1,1,1,1,1,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|left_click|sound_beep|right_click,correct,right_click,1,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-014,run-03,22,14,1,1,1,1,1,1,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|left_click|sound_beep|right_click,correct,right_click,1,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-017,run-03,3,10,1,1,1,1,1,1,0,5,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|right_click|sound_beep|left_click,correct,right_click,1,BIDS,0,0,0,,,,,unknown,,PARTIAL
sub-017,run-03,5,17,1,1,0,1,1,1,0,11,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|right_click|sound_beep|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|left_click|sound_beep|left_click,correct,right_click,0,BIDS,0,0,0,,,,,unknown,,PARTIAL
sub-022,run-01,22,13,1,1,1,0,1,1,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|right_click|sound_beep,correct,right_click,1,BIDS,7,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-022,run-02,14,13,1,1,1,0,1,1,0,9,show_cross|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_letter|show_dash|show_letter|right_click|sound_beep,correct,right_click,1,BIDS,3,0,0,,,,,unknown,remembered_incorrect,PARTIAL
sub-022,run-06,6,4,1,0,0,1,1,0,1,0,show_cross|right_click|sound_buzz|left_click,incorrect,right_click,0,BIDS,0,0,0,,,,,unknown,remembered_incorrect,PARTIAL
