subject,run,trials,aligned,partial,valid_labels
sub-001,run-01,12,12,0,12
sub-001,run-02,17,17,0,17
sub-002,run-01,16,16,0,16
sub-002,run-02,20,20,0,20
sub-002,run-03,20,20,0,20
sub-002,run-04,20,20,0,20
sub-003,run-01,22,22,0,22
sub-003,run-02,19,19,0,19
sub-003,run-03,24,24,0,24
sub-003,run-04,20,20,0,20
sub-004,run-01,9,9,0,9
sub-004,run-03,23,23,0,23
sub-004,run-04,25,25,0,25
sub-005,run-01,24,24,0,24
sub-005,run-02,25,25,0,25
sub-005,run-03,25,25,0,25
sub-005,run-04,25,25,0,25
sub-006,run-01,2,0,2,2
sub-006,run-02,2,2,0,2
sub-007,run-01,2,2,0,2
sub-007,run-02,7,7,0,7
sub-007,run-03,6,6,0,6
sub-007,run-04,10,10,0,10
sub-008,run-01,14,13,1,14
sub-008,run-02,17,17,0,17
sub-008,run-03,21,21,0,21
sub-008,run-04,23,23,0,23
sub-009,run-01,24,24,0,24
sub-009,run-02,22,22,0,22
sub-009,run-03,21,21,0,21
sub-009,run-04,25,25,0,25
sub-010,run-01,14,14,0,14
sub-010,run-02,8,8,0,8
sub-010,run-03,7,7,0,7
sub-010,run-04,5,5,0,5
sub-011,run-01,25,25,0,25
sub-011,run-02,24,24,0,24
sub-011,run-03,25,25,0,25
sub-011,run-04,25,25,0,25
sub-012,run-01,4,4,0,4
sub-012,run-02,2,2,0,2
sub-012,run-03,4,4,0,4
sub-014,run-01,21,20,1,21
sub-014,run-02,21,19,2,21
sub-014,run-03,23,22,1,23
sub-015,run-01,3,3,0,3
sub-015,run-02,2,2,0,2
sub-015,run-03,3,3,0,3
sub-016,run-01,3,3,0,3
sub-016,run-02,4,4,0,4
sub-016,run-03,4,4,0,4
sub-017,run-01,7,7,0,7
sub-017,run-02,12,12,0,12
sub-017,run-03,11,9,2,9
sub-018,run-01,18,18,0,18
sub-018,run-02,25,25,0,25
sub-018,run-03,25,25,0,25
sub-019,run-01,24,24,0,24
sub-019,run-02,24,24,0,24
sub-019,run-03,22,22,0,22
sub-020,run-01,25,25,0,25
sub-020,run-02,22,22,0,22
sub-020,run-03,24,24,0,24
sub-021,run-01,21,21,0,21
sub-021,run-02,25,25,0,25
sub-021,run-03,23,23,0,23
sub-022,run-01,22,21,1,22
sub-022,run-02,14,13,1,14
sub-022,run-03,25,25,0,25
sub-022,run-04,25,25,0,25
sub-022,run-05,25,25,0,25
sub-022,run-06,25,24,1,25
sub-023,run-01,25,25,0,25
sub-023,run-02,25,25,0,25
sub-023,run-03,25,25,0,25
sub-023,run-04,25,25,0,25
sub-023,run-05,25,25,0,25
sub-024,run-01,3,3,0,3
sub-024,run-02,2,2,0,2
sub-024,run-03,1,1,0,1
