,delta_abs,theta_abs,alpha_abs,beta_abs,gamma_abs,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel,theta_alpha_ratio,theta_beta_ratio,alpha_beta_ratio,delta_theta_ratio,theta_alpha_beta_ratio,delta_frontal,theta_frontal,alpha_frontal,beta_frontal,gamma_frontal,delta_central,theta_central,alpha_central,beta_central,gamma_central,delta_parietal,theta_parietal,alpha_parietal,beta_parietal,gamma_parietal,delta_occipital,theta_occipital,alpha_occipital,beta_occipital,gamma_occipital,delta_temporal,theta_temporal,alpha_temporal,beta_temporal,gamma_temporal,theta_alpha_frontal_ratio,alpha_beta_frontal_ratio,theta_alpha_central_ratio,alpha_beta_central_ratio,theta_alpha_parietal_ratio,alpha_beta_parietal_ratio,theta_alpha_occipital_ratio,alpha_beta_occipital_ratio,theta_alpha_temporal_ratio,alpha_beta_temporal_ratio,delta_frontoparietal_diff,delta_frontoparietal_ratio,theta_frontoparietal_diff,theta_frontoparietal_ratio,alpha_frontoparietal_diff,alpha_frontoparietal_ratio,beta_frontoparietal_diff,beta_frontoparietal_ratio,gamma_frontoparietal_diff,gamma_frontoparietal_ratio
delta_abs,1.0,0.32410586268208025,0.17026794165817943,0.20094622361290473,0.13625210167131913,0.4005812503070092,-0.21004052414240737,-0.226497216753143,-0.26557014421511926,-0.1981614324397194,0.273667228483028,0.26724388909626945,0.0756658809666179,0.17386687281235652,0.30864228784675624,0.982162349344848,0.414758035350238,0.1986257446760398,0.14209136651048995,0.10524609357386842,0.8741320138924231,0.1601670709642379,0.11211183682821502,0.12976842758016816,0.06889154922035347,0.8960984628385236,0.15355019233544762,0.13211380210764684,0.1870859208400709,0.10400427953929375,0.575660313869617,0.23970238041230188,0.12860268022356364,0.22845600661113036,0.12322843466193141,0.6914097417673342,0.29727530647379674,0.17217205939716432,0.19657329482984504,0.13098584158505358,0.295292971262013,0.08788742815175957,0.1600999281710581,0.055748264640991876,0.16281689234980942,0.035980560668761125,0.1208901590086335,0.03832081896473118,0.17642149295821155,0.013469727611016368,0.914969070654447,0.2685934328075779,0.2053782392186578,0.2990742100373631,-0.08978698160980478,0.12856939461143618,-0.008242955156986918,-0.06227379401297651,0.0799142619507117,-0.036615204122368426
theta_abs,0.32410586268208025,1.0,0.5271274601704691,0.34826472197402525,0.1532753682339998,-0.22609977035302792,0.515525589671194,0.012221507573426126,-0.3322495960407249,-0.2906131586075812,0.3176318880695784,0.7848678198213522,0.4069418173282094,-0.052661751285952435,0.45480211767282436,0.29355792875798964,0.9571545023026516,0.5986514439339935,0.24639549477530354,0.12879536808438943,0.40586085414548795,0.8529401905113106,0.5085907297860656,0.2998646058636592,0.05632900531025174,0.4260989014617512,0.9399385245202591,0.4518345776917194,0.3666768840548163,0.12712575626372324,0.1545894676004145,0.7915304138366294,0.2773763212727117,0.3060000822861755,0.13636361737912356,0.31699238337454777,0.801517042637623,0.47590281087808384,0.24881815054987913,0.10231004502259691,0.28778452295977275,0.40317091566184493,0.1979778895555163,0.36227981525966885,0.2871192954469629,0.32499407745274467,0.1884013987895553,0.2103749494450808,0.17810498501769698,0.26605749243580296,0.18784992655092062,-0.019651938251398937,-0.5268087080682641,-0.010239282870735248,-0.3444394363138956,-0.010731315000405932,-0.05133312452465255,-0.11769985565383875,0.09784492358934684,-0.04768311806749685
alpha_abs,0.17026794165817943,0.5271274601704691,1.0,0.4951925527510992,0.2446639583819727,-0.3285183865271157,0.07807350504051853,0.5393384200023004,-0.26489634583894806,-0.2671386519824336,-0.2036074767591869,0.2847034577930571,0.745901730789394,-0.04550745125030056,-0.1233803529052634,0.14628273460759553,0.4402070638297259,0.9398186360312232,0.36285697640477493,0.20100897436470838,0.2426408490699184,0.4875961747432423,0.7801428790643054,0.44308046931777756,0.130110366582306,0.26096677625276676,0.5392117586948096,0.9716477993104506,0.5254506142132874,0.2277728365102559,0.07451083794748813,0.5062651669709689,0.8311666156680022,0.5156487283159983,0.2353469832584223,0.17949391847041687,0.480142800004559,0.7473404738571379,0.39359885860549,0.2234425373819492,-0.18020322650908455,0.6241763750928905,-0.18519286795033052,0.5407012988010511,-0.1779295119171786,0.6836727210566265,-0.13178396682911667,0.5528473565677869,-0.14830270224970424,0.4043527561268485,0.06729339841335877,-0.036496136391772745,-0.42501730895001283,-0.1329953702959514,-0.9017035583218188,-0.18506577024652196,-0.06285185669748532,-0.12452231364371162,0.14300990543479003,-0.05975354492824299
beta_abs,0.20094622361290473,0.34826472197402525,0.4951925527510992,1.0,0.7266123471773264,-0.1664750286111201,-0.0007692968588209228,0.19049879777243658,0.16804718139653213,-0.05336281663498463,-0.12105543581948022,-0.043174000321042426,0.046802235736689714,-0.0300694589210274,-0.11962955091633355,0.17282638211535012,0.31608793877685015,0.497281214871081,0.8855357915088944,0.6465255944507697,0.29579571306006847,0.3480650278918821,0.43767017235156785,0.8191535483317023,0.4655215343217291,0.24556171650899625,0.2973927649987623,0.4371235310424184,0.8028459382823891,0.5296368477293909,0.06530392710371834,0.25502930362523313,0.3539485553161338,0.6952979430773407,0.4278027727920608,0.2576540882564133,0.3552957022383868,0.45685864997298803,0.7681910724603412,0.579866566033743,-0.10512423056171187,-0.0036874848840831656,-0.11635705594885747,0.09300873351452629,-0.11447595458956117,0.10591341216784572,-0.07954907276868035,0.07176849165312746,-0.10439235719565365,-0.01858871512508892,0.11345789726889115,0.0602182254335203,-0.15173789262059434,-0.00947555395101572,-0.371155581021509,-0.05823975561644604,0.266890204741166,0.005904491810027488,0.5269802802865328,0.07653623534429986
gamma_abs,0.13625210167131913,0.1532753682339998,0.2446639583819727,0.7266123471773264,1.0,-0.06442209568801047,-0.052605579519809195,0.06303539731942524,0.11590414050924079,0.15739316505057846,-0.07352754661083351,-0.06555110731641745,-0.02761410996756787,-0.0016740175620577663,-0.08363924579534193,0.12150789653826186,0.145187810125845,0.25726832921878595,0.7525576844538377,0.9337149044412283,0.2268087483037324,0.15047787058093606,0.22325057497416378,0.6250038786100423,0.7640378825915033,0.13404513975233928,0.12265944095707286,0.20634668378832854,0.39665973901582335,0.6297552790385729,0.04851478679993504,0.1047385278607908,0.1731362449783546,0.3134849767417734,0.4362237743778129,0.14482306732325678,0.15059715712306546,0.23508000975257717,0.5820471474609551,0.7056510556266066,-0.0650357575784073,-0.07213804149970816,-0.07921896245803095,0.04951599374892606,-0.06772224339157004,0.07825889739626701,-0.03578867820688855,0.04360141676624673,-0.06390809434553985,-0.04585884143452284,0.10065171315259297,0.09003892586576887,-0.04587177803075828,0.023272705299065215,-0.16477192519589073,0.00539939758222114,0.4771642077294385,0.10660784673166854,0.8056808343385568,0.17963188270177521
delta_rel,0.4005812503070092,-0.22609977035302792,-0.3285183865271157,-0.1664750286111201,-0.06442209568801047,1.0,-0.5986406572294357,-0.6863965886294418,-0.2959635248211336,-0.2114535857941307,0.18257630434196295,-0.12727694780389304,-0.3368888098148249,0.28741172671838067,0.132646492317818,0.38490938428131444,-0.1449357383770142,-0.3201954906207397,-0.1763138409632831,-0.09001317093962444,0.3349231744793936,-0.28845399687849205,-0.33374175928239674,-0.16338071834049603,-0.004024418934003458,0.34515188992479623,-0.3055489342145849,-0.3233013478547248,-0.15347678476869248,-0.04271909181057107,0.23094416720425548,-0.19697794035920996,-0.1965960082165424,-0.08081646868821987,-0.035821819864063034,0.24962250131314379,-0.1718653172613732,-0.27164700032961386,-0.06688067095695698,-0.006618530713561808,0.20967289349698864,-0.2536775159730687,0.17171538432509853,-0.30115368816464566,0.08264753158386172,-0.3738356944925417,0.05362979338006363,-0.2558345702708788,0.12977773523397887,-0.26563196780577414,0.3618381969899473,0.3659624129388405,0.3587158192248799,0.3669279210226998,0.2965610888997625,0.22402869441718123,-0.0587250545792837,-0.10305197377577834,-0.08360939006939754,-0.11737447202548959
theta_rel,-0.21004052414240737,0.515525589671194,0.07807350504051853,-0.0007692968588209228,-0.052605579519809195,-0.5986406572294357,1.0,-0.03193290237214775,-0.1327746738258542,-0.11286605663672704,0.4289959219111918,0.5684260119231218,0.11406156884885577,-0.21626724879109674,0.5123699201756797,-0.21091342301414165,0.4460820143609604,0.1369231374592588,-0.006938482683806477,-0.02882437686829727,-0.14240272415963776,0.5235153589127477,0.1512261185033037,0.022628298567733972,-0.062215713120732936,-0.13842101472246782,0.5491618387005821,0.04962544342436739,0.024266209476186164,-0.05499891745806151,-0.12947210613165952,0.3928741862204808,-0.05793416104187772,-0.044909443155193594,-0.05223103020593385,-0.11602622732049156,0.3713774189092326,0.08089956432956692,-0.052832897803479426,-0.09652569456605706,0.3470756005574428,0.12829825792084049,0.3224074622538683,0.16658669085284727,0.4413912563119678,0.08034193667351361,0.30597351482792984,-0.0047741438420211965,0.28245151584922096,0.13076640001932796,-0.2257050668835507,-0.2605968377061505,-0.43539584924582375,-0.19899120840490703,-0.004859310552623356,-0.05197162744447185,-0.028874355687995745,-0.060077113971308424,-0.01313386416012336,-0.003739799509104878
alpha_rel,-0.226497216753143,0.012221507573426126,0.5393384200023004,0.19049879777243658,0.06303539731942524,-0.6863965886294418,-0.03193290237214775,1.0,0.030983853573667636,-0.08026112358315002,-0.5694180942730964,-0.11089975733130122,0.6058136924390276,-0.15073619192537022,-0.49863444601604967,-0.21789754941669115,-0.047404507873557135,0.4743179632399393,0.1587535441563804,0.06386175255585737,-0.1829561249702939,0.06836598107741404,0.4652159583275715,0.1955825419688108,0.01134423832657077,-0.1913608951967607,0.07571252120904101,0.5455760214116557,0.22063127253467066,0.09533874222464658,-0.12144889507479802,0.06064614677263504,0.4310128295279791,0.19646275749402733,0.09330432312907791,-0.1386287196773417,0.042839852411614004,0.4376326178174251,0.13068785580098558,0.05597387769289316,-0.5217305032930274,0.46107886078910326,-0.46781118367303254,0.43804351066265573,-0.47566821889847394,0.6152371631670477,-0.33435522500303,0.48842734779182756,-0.3981969858311231,0.4011043861088612,-0.20701719539492996,-0.2099767530992646,-0.18285990342581454,-0.2956314956181678,-0.5310338193259639,-0.30686176219980993,-0.019383096846170067,-0.11530513347472579,0.03785118511250247,-0.08261183802213455
beta_rel,-0.26557014421511926,-0.3322495960407249,-0.26489634583894806,0.16804718139653213,0.11590414050924079,-0.2959635248211336,-0.1327746738258542,0.030983853573667636,1.0,0.7224385268547527,-0.20369502460027963,-0.48598121081482015,-0.4597471045807845,-0.10006200742482566,-0.3482597289708746,-0.2408648917529499,-0.31477831100637255,-0.2706148417479385,0.234064752428253,0.13460533536635572,-0.2845605820272237,-0.28048155840051747,-0.24035161541055514,0.10027153367992296,0.07000755182333349,-0.30462861871351643,-0.3038356106975189,-0.24324326083874095,0.05296992749264794,0.03459854835228509,-0.15677273702430158,-0.28635211013350975,-0.1767869074895365,0.012848775791393409,0.02625539094745892,-0.19314681300075856,-0.27484376609021277,-0.2271723555704156,0.07636871155012889,0.07017185612233173,-0.21239926154386696,-0.4282520609644462,-0.16491802535476346,-0.34467438582598764,-0.13731153919071185,-0.34370228971450906,-0.08399588730125283,-0.2576509277753225,-0.1293758018872532,-0.2984973006753244,-0.1784699072167431,-0.12560966053144354,0.16422587354297,-0.07302790790891919,0.20936218058878908,0.046468026024113714,0.21011751961367053,0.4964299933618014,0.13469587553474338,0.34879464005185745
gamma_rel,-0.1981614324397194,-0.2906131586075812,-0.2671386519824336,-0.05336281663498463,0.15739316505057846,-0.2114535857941307,-0.11286605663672704,-0.08026112358315002,0.7224385268547527,1.0,-0.091460928886789,-0.3472895993365049,-0.3647232835433249,-0.06036673750359646,-0.22034553051606798,-0.17366723120847546,-0.267603765735858,-0.26768957103617735,0.06800240519362614,0.18376154553584007,-0.23533129789209042,-0.26437462087578456,-0.24908694898236178,-0.08985054260874097,0.12223743780277854,-0.24759889235028043,-0.26337528602007965,-0.242217989131733,-0.1920665100128316,0.01945547040065041,-0.11431688009923516,-0.24517877214096417,-0.17482956219036594,-0.18796692089048156,-0.011395056925636927,-0.1536074363537001,-0.24913792021884928,-0.23885258798117592,-0.053197746582676037,0.08596727459987229,-0.11458958352964903,-0.34683964159612873,-0.08729962706190243,-0.2410149767766223,-0.04048530169708477,-0.21845247102479246,-0.003150181194078396,-0.16453315088907045,-0.025751965634859115,-0.21817518321524854,-0.11355411839941153,-0.06223380719173935,0.14828600288299965,-0.026052875209186446,0.20930644875013132,0.11046121817514984,0.24288107519136687,0.6230737850184722,0.19305494190077271,0.5552489769636388
