feature,source,target_independent,constant_removed,redundancy_removed
delta_abs,scientific_eeg,True,False,False
theta_abs,scientific_eeg,True,False,False
alpha_abs,scientific_eeg,True,False,False
beta_abs,scientific_eeg,True,False,False
gamma_abs,scientific_eeg,True,False,False
delta_rel,scientific_eeg,True,False,False
theta_rel,scientific_eeg,True,False,False
alpha_rel,scientific_eeg,True,False,False
beta_rel,scientific_eeg,True,False,False
gamma_rel,scientific_eeg,True,False,False
theta_alpha_ratio,scientific_eeg,True,False,False
theta_beta_ratio,scientific_eeg,True,False,False
alpha_beta_ratio,scientific_eeg,True,False,False
delta_theta_ratio,scientific_eeg,True,False,False
alpha_frontal,scientific_eeg,True,False,False
beta_frontal,scientific_eeg,True,False,False
gamma_frontal,scientific_eeg,True,False,False
delta_central,scientific_eeg,True,False,False
theta_central,scientific_eeg,True,False,False
alpha_central,scientific_eeg,True,False,False
beta_central,scientific_eeg,True,False,False
gamma_central,scientific_eeg,True,False,False
delta_parietal,scientific_eeg,True,False,False
theta_parietal,scientific_eeg,True,False,False
beta_parietal,scientific_eeg,True,False,False
gamma_parietal,scientific_eeg,True,False,False
delta_occipital,scientific_eeg,True,False,False
theta_occipital,scientific_eeg,True,False,False
alpha_occipital,scientific_eeg,True,False,False
beta_occipital,scientific_eeg,True,False,False
gamma_occipital,scientific_eeg,True,False,False
delta_temporal,scientific_eeg,True,False,False
theta_temporal,scientific_eeg,True,False,False
alpha_temporal,scientific_eeg,True,False,False
beta_temporal,scientific_eeg,True,False,False
gamma_temporal,scientific_eeg,True,False,False
theta_alpha_frontal_ratio,scientific_eeg,True,False,False
alpha_beta_frontal_ratio,scientific_eeg,True,False,False
theta_alpha_central_ratio,scientific_eeg,True,False,False
alpha_beta_central_ratio,scientific_eeg,True,False,False
theta_alpha_parietal_ratio,scientific_eeg,True,False,False
alpha_beta_parietal_ratio,scientific_eeg,True,False,False
theta_alpha_occipital_ratio,scientific_eeg,True,False,False
alpha_beta_occipital_ratio,scientific_eeg,True,False,False
theta_alpha_temporal_ratio,scientific_eeg,True,False,False
alpha_beta_temporal_ratio,scientific_eeg,True,False,False
delta_frontoparietal_diff,scientific_eeg,True,False,False
delta_frontoparietal_ratio,scientific_eeg,True,False,False
theta_frontoparietal_diff,scientific_eeg,True,False,False
theta_frontoparietal_ratio,scientific_eeg,True,False,False
alpha_frontoparietal_diff,scientific_eeg,True,False,False
alpha_frontoparietal_ratio,scientific_eeg,True,False,False
beta_frontoparietal_diff,scientific_eeg,True,False,False
beta_frontoparietal_ratio,scientific_eeg,True,False,False
gamma_frontoparietal_ratio,scientific_eeg,True,False,False
sfreq,scientific_eeg,True,True,False
n_channels,scientific_eeg,True,True,False
n_timepoints,scientific_eeg,True,True,False
delta_frontal,scientific_eeg,True,False,True
theta_alpha_beta_ratio,scientific_eeg,True,False,True
theta_frontal,scientific_eeg,True,False,True
alpha_parietal,scientific_eeg,True,False,True
gamma_frontoparietal_diff,scientific_eeg,True,False,True
