target,target_column,model,split,metric,value,n_rows,n_subjects
remember,target_remember,logistic_regression,validation,accuracy,1.0,3084,3
remember,target_remember,logistic_regression,validation,balanced_accuracy,1.0,3084,3
remember,target_remember,logistic_regression,validation,precision,1.0,3084,3
remember,target_remember,logistic_regression,validation,recall,1.0,3084,3
remember,target_remember,logistic_regression,validation,f1,1.0,3084,3
remember,target_remember,logistic_regression,validation,roc_auc,1.0,3084,3
remember,target_remember,logistic_regression,test,accuracy,1.0,3655,4
remember,target_remember,logistic_regression,test,balanced_accuracy,1.0,3655,4
remember,target_remember,logistic_regression,test,precision,1.0,3655,4
remember,target_remember,logistic_regression,test,recall,1.0,3655,4
remember,target_remember,logistic_regression,test,f1,1.0,3655,4
remember,target_remember,logistic_regression,test,roc_auc,1.0,3655,4
remember,target_remember,random_forest,validation,accuracy,1.0,3084,3
remember,target_remember,random_forest,validation,balanced_accuracy,1.0,3084,3
remember,target_remember,random_forest,validation,precision,1.0,3084,3
remember,target_remember,random_forest,validation,recall,1.0,3084,3
remember,target_remember,random_forest,validation,f1,1.0,3084,3
remember,target_remember,random_forest,validation,roc_auc,1.0,3084,3
remember,target_remember,random_forest,test,accuracy,1.0,3655,4
remember,target_remember,random_forest,test,balanced_accuracy,1.0,3655,4
remember,target_remember,random_forest,test,precision,1.0,3655,4
remember,target_remember,random_forest,test,recall,1.0,3655,4
remember,target_remember,random_forest,test,f1,1.0,3655,4
remember,target_remember,random_forest,test,roc_auc,1.0,3655,4
correct,target_correct,logistic_regression,validation,accuracy,1.0,3084,3
correct,target_correct,logistic_regression,validation,balanced_accuracy,1.0,3084,3
correct,target_correct,logistic_regression,validation,precision,1.0,3084,3
correct,target_correct,logistic_regression,validation,recall,1.0,3084,3
correct,target_correct,logistic_regression,validation,f1,1.0,3084,3
correct,target_correct,logistic_regression,validation,roc_auc,1.0,3084,3
correct,target_correct,logistic_regression,test,accuracy,1.0,3655,4
correct,target_correct,logistic_regression,test,balanced_accuracy,1.0,3655,4
correct,target_correct,logistic_regression,test,precision,1.0,3655,4
correct,target_correct,logistic_regression,test,recall,1.0,3655,4
correct,target_correct,logistic_regression,test,f1,1.0,3655,4
correct,target_correct,logistic_regression,test,roc_auc,1.0,3655,4
correct,target_correct,random_forest,validation,accuracy,0.9964332036316472,3084,3
correct,target_correct,random_forest,validation,balanced_accuracy,0.9861460957178841,3084,3
correct,target_correct,random_forest,validation,precision,0.9959229058561898,3084,3
correct,target_correct,random_forest,validation,recall,1.0,3084,3
correct,target_correct,random_forest,validation,f1,0.9979572887650882,3084,3
correct,target_correct,random_forest,validation,roc_auc,1.0,3084,3
correct,target_correct,random_forest,test,accuracy,1.0,3655,4
correct,target_correct,random_forest,test,balanced_accuracy,1.0,3655,4
correct,target_correct,random_forest,test,precision,1.0,3655,4
correct,target_correct,random_forest,test,recall,1.0,3655,4
correct,target_correct,random_forest,test,f1,1.0,3655,4
correct,target_correct,random_forest,test,roc_auc,1.0,3655,4
