target,model,split,actual,predicted,count
remember,logistic_regression,validation,0,0,407
remember,logistic_regression,validation,0,1,1185
remember,logistic_regression,validation,1,0,528
remember,logistic_regression,validation,1,1,1434
remember,logistic_regression,test,0,0,239
remember,logistic_regression,test,0,1,997
remember,logistic_regression,test,1,0,315
remember,logistic_regression,test,1,1,1346
remember,random_forest,validation,0,0,381
remember,random_forest,validation,0,1,1211
remember,random_forest,validation,1,0,506
remember,random_forest,validation,1,1,1456
remember,random_forest,test,0,0,488
remember,random_forest,test,0,1,748
remember,random_forest,test,1,0,612
remember,random_forest,test,1,1,1049
correct,logistic_regression,validation,0,0,0
correct,logistic_regression,validation,0,1,122
correct,logistic_regression,validation,1,0,6
correct,logistic_regression,validation,1,1,3426
correct,logistic_regression,test,0,0,0
correct,logistic_regression,test,0,1,176
correct,logistic_regression,test,1,0,0
correct,logistic_regression,test,1,1,2721
correct,random_forest,validation,0,0,0
correct,random_forest,validation,0,1,122
correct,random_forest,validation,1,0,3
correct,random_forest,validation,1,1,3429
correct,random_forest,test,0,0,2
correct,random_forest,test,0,1,174
correct,random_forest,test,1,0,43
correct,random_forest,test,1,1,2678
