feature,mean,std,min,max,mean_subject_std,median_subject_std,zero_subject_std_subjects
sfreq,500.0,0.0,500.0,500.0,0.0,0.0,23
n_channels,71.0,0.0,71.0,71.0,0.0,0.0,23
n_timepoints,501.0,0.0,501.0,501.0,0.0,0.0,23
delta_abs,4.013716524921003,10.962690819736451,7.108452964915125e-05,272.07910505786793,10.85003296845798,10.560874235308477,0
theta_abs,2.134290465853045,3.4182060079663237,1.6040428706721042e-06,54.33279341027784,2.319502289970265,1.6307892965618673,0
alpha_abs,1.8520972235597286,2.7066900570388883,2.1310640241701e-06,54.662460154498376,1.6737383589846708,0.9689717295585903,0
beta_abs,0.3583799608534709,0.3313920295434789,8.54341906044279e-07,6.212615563236457,0.19098806329338527,0.16742950661278705,0
gamma_abs,0.14543075319336252,0.2150760342284597,2.696189259331937e-07,9.016005852629906,0.14254314242258803,0.10797116405109164,0
delta_rel,0.41264888831244245,0.18966732253849877,0.0348474677229175,0.9966114730605564,0.16634319410937307,0.15921204885797527,0
theta_rel,0.25608801827453265,0.1275672649006735,0.0011234365504043,0.8434071664647801,0.10597404346948806,0.0963845025811533,0
alpha_rel,0.23220726398088026,0.13548022689311007,0.0014286017843458,0.82091490079909,0.1167298947314025,0.10733028280800658,0
beta_rel,0.06707543955634146,0.045271012807209736,0.0005213653134323,0.4665914884773174,0.032842726409316444,0.028983092607269893,0
gamma_rel,0.03198038987580298,0.03267212103608711,0.0001882542430717,0.5162502302606549,0.01923976803383684,0.016747131960908598,0
theta_alpha_ratio,1.5774043773851176,1.428438522143252,0.0681872768295364,30.89143878564384,1.2896651119912201,1.2006306142961118,0
theta_beta_ratio,6.251601462568735,7.419750216436499,0.1402971064505023,93.86628441385164,6.064085619322862,5.267652101220723,0
alpha_beta_ratio,4.9591437892586026,4.825274498381267,0.1018822428529627,80.7093699791203,3.769435043243173,2.952039831803742,0
delta_theta_ratio,2.8514039550683905,11.510596888993895,0.0483854901156833,887.1097105589708,6.132343557980296,2.6158761596375824,0
theta_alpha_beta_ratio,1.1352717866456188,1.0042967797041682,0.0593257933427442,22.370669667637408,0.9048660046283233,0.8284921485440023,0
delta_frontal,4.687288470824053,15.901883691661943,3.107102403897095e-05,450.3332739854281,15.921658973234289,14.760464911374873,0
theta_frontal,1.939253185112135,3.4588257972017,1.9482705792226915e-06,53.34512961080361,2.701544395815848,1.8652572124436055,0
alpha_frontal,1.2510887384244134,1.7707942357277482,2.647432290885284e-06,29.046177893901405,1.2134704818051492,0.8646769275779166,0
beta_frontal,0.37929400518881934,0.4447428422955767,1.0619943274134654e-06,12.131578323138408,0.2558112331915906,0.19034282253022888,0
gamma_frontal,0.18517991043825807,0.3592246307721059,3.350792493850687e-07,17.747104549690448,0.22885566779492883,0.16194301800760666,0
delta_central,1.6093875223842216,2.7038764734249288,3.236212807160717e-05,69.36868923727606,2.5743849948734705,2.790520247706026,0
theta_central,1.392781888458491,2.2869383449617535,1.491322812872594e-06,28.64553210331129,1.3712005791086213,1.0024996904473795,0
alpha_central,1.3005123961675606,1.8824885092714179,1.891868727877456e-06,35.413591691949684,1.214522276919324,1.0890722697977666,0
beta_central,0.2031883786503221,0.20721032801447892,7.573310928422212e-07,6.4812449023627705,0.1361215068557658,0.10457366321649443,0
gamma_central,0.06039522159242402,0.15716027074040073,2.390983761866072e-07,7.759231884447141,0.10266135009600426,0.042186486631504524,0
delta_parietal,3.0774365294642556,6.036534910588396,5.226334066783706e-05,206.9080193525391,5.864292617651762,6.1840971712982755,0
theta_parietal,2.899449567949124,5.240955531607061,1.496179205917169e-06,92.12995265538676,2.9778414105748596,1.6725246244123735,0
alpha_parietal,3.1037132072921128,5.260156318353618,1.931488218289406e-06,111.63586522533603,3.1994165465535347,1.6467456755927992,0
beta_parietal,0.34979132558501685,0.355659374452987,7.749667144212716e-07,5.057363853725157,0.19385941761603584,0.19825700415970188,0
gamma_parietal,0.078111709909482,0.10924082222185923,2.44613193461091e-07,5.969066159942112,0.0616197599979459,0.03686237824582063,0
delta_occipital,5.814356971903703,27.260097661831054,8.60089944392363e-06,1800.0552218469395,16.396949554213258,8.84046897819995,0
theta_occipital,3.192628693766309,6.292712728323258,5.119760326067993e-07,126.09854988314078,4.5262158389751495,2.331737322814576,0
alpha_occipital,4.3328207270872925,10.866541791400607,6.90187123801794e-07,303.7331690354401,6.483071017190042,2.1643812741951938,0
beta_occipital,0.4697183611738036,0.5363424330926122,2.7866852584359785e-07,10.026394166753214,0.343387961783192,0.258828834955592,0
gamma_occipital,0.11247992796403375,0.12643960557050707,8.73558090575904e-08,3.511863017782583,0.08602424834214015,0.05905127106203455,0
delta_temporal,2.486214555767607,7.6123121028084695,2.935226727323424e-05,296.61448367955575,5.236242371205895,3.8148308425270234,0
theta_temporal,1.5595387988605909,2.738566681298754,1.514268611387869e-06,56.38047259122553,1.8871593720612463,1.4305836394800895,0
alpha_temporal,1.3750053008745124,2.0006295498631466,2.0703403225330525e-06,31.581741784896224,1.3718398639632228,1.1258312172846867,0
beta_temporal,0.3837989040671573,0.49025645436954096,8.267228664462671e-07,11.653210674774485,0.27372026557472856,0.20793602470593206,0
gamma_temporal,0.19187294731331692,0.367132983035863,2.612184117569946e-07,12.74266455082252,0.20084397070836452,0.13190780263800542,0
theta_alpha_frontal_ratio,2.032577888323202,2.0080720641724232,0.0848145693883718,32.95431821737169,1.9122016345953199,1.7927543332543898,0
alpha_beta_frontal_ratio,3.9594722204206985,4.5484107612425335,0.0363369675665531,84.32912972070622,3.5587031967803835,3.087283585847497,0
theta_alpha_central_ratio,1.5750520071801617,1.5103100782581347,0.036631129846358,22.89550398610353,1.3700406505048883,1.2943127361660836,0
alpha_beta_central_ratio,6.304736231032193,6.69007751277464,0.0580687630760538,112.8321971010932,4.966650339583439,3.835026430752658,0
theta_alpha_parietal_ratio,1.440200706418425,1.5287968327695638,0.0247723205598409,62.91711757449488,1.3355931718139666,1.19668725495732,0
alpha_beta_parietal_ratio,8.493403162522915,8.181899560816214,0.1391424047683906,93.42273474599308,6.463903642427959,5.839772425642843,0
theta_alpha_occipital_ratio,1.827362258644,2.907398546859163,0.0045613719098894,78.40044489802112,2.603128419283707,2.0769773383991534,0
alpha_beta_occipital_ratio,8.73301486509807,11.63629304223123,0.0283699437701892,259.0490586586,9.445734170004764,7.974815677619969,0
theta_alpha_temporal_ratio,1.7647685094987033,1.9654932796333129,0.0411470394593123,38.73760083978264,1.7014134695592165,1.517504450128233,0
alpha_beta_temporal_ratio,4.527935674443576,4.9377332836080985,0.0903108948705852,77.94212728204703,4.140629582492085,3.4043992712964397,0
