target,feature,n,correlation,auc,flag
remember,delta_abs_global,21067,-0.01465173415236465,0.5115051448158942,NORMAL
remember,delta_rel_global,21067,-0.003656637634531149,0.5007300029881461,NORMAL
remember,theta_abs_global,21067,-0.02849631651689534,0.5060094674366693,NORMAL
remember,theta_rel_global,21067,-0.012171218732005098,0.5044109457864411,NORMAL
remember,alpha_abs_global,21067,-0.008853497669219975,0.5052438323537237,NORMAL
remember,alpha_rel_global,21067,0.012081904164461553,0.5058028176652207,NORMAL
remember,beta_abs_global,21067,0.009334770744474783,0.5030492647377293,NORMAL
remember,beta_rel_global,21067,0.015309573135820622,0.5100128006207774,NORMAL
remember,gamma_abs_global,21067,0.010488868794829825,0.5054641034852119,NORMAL
remember,gamma_rel_global,21067,-0.002811400372874231,0.507536197149214,NORMAL
remember,theta_alpha_ratio,21067,-0.007061381574651337,0.5080891042586358,NORMAL
remember,theta_beta_ratio,21067,-0.026267509114606416,0.5055183796459575,NORMAL
remember,theta_alpha_beta_ratio,21067,-0.009005793482486361,0.5086035676498432,NORMAL
remember,delta_beta_ratio,21067,-0.007702167004170329,0.5092478752680141,NORMAL
remember,delta_frontal,21067,-0.014872664165991364,0.5105618861061401,NORMAL
remember,theta_frontal,21067,-0.02302672354970414,0.5045699890410381,NORMAL
remember,alpha_frontal,21067,-0.006816285075131935,0.503049282935939,NORMAL
remember,beta_frontal,21067,0.005542138519031353,0.5023622823175639,NORMAL
remember,gamma_frontal,21067,-1.743777282650542e-05,0.5013294884155657,NORMAL
remember,delta_parietal,21067,-0.018509398314786103,0.5117234050451989,NORMAL
remember,theta_parietal,21067,-0.03136940477746198,0.5074075449049926,NORMAL
remember,alpha_parietal,21067,-0.010827857026779728,0.5055411001108999,NORMAL
remember,beta_parietal,21067,0.00866756979444359,0.5038403591161931,NORMAL
remember,gamma_parietal,21067,0.03002982433686099,0.5166462664734746,NORMAL
remember,theta_frontal_parietal_ratio,21067,0.011685006986587174,0.5069432448791148,NORMAL
remember,alpha_frontal_parietal_ratio,21067,0.012530378817267833,0.5075735398757354,NORMAL
remember,n_epochs,21067,0.022321285272242863,0.512615585929581,NORMAL
remember,is_correct,21067,0.08604774530147032,0.5188911612386867,NORMAL
remember,is_remembered,21067,1.0,1.0,VERY_HIGH_AUC
remember,is_ignored,21067,-1.0,1.0,VERY_HIGH_AUC
correct,delta_abs_global,21067,-0.027461022423452486,0.5309363506721957,NORMAL
correct,delta_rel_global,21067,-0.05271004543689976,0.5631629312392135,NORMAL
correct,theta_abs_global,21067,0.026537991151648347,0.5308941579175696,NORMAL
correct,theta_rel_global,21067,0.04483883946500035,0.5630216751826181,NORMAL
correct,alpha_abs_global,21067,0.021189893294522758,0.5303756212340371,NORMAL
correct,alpha_rel_global,21067,0.03266073711410465,0.5479552277294937,NORMAL
correct,beta_abs_global,21067,0.018797156497396425,0.5107943602540098,NORMAL
correct,beta_rel_global,21067,-0.0011006995787776713,0.5063734657223041,NORMAL
correct,gamma_abs_global,21067,0.010939912838790396,0.5062461323308259,NORMAL
correct,gamma_rel_global,21067,-0.007460130082024733,0.5047722648428825,NORMAL
correct,theta_alpha_ratio,21067,0.003057113439882584,0.5000856597870766,NORMAL
correct,theta_beta_ratio,21067,0.026258827566958794,0.5428052103049243,NORMAL
correct,theta_alpha_beta_ratio,21067,0.010030226608705917,0.5119592389673027,NORMAL
correct,delta_beta_ratio,21067,-0.02159813845110765,0.5269012791483972,NORMAL
correct,delta_frontal,21067,-0.030930785994433326,0.5384027692039332,NORMAL
correct,theta_frontal,21067,0.020500038343291335,0.5204745769303233,NORMAL
correct,alpha_frontal,21067,0.021735644423664973,0.5264061514204517,NORMAL
correct,beta_frontal,21067,0.0012616813909952466,0.5234038584754955,NORMAL
correct,gamma_frontal,21067,-0.0030585506722761364,0.5342329074036107,NORMAL
correct,delta_parietal,21067,-0.028606452691913854,0.5267827713107391,NORMAL
correct,theta_parietal,21067,0.02797286710306246,0.5404262751934165,NORMAL
correct,alpha_parietal,21067,0.021296335736741192,0.5314364339250136,NORMAL
correct,beta_parietal,21067,0.031873817915839514,0.5222770665105063,NORMAL
correct,gamma_parietal,21067,0.027275726765937643,0.5454706691449954,NORMAL
correct,theta_frontal_parietal_ratio,21067,-0.03200309889263301,0.5517659319652687,NORMAL
correct,alpha_frontal_parietal_ratio,21067,-0.013856109680647752,0.5289319116546016,NORMAL
correct,n_epochs,21067,-0.10956641590801462,0.5927832596895142,NORMAL
correct,is_correct,21067,0.9999999999999999,1.0,VERY_HIGH_AUC
correct,is_remembered,21067,0.08604774530147032,0.5979851685388168,NORMAL
correct,is_ignored,21067,-0.08604774530147032,0.5979851685388168,NORMAL
