feature,remember_effect,correct_effect,remember_abs_effect,correct_abs_effect,effect_difference_correct_minus_remember,absolute_cross_target_difference,direction_relationship,target_specificity,cross_target_pattern,remember_p_fdr,correct_p_fdr,remember_fdr_significant,correct_fdr_significant,significance_pattern,target_dissociation_score,cross_target_rank
alpha_beta_central_ratio,-0.2817822470669995,1.0588167279465992,0.2817822470669995,1.0588167279465992,1.3405989750135987,1.3405989750135987,opposite_direction,correct_dominant,target_dissociated,0.0114251934499194,2.7374404943671806e-09,True,True,significant_both_targets,2.6811979500271974,3
alpha_beta_occipital_ratio,-0.3011693679807816,0.9078951350575944,0.3011693679807816,0.9078951350575944,1.209064503038376,1.209064503038376,opposite_direction,correct_dominant,target_dissociated,0.1480707834853794,0.0064923061224597,False,True,significant_correct_only,2.418129006076752,4
theta_beta_ratio,-0.3424385498736004,0.7977931256118733,0.3424385498736004,0.7977931256118733,1.1402316754854738,1.1402316754854738,opposite_direction,correct_dominant,target_dissociated,0.0053448649841291,0.0002196680024521,True,True,significant_both_targets,2.2804633509709475,5
alpha_beta_parietal_ratio,-0.1230716605649302,0.9835138032318582,0.1230716605649302,0.9835138032318582,1.1065854637967885,1.1065854637967885,opposite_direction,correct_dominant,target_dissociated,0.3612440624792554,0.0001063347277625,False,True,significant_correct_only,2.213170927593577,7
theta_parietal,-0.3370532596592301,0.6252947524007433,0.3370532596592301,0.6252947524007433,0.9623480120599734,0.9623480120599734,opposite_direction,correct_dominant,target_dissociated,6.358390947165893e-05,1.2914008919258045e-05,True,True,significant_both_targets,1.924696024119947,8
theta_occipital,-0.1364415539417218,0.6515027835828651,0.1364415539417218,0.6515027835828651,0.7879443375245869,0.7879443375245869,opposite_direction,correct_dominant,target_dissociated,0.2217732219267152,0.0001541677604189,False,True,significant_correct_only,1.5758886750491738,9
alpha_beta_frontal_ratio,-0.114316307364513,0.5925261508220454,0.114316307364513,0.5925261508220454,0.7068424581865584,0.7068424581865584,opposite_direction,correct_dominant,target_dissociated,0.1537306237957149,0.0001014112496675,False,True,significant_correct_only,1.4136849163731169,11
alpha_beta_ratio,-0.1015785012376735,0.538241535729493,0.1015785012376735,0.538241535729493,0.6398200369671665,0.6398200369671665,opposite_direction,correct_dominant,target_dissociated,0.226355094182684,0.0009296003114551,False,True,significant_correct_only,1.279640073934333,12
theta_abs,-0.1930376038406147,0.4228316544939132,0.1930376038406147,0.4228316544939132,0.6158692583345279,0.6158692583345279,opposite_direction,correct_dominant,target_dissociated,0.0004393692914317,5.477629943419366e-06,True,True,significant_both_targets,1.2317385166690558,13
theta_temporal,-0.1777613758745846,0.3108521749391855,0.1777613758745846,0.3108521749391855,0.4886135508137701,0.4886135508137701,opposite_direction,correct_dominant,target_dissociated,6.358390947165893e-05,5.245038754930327e-06,True,True,significant_both_targets,0.9772271016275402,15
theta_frontoparietal_diff,0.1770006101954757,-0.3007786594133896,0.1770006101954757,0.3007786594133896,-0.4777792696088653,0.4777792696088653,opposite_direction,correct_dominant,target_dissociated,0.000384690812106,0.000323467232544,True,True,significant_both_targets,0.9555585392177306,16
theta_central,-0.1245452053242046,0.3493210928413732,0.1245452053242046,0.3493210928413732,0.4738662981655778,0.4738662981655778,opposite_direction,correct_dominant,target_dissociated,0.0006842357801919,7.168466810680754e-09,True,True,significant_both_targets,0.9477325963311556,18
alpha_central,-0.0777916514710383,0.2913718051586234,0.0777916514710383,0.2913718051586234,0.36916345662966166,0.36916345662966166,opposite_direction,correct_dominant,target_dissociated,0.013157370794358,4.1929927970589225e-08,True,True,significant_both_targets,0.7383269132593233,19
alpha_abs,-0.0458861984524665,0.2737862285941788,0.0458861984524665,0.2737862285941788,0.3196724270466453,0.3196724270466453,opposite_direction,correct_dominant,target_dissociated,0.3015399647253492,0.0029074766612216,False,True,significant_correct_only,0.6393448540932906,23
alpha_frontoparietal_diff,0.0684199667011435,-0.2457983468651301,0.0684199667011435,0.2457983468651301,-0.3142183135662736,0.3142183135662736,opposite_direction,correct_dominant,target_dissociated,0.288006678655872,0.0550740446736389,False,False,not_fdr_significant,0.6284366271325472,24
alpha_temporal,-0.0507766219419318,0.2003667333175489,0.0507766219419318,0.2003667333175489,0.25114335525948067,0.25114335525948067,opposite_direction,correct_dominant,target_dissociated,0.1534755902104805,0.001972721506344,False,True,significant_correct_only,0.5022867105189613,25
alpha_frontal,-0.0242559269682092,0.1761544002949546,0.0242559269682092,0.1761544002949546,0.2004103272631638,0.2004103272631638,opposite_direction,correct_dominant,target_dissociated,0.3941173734800816,0.0029946881408546,False,True,significant_correct_only,0.4008206545263276,26
theta_frontoparietal_ratio,0.0131054124356159,-0.095871240909116,0.0131054124356159,0.095871240909116,-0.1089766533447319,0.1089766533447319,opposite_direction,correct_dominant,target_dissociated,0.2459270338739749,0.0001240276747523,False,True,significant_correct_only,0.2179533066894638,29
theta_alpha_parietal_ratio,-0.021540623757889,0.0862189671251065,0.021540623757889,0.0862189671251065,0.1077595908829955,0.1077595908829955,opposite_direction,correct_dominant,target_dissociated,0.393430396838869,0.0488369886158184,False,True,significant_correct_only,0.215519181765991,30
