feature,perturbation_rows,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_rows,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_rows,loso_stable_count,loso_mean_effect,null_rows,null_min_p,null_significant,r_rows,r_min_p,r_fdr_significant,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,final_evidence_score,final_evidence_class,evidence_class_priority,final_rank
alpha_beta_central_ratio,2,2,2.7374404943671806e-09,0.1583539341510638,1,target_dissociated,0.012021455063968,0.0185124925685302,0.7,46,0,0.06877413904661392,2,1.0,0,2,0.6927925516030983,0,0.7003541432932022,0.8638009827992957,1.0,0.7,0.0,0.0,0.6528487323831598,limited_multilayer_evidence,2,1
delta_abs,2,1,0.0058778508834395,0.1317639434412088,1,target_shared,0.01386389851183355,0.0265942424505776,0.7,46,0,0.02866427716934186,2,1.0,0,2,0.5827241271031729,0,0.580742273082922,1.0,0.7399401286811474,0.7,0.0,0.0,0.59817359400696,limited_multilayer_evidence,2,2
beta_temporal,2,1,4.4132371288135055e-24,0.2171282757930247,1,target_preferential,0.0092352241343385,0.0169964855462604,1.0,46,0,-0.029780665555993843,2,1.0,0,2,0.9086975917369357,0,0.964743439283717,0.6578343276222438,0.36100129486279864,1.0,0.0,0.0,0.5949529843179377,limited_multilayer_evidence,2,3
theta_abs,2,2,5.477629943419366e-06,0.1237392080186769,1,target_dissociated,0.0111490543470897,0.0183450160265364,0.8,46,0,0.04503762439194681,2,1.0,0,2,0.6982259522172423,0,0.5446439674345499,0.7993104713636985,0.846099820399815,0.8,0.0,0.0,0.5852430502113402,limited_multilayer_evidence,2,4
beta_parietal,2,1,2.7374404943671806e-09,0.1550481442910112,1,weak_cross_target_pattern,0.007564677691506001,0.0102064938642854,0.9,46,0,0.01987662708984778,2,1.0,0,2,0.894145784023616,0,0.6854834458191891,0.5343424592745308,0.6829637382896538,0.9,0.0,0.0,0.5498321009676342,limited_multilayer_evidence,2,5
theta_parietal,2,2,1.2914008919258045e-05,0.1193441987749964,1,target_dissociated,0.0104165949155947,0.0168193217809792,0.7,46,0,0.03537972002443851,2,1.0,0,2,0.9086975917369357,0,0.5248735477693315,0.7451648448997892,0.7834809718306257,0.7,0.0,0.0,0.5419475502884159,limited_multilayer_evidence,2,6
alpha_beta_frontal_ratio,2,1,0.0001014112496675,0.1303176474367501,1,target_dissociated,0.009674993204413401,0.0169775178904503,0.9,46,0,0.009318472535680715,2,1.0,0,2,0.7189541462024842,0,0.5742362847259256,0.6903433933462736,0.6145079474638794,0.9,0.0,0.0,0.539529339343512,limited_multilayer_evidence,2,7
theta_beta_ratio,2,2,0.0002196680024521,0.1075474890702915,1,target_dissociated,0.0093654184539337,0.0120073892499295,0.9,46,0,0.028611039316613823,2,1.0,0,2,0.9086975917369357,0,0.47180747018004715,0.6674586872705811,0.7395949509996059,0.9,0.0,0.0,0.5343625951990492,limited_multilayer_evidence,2,8
beta_abs,2,1,0.0033819575805418,0.0978581244466391,1,weak_cross_target_pattern,0.01084520521136635,0.0128181668264146,1.0,46,0,0.006263689849739235,2,1.0,0,2,0.5827241271031729,0,0.4282210305896472,0.7768490201258077,0.5947016864838794,1.0,0.0,0.0,0.5313653989693492,limited_multilayer_evidence,2,9
theta_rel,2,1,4.763877686990766e-09,0.1940892963849802,1,weak_cross_target_pattern,0.0039801707477693,0.0072815043605287,0.6,46,0,0.03612725793799531,2,1.0,0,2,0.8772152494885191,0,0.8611053656641207,0.2693648158892643,0.788327775197847,0.6,0.0,0.0,0.5168148596334524,limited_multilayer_evidence,2,10
alpha_beta_parietal_ratio,2,1,0.0001063347277625,0.1202418218023179,1,target_dissociated,0.00716568202385405,0.0085914157129002,1.0,46,0,0.014116477411103725,2,1.0,0,2,0.8687825852408293,0,0.5289113968311571,0.5048474873314354,0.6456167190250393,1.0,0.0,0.0,0.5123206904790842,limited_multilayer_evidence,2,11
