feature,mean_final_evidence_score,max_final_evidence_score,targets_supported,fdr_significant_targets,mean_direction_consistency,mean_ml_stability,mean_ml_importance,mean_cross_target_support,global_feature_rank_v2
delta_parietal,0.6035096085527911,0.6503086979081923,2,2.0,0.0,1.0,0.15987579439280297,1.0,1
gamma_parietal,0.5943967952725133,0.6294508092466954,2,2.0,0.0,1.0,0.41749425552666347,0.5,2
gamma_occipital,0.5753139131275677,0.5846501610444488,2,2.0,0.0,0.8,0.40045692961929497,0.5,3
beta_temporal,0.5726238805709081,0.7820436309226892,2,1.0,0.0,1.0,0.6578343276222438,0.75,4
gamma_frontoparietal_ratio,0.5717971953020523,0.6073907573249103,2,2.0,0.0,0.9,0.04388239399242151,1.0,5
theta_abs,0.5645586930293649,0.6020521556561524,2,2.0,0.0,0.8,0.7993104713636985,0.25,6
alpha_beta_central_ratio,0.5622973480863983,0.6271004363829681,2,2.0,0.0,0.7,0.8638009827992957,0.25,7
theta_beta_ratio,0.5565857998245519,0.5908114284423819,2,2.0,0.0,0.9,0.6674586872705811,0.25,8
theta_parietal,0.5410695407160028,0.5717366739567393,2,2.0,0.0,0.7,0.7451648448997892,0.25,9
delta_abs,0.5296934306865144,0.6860695717759855,2,1.0,0.0,0.7,1.0,1.0,10
alpha_central,0.5174162973363694,0.5807159360830227,2,2.0,0.0,0.8,0.23890200031246073,0.25,11
theta_central,0.5103995280221781,0.565233548490148,2,2.0,0.0,0.8,0.10679623386318915,0.25,12
theta_frontoparietal_diff,0.5069381467081243,0.5294406411429005,2,2.0,0.0,0.9,0.15912352733941434,0.25,13
gamma_temporal,0.49469460895995665,0.7027047708712569,2,1.0,0.0,0.9,0.22704770871256888,0.5,14
delta_central,0.4915671588375338,0.648449724632362,2,1.0,0.0,1.0,0.0045754362395168105,1.0,15
beta_abs,0.4911853999621808,0.6359457536913933,2,1.0,0.0,1.0,0.7768490201258077,0.5,16
theta_temporal,0.4815175670433819,0.5086133133416392,2,2.0,0.0,0.7,0.17866990656597734,0.25,17
delta_frontoparietal_diff,0.4794920960956375,0.6429511260698318,2,1.0,0.0,0.9,0.11890844905169633,1.0,18
beta_parietal,0.47754026394585025,0.6554682644775317,2,1.0,0.0,0.9,0.5343424592745308,0.5,19
alpha_beta_frontal_ratio,0.4598454679055009,0.6184911318759041,2,1.0,0.0,0.9,0.6903433933462736,0.25,20
delta_rel,0.4555958295393798,0.6642177839599357,2,1.0,0.0,0.9,0.028056404308763955,0.5,21
alpha_beta_parietal_ratio,0.4500510011245574,0.6087058866742119,2,1.0,0.0,1.0,0.5048474873314354,0.25,22
alpha_abs,0.4473843196599544,0.5943409933078901,2,1.0,0.0,1.0,0.5738526880786304,0.25,23
delta_theta_ratio,0.43835364449418324,0.571948206570321,2,1.0,0.0,0.8,0.04814238079122858,1.0,24
alpha_temporal,0.43623369707224785,0.5779332005914779,2,1.0,0.0,1.0,0.42093155226007173,0.25,25
delta_temporal,0.43342593964293874,0.5411763742388136,2,1.0,0.0,0.9,0.09824616017841122,1.0,26
gamma_central,0.42789572605328696,0.5360091061174954,2,1.0,0.0,1.0,0.4776930448032486,0.5,27
theta_frontoparietal_ratio,0.4238947506834716,0.5930596072545259,2,1.0,0.0,1.0,0.08699326399541595,0.25,28
theta_rel,0.41561947754354867,0.6125056818736934,2,1.0,0.0,0.6,0.2693648158892643,0.5,29
alpha_beta_ratio,0.4132132738245445,0.5636846360469989,2,1.0,0.0,0.9,0.3512890307082364,0.25,30
beta_frontoparietal_diff,0.4125081571111586,0.5840753005228848,2,1.0,0.0,0.7,0.5047924006681889,0.5,31
theta_occipital,0.40265973527861343,0.5483077585621413,2,1.0,0.0,0.9,0.28694839926991567,0.25,32
beta_central,0.4022279455984622,0.5285401895275341,2,1.0,0.0,0.9,0.13408608031529007,0.5,33
theta_alpha_occipital_ratio,0.3985872317128255,0.5241345954405597,2,1.0,0.0,0.9,0.07435052790995265,0.75,34
beta_frontoparietal_ratio,0.38598804214881055,0.52228500545543,2,1.0,0.0,0.6,0.30135275473253886,0.75,35
alpha_frontal,0.3809823983265175,0.5288200464700213,2,1.0,0.0,0.9,0.137323305003686,0.25,36
alpha_rel,0.37647368451149404,0.5345236331230755,2,1.0,0.0,0.7,0.010451420525802889,0.5,37
delta_frontoparietal_ratio,0.36530716842745165,0.49311508186913927,2,1.0,0.0,0.8,0.199350158793034,0.5,38
gamma_abs,0.35249129953702796,0.37018080173639406,2,0.0,0.0,1.0,0.5386633627551579,0.5,39
beta_rel,0.34223500926625017,0.3431864894604644,2,0.0,0.0,0.9,0.7593333148244457,0.5,40
