target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2
correct,beta_temporal,0.1063339822220392,0.2171282757930247,0.2171282757930247,4.4132371288135055e-24,True,small,small_to_moderate_effect,5.0,positive,0.0092352241343385,1.0,0.0092352241343385,2,0.0102360165548607,0.1063339822220392,target_preferential,same_direction,significant_correct_only,0.9650407926418589,1.0,0.0,1.0,0.6578343276222438,0.75,0.7820436309226892,high_confidence_multilayer,1,4
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,0.2249658894032735,4.008837981489088e-23,True,small,small_to_moderate_effect,5.0,positive,0.00340772258732895,0.9,0.00306249882753775,17,0.0114701590569815,0.0824967064193827,weak_cross_target_pattern,same_direction,significant_correct_only,1.0,1.0,0.0,0.9,0.22704770871256888,0.5,0.7027047708712569,strong_multilayer_evidence,2,14
correct,delta_abs,-1.443957583598896,-0.1317639434412088,0.1317639434412088,0.0058778508834395,True,negligible,significant_but_weak,4.0,negative,0.01386389851183355,0.7,0.00843169456440905,5,0.3359921307783562,1.443957583598896,target_shared,same_direction,significant_correct_only,0.584278287103942,1.0,0.0,0.7,1.0,1.0,0.6860695717759855,strong_multilayer_evidence,3,10
correct,delta_rel,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.1110858625283166e-08,True,small,small_to_moderate_effect,5.0,negative,0.0007158512910718,0.9,0.0005922321907547499,39,0.0025564866389498,0.0394681145542373,weak_cross_target_pattern,same_direction,significant_correct_only,0.9256485741162367,1.0,0.0,0.9,0.028056404308763955,0.5,0.6642177839599357,strong_multilayer_evidence,4,21
correct,beta_parietal,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive,0.007564677691506001,0.9,0.00654402830507745,7,0.00543485157311,0.0551153219768879,weak_cross_target_pattern,same_direction,significant_correct_only,0.6881360742003142,1.0,0.0,0.9,0.5343424592745308,0.5,0.6554682644775317,strong_multilayer_evidence,5,19
correct,delta_parietal,-0.7315767031354068,-0.1212282540480741,0.1212282540480741,0.0041829227699469,True,negligible,significant_but_weak,4.0,negative,0.0024990489715959953,1.0,0.0024990489715959953,14,0.2250862982627182,0.7315767031354068,target_shared,same_direction,significant_both_targets,0.5372844738756484,1.0,0.0,1.0,0.15987579439280297,1.0,0.6503086979081923,strong_multilayer_evidence,6,1
correct,delta_central,-0.3607989816160346,-0.1334880864554219,0.1334880864554219,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative,0.00039821055725525005,1.0,0.00039821055725525005,48,0.0850755417405622,0.3607989816160346,target_shared,same_direction,significant_correct_only,0.5919687240336408,1.0,0.0,1.0,0.0045754362395168105,1.0,0.648449724632362,strong_multilayer_evidence,7,15
correct,delta_frontoparietal_diff,-1.5195109433680205,-0.1362394741852295,0.1362394741852295,0.0029074766612216,True,negligible,significant_but_weak,4.0,negative,0.0019448598258040024,0.9,0.001936308231685242,29,0.2501825786103073,1.5195109433680205,target_shared,same_direction,significant_correct_only,0.6042411246586488,1.0,0.0,0.9,0.11890844905169633,1.0,0.6429511260698318,strong_multilayer_evidence,8,18
correct,beta_abs,0.0324235303582391,0.0978581244466391,0.0978581244466391,0.0033819575805418,True,negligible,significant_but_weak,3.0,positive,0.01084520521136635,1.0,0.01084520521136635,6,0.0058254016788378,0.0324235303582391,weak_cross_target_pattern,same_direction,significant_correct_only,0.4330434067152498,1.0,0.0,1.0,0.7768490201258077,0.5,0.6359457536913933,strong_multilayer_evidence,9,16
correct,gamma_parietal,0.0135698623330476,0.1242595828151386,0.1242595828151386,1.0619820128413021e-07,True,negligible,significant_but_weak,4.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.5508055347761158,1.0,0.0,1.0,0.41749425552666347,0.5,0.6294508092466954,strong_multilayer_evidence,10,2
