target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,0.2249658894032735,4.008837981489088e-23,True,small,small_to_moderate_effect,5.0,positive
correct,beta_temporal,0.1063339822220392,0.2171282757930247,0.2171282757930247,4.4132371288135055e-24,True,small,small_to_moderate_effect,5.0,positive
correct,delta_rel,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.1110858625283166e-08,True,small,small_to_moderate_effect,5.0,negative
correct,theta_rel,0.0247383786040161,0.1940892963849802,0.1940892963849802,4.763877686990766e-09,True,negligible,significant_but_weak,4.0,positive
correct,alpha_beta_central_ratio,1.0588167279465992,0.1583539341510638,0.1583539341510638,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive
correct,beta_parietal,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive
correct,alpha_central,0.2913718051586234,0.1548613622822838,0.1548613622822838,4.1929927970589225e-08,True,negligible,significant_but_weak,4.0,positive
correct,theta_central,0.3493210928413732,0.1528240647860177,0.1528240647860177,7.168466810680754e-09,True,negligible,significant_but_weak,4.0,positive
correct,theta_frontoparietal_ratio,-0.095871240909116,-0.1436826853394754,0.1436826853394754,0.0001240276747523,True,negligible,significant_but_weak,4.0,negative
correct,delta_frontoparietal_diff,-1.5195109433680205,-0.1362394741852295,0.1362394741852295,0.0029074766612216,True,negligible,significant_but_weak,4.0,negative
correct,delta_central,-0.3607989816160346,-0.1334880864554219,0.1334880864554219,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative
correct,delta_abs,-1.443957583598896,-0.1317639434412088,0.1317639434412088,0.0058778508834395,True,negligible,significant_but_weak,4.0,negative
correct,alpha_beta_frontal_ratio,0.5925261508220454,0.1303176474367501,0.1303176474367501,0.0001014112496675,True,negligible,significant_but_weak,4.0,positive
