feature,n_unique,missing,mean,std,min,max
sfreq,1,0,500.0,0.0,500.0,500.0
n_channels,1,0,71.0,0.0,71.0,71.0
n_timepoints,1,0,501.0,0.0,501.0,501.0
delta_abs,21067,0,4.013716524921003,10.962951015329432,7.108452964915125e-05,272.07910505786793
theta_abs,21067,0,2.134290465853045,3.4182871378781123,1.6040428706721042e-06,54.33279341027784
alpha_abs,21067,0,1.8520972235597286,2.7067542993709934,2.1310640241701e-06,54.662460154498376
beta_abs,21067,0,0.3583799608534709,0.33139989501620404,8.54341906044279e-07,6.212615563236457
gamma_abs,21067,0,0.14543075319336252,0.21508113898213582,2.696189259331937e-07,9.016005852629906
delta_rel,21067,0,0.41264888831244245,0.18967182422538098,0.0348474677229175,0.9966114730605564
theta_rel,21067,0,0.25608801827453265,0.1275702926646305,0.0011234365504043,0.8434071664647801
alpha_rel,21067,0,0.23220726398088026,0.13548344246842395,0.0014286017843458,0.82091490079909
beta_rel,21067,0,0.06707543955634146,0.04527208729870237,0.0005213653134323,0.4665914884773174
gamma_rel,21067,0,0.03198038987580298,0.03267289649733533,0.0001882542430717,0.5162502302606549
theta_alpha_ratio,21067,0,1.5774043773851176,1.4284724256268417,0.0681872768295364,30.89143878564384
theta_beta_ratio,21067,0,6.251601462568735,7.419926321586145,0.1402971064505023,93.86628441385164
alpha_beta_ratio,21067,0,4.9591437892586026,4.825389024566494,0.1018822428529627,80.7093699791203
delta_theta_ratio,21067,0,2.8514039550683905,11.51087008894383,0.0483854901156833,887.1097105589708
theta_alpha_beta_ratio,21067,0,1.1352717866456188,1.00432061633337,0.0593257933427442,22.370669667637408
delta_frontal,21067,0,4.687288470824053,15.902261117252495,3.107102403897095e-05,450.3332739854281
theta_frontal,21067,0,1.939253185112135,3.4589078912098334,1.9482705792226915e-06,53.34512961080361
alpha_frontal,21067,0,1.2510887384244134,1.7708362649032299,2.647432290885284e-06,29.046177893901405
beta_frontal,21067,0,0.37929400518881934,0.4447533981097904,1.0619943274134654e-06,12.131578323138408
gamma_frontal,21067,0,0.18517991043825807,0.35923315684178664,3.350792493850687e-07,17.747104549690448
delta_central,21067,0,1.6093875223842216,2.7039406489776208,3.236212807160717e-05,69.36868923727606
theta_central,21067,0,1.392781888458491,2.28699262463529,1.491322812872594e-06,28.64553210331129
alpha_central,21067,0,1.3005123961675606,1.8825331894710153,1.891868727877456e-06,35.413591691949684
beta_central,21067,0,0.2031883786503221,0.20721524607839734,7.573310928422212e-07,6.4812449023627705
gamma_central,21067,0,0.06039522159242402,0.1571640008838948,2.390983761866072e-07,7.759231884447141
delta_parietal,21067,0,3.0774365294642556,6.036678185611512,5.226334066783706e-05,206.9080193525391
theta_parietal,21067,0,2.899449567949124,5.241079923834732,1.496179205917169e-06,92.12995265538676
alpha_parietal,21067,0,3.1037132072921128,5.260281166305178,1.931488218289406e-06,111.63586522533603
beta_parietal,21067,0,0.34979132558501685,0.35566781590256874,7.749667144212716e-07,5.057363853725157
gamma_parietal,21067,0,0.078111709909482,0.10924341501417482,2.44613193461091e-07,5.969066159942112
delta_occipital,21067,0,5.814356971903703,27.260744670616806,8.60089944392363e-06,1800.0552218469395
theta_occipital,21067,0,3.192628693766309,6.292862083636359,5.119760326067993e-07,126.09854988314078
alpha_occipital,21067,0,4.3328207270872925,10.866799704930374,6.90187123801794e-07,303.7331690354401
beta_occipital,21067,0,0.4697183611738036,0.536355162990747,2.7866852584359785e-07,10.026394166753214
gamma_occipital,21067,0,0.11247992796403375,0.12644260656986833,8.73558090575904e-08,3.511863017782583
delta_temporal,21067,0,2.486214555767607,7.612492778346447,2.935226727323424e-05,296.61448367955575
theta_temporal,21067,0,1.5595387988605909,2.7386316802112725,1.514268611387869e-06,56.38047259122553
alpha_temporal,21067,0,1.3750053008745124,2.0006770340985973,2.0703403225330525e-06,31.581741784896224
beta_temporal,21067,0,0.3837989040671573,0.4902680904332552,8.267228664462671e-07,11.653210674774485
gamma_temporal,21067,0,0.19187294731331692,0.3671416968074903,2.612184117569946e-07,12.74266455082252
theta_alpha_frontal_ratio,21067,0,2.032577888323202,2.008119725053322,0.0848145693883718,32.95431821737169
alpha_beta_frontal_ratio,21067,0,3.9594722204206985,4.5485187161647875,0.0363369675665531,84.32912972070622
theta_alpha_central_ratio,21067,0,1.5750520071801617,1.51034592493418,0.036631129846358,22.89550398610353
alpha_beta_central_ratio,21067,0,6.304736231032193,6.6902362994004925,0.0580687630760538,112.8321971010932
theta_alpha_parietal_ratio,21067,0,1.440200706418425,1.528833118222195,0.0247723205598409,62.91711757449488
alpha_beta_parietal_ratio,21067,0,8.493403162522915,8.182093755311246,0.1391424047683906,93.42273474599308
theta_alpha_occipital_ratio,21067,0,1.827362258644,2.9074675529363545,0.0045613719098894,78.40044489802112
alpha_beta_occipital_ratio,21067,0,8.73301486509807,11.636569225534947,0.0283699437701892,259.0490586586
theta_alpha_temporal_ratio,21067,0,1.7647685094987033,1.9655399299218053,0.0411470394593123,38.73760083978264
alpha_beta_temporal_ratio,21067,0,4.527935674443576,4.937850478962855,0.0903108948705852,77.94212728204703
delta_frontoparietal_diff,21067,0,1.6098519413597974,11.157911697207789,-202.0366069117123,332.91463471297914
delta_frontoparietal_ratio,21067,0,1.2992953300120058,1.2107011192955428,0.0123467687575373,61.47755911664401
theta_frontoparietal_diff,21067,0,-0.9601963828369889,3.0667368337634855,-48.55176794840982,38.36196313173424
theta_frontoparietal_ratio,21067,0,0.8704573677605354,0.6675557496471245,0.0272741296694244,14.977552515897756
alpha_frontoparietal_diff,21067,0,-1.8526244688676994,3.8226262545682768,-82.58968733143463,8.794217992824432
alpha_frontoparietal_ratio,21067,0,0.5694394366778617,0.39105348241297677,0.0132280989216938,13.290600102000557
beta_frontoparietal_diff,21067,0,0.029502679603802505,0.4057795644890963,-2.5272767644462046,11.095986408627292
beta_frontoparietal_ratio,21067,0,1.598179410079316,2.034680814557071,0.121641775168846,30.740646782566305
gamma_frontoparietal_diff,21067,0,0.10706820052877604,0.3309309642771462,-2.5039609369540154,16.53088983915545
gamma_frontoparietal_ratio,21067,0,3.684474302938006,5.220220884551266,0.0463795283966044,72.30822949403186
