feature,constant_within_subject_fraction
sfreq,1.0
n_channels,1.0
n_timepoints,1.0
delta_abs,0.0
theta_abs,0.0
alpha_abs,0.0
beta_abs,0.0
gamma_abs,0.0
delta_rel,0.0
theta_rel,0.0
alpha_rel,0.0
beta_rel,0.0
gamma_rel,0.0
theta_alpha_ratio,0.0
theta_beta_ratio,0.0
alpha_beta_ratio,0.0
delta_theta_ratio,0.0
theta_alpha_beta_ratio,0.0
delta_frontal,0.0
theta_frontal,0.0
alpha_frontal,0.0
beta_frontal,0.0
gamma_frontal,0.0
delta_central,0.0
theta_central,0.0
alpha_central,0.0
beta_central,0.0
gamma_central,0.0
delta_parietal,0.0
theta_parietal,0.0
alpha_parietal,0.0
beta_parietal,0.0
gamma_parietal,0.0
delta_occipital,0.0
theta_occipital,0.0
alpha_occipital,0.0
beta_occipital,0.0
gamma_occipital,0.0
delta_temporal,0.0
theta_temporal,0.0
alpha_temporal,0.0
beta_temporal,0.0
gamma_temporal,0.0
theta_alpha_frontal_ratio,0.0
alpha_beta_frontal_ratio,0.0
theta_alpha_central_ratio,0.0
alpha_beta_central_ratio,0.0
theta_alpha_parietal_ratio,0.0
alpha_beta_parietal_ratio,0.0
theta_alpha_occipital_ratio,0.0
alpha_beta_occipital_ratio,0.0
theta_alpha_temporal_ratio,0.0
alpha_beta_temporal_ratio,0.0
delta_frontoparietal_diff,0.0
delta_frontoparietal_ratio,0.0
theta_frontoparietal_diff,0.0
theta_frontoparietal_ratio,0.0
alpha_frontoparietal_diff,0.0
alpha_frontoparietal_ratio,0.0
beta_frontoparietal_diff,0.0
beta_frontoparietal_ratio,0.0
gamma_frontoparietal_diff,0.0
gamma_frontoparietal_ratio,0.0
