target,model,fold,train_rows,test_rows,train_subjects,test_subjects,accuracy,balanced_accuracy,f1,roc_auc,subject_overlap
remember,logistic_regression,1,17324,3743,19,4,0.44910499599251935,0.4485440583050553,0.41486946651532347,0.4388118437568887,0
remember,logistic_regression,2,16603,4464,19,4,0.4693100358422939,0.48474565325028524,0.44919786096256686,0.4728564560291707,0
remember,logistic_regression,3,16414,4653,17,6,0.4833440790887599,0.49799865511407926,0.3910840932117528,0.4833270202747686,0
remember,logistic_regression,4,17531,3536,18,5,0.5248868778280543,0.5089256734826355,0.5977011494252874,0.5089959750698745,0
remember,logistic_regression,5,16396,4671,19,4,0.5157353885677585,0.4970164732397545,0.6045454545454545,0.4972042891816162,0
remember,random_forest,1,17324,3743,19,4,0.4811648410366017,0.4844660338331051,0.604480651731161,0.4567898925568768,0
remember,random_forest,2,16603,4464,19,4,0.5197132616487455,0.4940101425014275,0.6154949784791965,0.47684702905897386,0
remember,random_forest,3,16414,4653,17,6,0.5291209972061036,0.5070679925700443,0.6446066504460665,0.5203324782515443,0
remember,random_forest,4,17531,3536,18,5,0.5455316742081447,0.5272596047079725,0.6207222091102195,0.55073360034796,0
remember,random_forest,5,16396,4671,19,4,0.5397131235281525,0.5001186840857911,0.6745382985165002,0.483245964277111,0
correct,logistic_regression,1,16806,4261,18,5,0.4433231635766252,0.41846294152312113,0.593974666210202,0.39095949955932435,0
correct,logistic_regression,2,17034,4033,19,4,0.5321100917431193,0.521805573635338,0.684606384756811,0.5293597587433828,0
correct,logistic_regression,3,17167,3900,18,5,0.21871794871794872,0.46968728084663636,0.32722455288143076,0.5100326974610447,0
correct,logistic_regression,4,16657,4410,19,4,0.5378684807256235,0.49598585029501585,0.6932570740517761,0.4796574960733648,0
correct,logistic_regression,5,16604,4463,18,5,0.6506833968182837,0.49717300666477876,0.7851729364751274,0.48864155715251045,0
correct,random_forest,1,16806,4261,18,5,0.9068293827739967,0.5,0.9511384615384615,0.5050381093188562,0
correct,random_forest,2,17034,4033,19,4,0.9499132159682618,0.49869825566258785,0.9743133265513734,0.5271034018918684,0
correct,random_forest,3,17167,3900,18,5,0.9612820512820512,0.5,0.980258857366976,0.48975002605551327,0
correct,random_forest,4,16657,4410,19,4,0.9519274376417234,0.49937127775705065,0.9753602975360297,0.5190758473932209,0
correct,random_forest,5,16604,4463,18,5,0.962581223392337,0.49988363974866185,0.9809338965635347,0.40554491645894725,0
