target,model,fold,subject,n_trials,accuracy,balanced_accuracy,f1,roc_auc
remember,logistic_regression,1,sub-007,828,0.33454106280193235,0.5041228070175439,0.4218258132214061,0.554437134502924
remember,logistic_regression,1,sub-010,944,0.4788135593220339,0.4834743800261041,0.514792899408284,0.4695194120481477
remember,logistic_regression,1,sub-014,945,0.5079365079365079,0.5118577075098815,0.41064638783269963,0.5300879244978625
remember,logistic_regression,1,sub-019,1026,0.4600389863547758,0.49696663685979464,0.2786458333333333,0.5046213499429558
remember,logistic_regression,2,sub-003,1178,0.4592529711375212,0.4815313235836375,0.3053435114503817,0.47044750465273605
remember,logistic_regression,2,sub-008,1064,0.47650375939849626,0.4777860235003092,0.5202411714039621,0.4501669758812616
remember,logistic_regression,2,sub-016,472,0.4279661016949153,0.5109887918311994,0.5484949832775919,0.5273423477324398
remember,logistic_regression,2,sub-023,1750,0.4828571428571429,0.49860853432282004,0.4430769230769231,0.507741849986748
remember,logistic_regression,3,sub-001,545,0.4935779816513762,0.48472486307006835,0.5591054313099042,0.4730397025853506
remember,logistic_regression,3,sub-002,1193,0.4685666387259011,0.49777938050409964,0.4379432624113475,0.4857097806536009
remember,logistic_regression,3,sub-015,320,0.5625,0.5312028795174863,0.6650717703349283,0.5135950192129968
remember,logistic_regression,3,sub-017,463,0.4406047516198704,0.5121792632273592,0.2404692082111437,0.5169830363728116
remember,logistic_regression,3,sub-022,1862,0.49516648764769067,0.5024725274725275,0.265625,0.48341836734693877
remember,logistic_regression,3,sub-024,270,0.42592592592592593,,0.0,
remember,logistic_regression,4,sub-004,747,0.48326639892904955,0.4756985055230669,0.40615384615384614,0.4664861742834452
remember,logistic_regression,4,sub-005,1296,0.5385802469135802,0.49388058396712997,0.6681465038845728,0.49440024866198484
remember,logistic_regression,4,sub-006,56,0.5535714285714286,0.5289855072463768,0.6376811594202898,0.5942028985507247
remember,logistic_regression,4,sub-012,461,0.6963123644251626,0.47002262443438914,0.8181818181818182,0.4678948502477914
remember,logistic_regression,4,sub-018,976,0.45594262295081966,0.4933778305842885,0.4,0.48102896980710097
remember,logistic_regression,5,sub-009,1335,0.500374531835206,0.49524674286843073,0.6454013822434875,0.46460254464806816
remember,logistic_regression,5,sub-011,1397,0.5841088045812455,0.5110329761516674,0.7229375298044826,0.5463164846888879
remember,logistic_regression,5,sub-020,981,0.46075433231396534,0.48325249439861706,0.3379224030037547,0.4908657598160564
remember,logistic_regression,5,sub-021,958,0.49373695198329853,0.5094178388632378,0.48568398727465534,0.5279403342997244
remember,random_forest,1,sub-007,828,0.28743961352657005,0.5028947368421053,0.43159922928709055,0.4853326023391813
remember,random_forest,1,sub-010,944,0.6016949152542372,0.5119924775097189,0.7428180574555403,0.5514223962499823
remember,random_forest,1,sub-014,945,0.49523809523809526,0.4938358742706569,0.5300492610837438,0.5051602986385595
remember,random_forest,1,sub-019,1026,0.51364522417154,0.47763328296999785,0.6422939068100358,0.4729656809842435
remember,random_forest,2,sub-003,1178,0.5025466893039049,0.4768698772722918,0.629582806573957,0.46906111996655253
remember,random_forest,2,sub-008,1064,0.49906015037593987,0.5045269016697589,0.6444296197464977,0.48196130400212034
remember,random_forest,2,sub-016,472,0.6610169491525424,0.5540664512783695,0.782016348773842,0.5199832475768816
remember,random_forest,2,sub-023,1750,0.5057142857142857,0.5123376623376623,0.5088018171493469,0.5149204876755897
remember,random_forest,3,sub-001,545,0.5761467889908257,0.4822771518574226,0.7220216606498195,0.48272412520929703
remember,random_forest,3,sub-002,1193,0.5834031852472757,0.4938228526711673,0.7326519634211942,0.4930461468382817
remember,random_forest,3,sub-015,320,0.68125,0.4891288486794105,0.8068181818181818,0.4553480227637531
remember,random_forest,3,sub-017,463,0.49892008639308855,0.5070455339466635,0.5265306122448979,0.4872966887931369
remember,random_forest,3,sub-022,1862,0.5037593984962406,0.4992889463477699,0.5896980461811723,0.49391102594884106
remember,random_forest,3,sub-024,270,0.24074074074074073,,0.0,
remember,random_forest,4,sub-004,747,0.4685408299866131,0.4775828460038986,0.5018820577164367,0.48238755324525306
remember,random_forest,4,sub-005,1296,0.5524691358024691,0.5344872803566745,0.6282051282051282,0.5559538032656313
remember,random_forest,4,sub-006,56,0.5357142857142857,0.45454545454545453,0.6976744186046512,0.5540184453227932
remember,random_forest,4,sub-012,461,0.7245119305856833,0.48482277526395173,0.8382165605095542,0.49620232708468004
remember,random_forest,4,sub-018,976,0.5112704918032787,0.5249336035784177,0.5272547076313181,0.5188421687168017
remember,random_forest,5,sub-009,1335,0.5183520599250936,0.5126356951091398,0.6690684508492023,0.4953174524786524
remember,random_forest,5,sub-011,1397,0.5619183965640658,0.5006329355083171,0.6943056943056943,0.5099237513812388
remember,random_forest,5,sub-020,981,0.4964322120285423,0.4793084494868546,0.5883333333333334,0.445836515142615
remember,random_forest,5,sub-021,958,0.581419624217119,0.51020079458821,0.7255304585900069,0.5221375138695014
correct,logistic_regression,1,sub-007,828,0.4577294685990338,0.5606617647058824,0.6230058774139379,0.4997957516339869
correct,logistic_regression,1,sub-015,320,0.359375,,0.5287356321839081,
correct,logistic_regression,1,sub-020,981,0.7135575942915392,0.47125618348073756,0.8316357100059916,0.5324913806026084
correct,logistic_regression,1,sub-022,1862,0.3297529538131042,0.49688208616780044,0.4671221178479932,0.45518071174047847
correct,logistic_regression,1,sub-024,270,0.3,0.5045630045630045,0.07804878048780488,0.4973674973674973
correct,logistic_regression,2,sub-004,747,0.1753681392235609,0.4957912457912458,0.21428571428571427,0.4957778846667736
correct,logistic_regression,2,sub-008,1064,0.8120300751879699,0.5227970706354831,0.8948475289169295,0.4942712024568864
correct,logistic_regression,2,sub-016,472,0.809322033898305,,0.8946135831381733,
correct,logistic_regression,2,sub-023,1750,0.43942857142857145,0.4889880952380952,0.5984445354072861,0.47318027210884356
correct,logistic_regression,3,sub-001,545,0.7045871559633028,0.366412213740458,0.8266953713670614,0.22782624500181753
correct,logistic_regression,3,sub-006,56,0.5892857142857143,,0.7415730337078652,
correct,logistic_regression,3,sub-010,944,0.10911016949152542,0.5208333333333333,0.11752360965372508,0.6966610863095237
correct,logistic_regression,3,sub-011,1397,0.1882605583392985,0.4617359359093524,0.2712082262210797,0.442260877262869
correct,logistic_regression,3,sub-021,958,0.07306889352818371,0.494476392251816,0.11377245508982035,0.5446428571428572
correct,logistic_regression,4,sub-002,1193,0.8348700754400671,,0.9100045682960256,
correct,logistic_regression,4,sub-005,1296,0.3626543209876543,0.4653104130596092,0.5158264947245017,0.42714259213455363
correct,logistic_regression,4,sub-014,945,0.6052910052910053,0.4200680272108843,0.749832327297116,0.30380088543353856
