feature,remember_effect,correct_effect,remember_abs_effect,correct_abs_effect,cross_target_agreement
alpha_abs,-0.0458861984524665,0.2737862285941788,0.0458861984524665,0.2737862285941788,opposite_direction
alpha_beta_central_ratio,-0.2817822470669995,1.0588167279465992,0.2817822470669995,1.0588167279465992,opposite_direction
alpha_beta_frontal_ratio,-0.114316307364513,0.5925261508220454,0.114316307364513,0.5925261508220454,opposite_direction
alpha_beta_occipital_ratio,-0.3011693679807816,0.9078951350575944,0.3011693679807816,0.9078951350575944,opposite_direction
alpha_beta_parietal_ratio,-0.1230716605649302,0.9835138032318582,0.1230716605649302,0.9835138032318582,opposite_direction
alpha_beta_ratio,-0.1015785012376735,0.538241535729493,0.1015785012376735,0.538241535729493,opposite_direction
alpha_beta_temporal_ratio,-0.0396094661899448,-0.0317793366853029,0.0396094661899448,0.0317793366853029,same_direction
alpha_central,-0.0777916514710383,0.2913718051586234,0.0777916514710383,0.2913718051586234,opposite_direction
alpha_frontal,-0.0242559269682092,0.1761544002949546,0.0242559269682092,0.1761544002949546,opposite_direction
alpha_frontoparietal_diff,0.0684199667011435,-0.2457983468651301,0.0684199667011435,0.2457983468651301,opposite_direction
alpha_frontoparietal_ratio,0.0066978027009623,-0.0200598330384644,0.0066978027009623,0.0200598330384644,opposite_direction
alpha_occipital,0.0827543413084308,0.3252131024252485,0.0827543413084308,0.3252131024252485,same_direction
alpha_rel,0.0034309465301826,0.0175304277247444,0.0034309465301826,0.0175304277247444,same_direction
alpha_temporal,-0.0507766219419318,0.2003667333175489,0.0507766219419318,0.2003667333175489,opposite_direction
beta_abs,0.0058254016788378,0.0324235303582391,0.0058254016788378,0.0324235303582391,same_direction
beta_central,0.0062002185686043,0.0159778114775971,0.0062002185686043,0.0159778114775971,same_direction
beta_frontal,0.0049532286329431,0.0025680976926206,0.0049532286329431,0.0025680976926206,same_direction
beta_frontoparietal_diff,-0.0004816229401669,-0.0525472242842672,0.0004816229401669,0.0525472242842672,same_direction
beta_frontoparietal_ratio,-0.0463761073516613,-0.178807458673208,0.0463761073516613,0.178807458673208,same_direction
beta_occipital,0.0124622517896336,0.03696126697373,0.0124622517896336,0.03696126697373,same_direction
beta_parietal,0.00543485157311,0.0551153219768879,0.00543485157311,0.0551153219768879,same_direction
beta_rel,0.0014700022763138,-0.0015474107262714,0.0014700022763138,0.0015474107262714,opposite_direction
beta_temporal,0.0102360165548607,0.1063339822220392,0.0102360165548607,0.1063339822220392,same_direction
delta_abs,-0.3359921307783562,-1.443957583598896,0.3359921307783562,1.443957583598896,same_direction
delta_central,-0.0850755417405622,-0.3607989816160346,0.0850755417405622,0.3607989816160346,same_direction
delta_frontoparietal_diff,-0.2501825786103073,-1.5195109433680205,0.2501825786103073,1.5195109433680205,same_direction
delta_frontoparietal_ratio,0.0091484223653113,-0.069527851805583,0.0091484223653113,0.069527851805583,opposite_direction
delta_occipital,0.4747954999468851,0.4761461561323274,0.4747954999468851,0.4761461561323274,same_direction
delta_parietal,-0.2250862982627182,-0.7315767031354068,0.2250862982627182,0.7315767031354068,same_direction
delta_rel,-0.0025564866389498,-0.0394681145542373,0.0025564866389498,0.0394681145542373,same_direction
delta_temporal,-0.3563561735405196,-0.2506245280249448,0.3563561735405196,0.2506245280249448,same_direction
delta_theta_ratio,-0.4211713678033959,-1.1145766762746154,0.4211713678033959,1.1145766762746154,same_direction
gamma_abs,0.0061325332000337,0.0129560515684556,0.0061325332000337,0.0129560515684556,same_direction
gamma_central,0.0055102751278641,0.0032240221168111,0.0055102751278641,0.0032240221168111,same_direction
gamma_frontal,0.0004946483939569,-0.0095864648697016,0.0004946483939569,0.0095864648697016,opposite_direction
gamma_frontoparietal_ratio,-0.2465378010723733,-0.5796949672324905,0.2465378010723733,0.5796949672324905,same_direction
gamma_occipital,0.0153329162954944,0.0132401140095298,0.0153329162954944,0.0132401140095298,same_direction
gamma_parietal,0.0067033358779924,0.0135698623330476,0.0067033358779924,0.0135698623330476,same_direction
gamma_rel,0.0002476360551346,-0.0012532810482517,0.0002476360551346,0.0012532810482517,opposite_direction
gamma_temporal,0.0114701590569815,0.0824967064193827,0.0114701590569815,0.0824967064193827,same_direction
theta_abs,-0.1930376038406147,0.4228316544939132,0.1930376038406147,0.4228316544939132,opposite_direction
theta_alpha_central_ratio,-0.0040230730696786,0.0011671837226672,0.0040230730696786,0.0011671837226672,opposite_direction
theta_alpha_frontal_ratio,-0.0374592341778501,-0.0279890214491596,0.0374592341778501,0.0279890214491596,same_direction
theta_alpha_occipital_ratio,0.0298974587509148,0.1631099213552205,0.0298974587509148,0.1631099213552205,same_direction
theta_alpha_parietal_ratio,-0.021540623757889,0.0862189671251065,0.021540623757889,0.0862189671251065,opposite_direction
theta_alpha_ratio,-0.0195697834671273,0.0160163635110861,0.0195697834671273,0.0160163635110861,opposite_direction
theta_alpha_temporal_ratio,-0.0404204162061454,-0.0099048116899713,0.0404204162061454,0.0099048116899713,same_direction
theta_beta_ratio,-0.3424385498736004,0.7977931256118733,0.3424385498736004,0.7977931256118733,opposite_direction
theta_central,-0.1245452053242046,0.3493210928413732,0.1245452053242046,0.3493210928413732,opposite_direction
theta_frontoparietal_diff,0.1770006101954757,-0.3007786594133896,0.1770006101954757,0.3007786594133896,opposite_direction
theta_frontoparietal_ratio,0.0131054124356159,-0.095871240909116,0.0131054124356159,0.095871240909116,opposite_direction
theta_occipital,-0.1364415539417218,0.6515027835828651,0.1364415539417218,0.6515027835828651,opposite_direction
theta_parietal,-0.3370532596592301,0.6252947524007433,0.3370532596592301,0.6252947524007433,opposite_direction
theta_rel,-0.0025920982226814,0.0247383786040161,0.0025920982226814,0.0247383786040161,opposite_direction
theta_temporal,-0.1777613758745846,0.3108521749391855,0.1777613758745846,0.3108521749391855,opposite_direction
