feature,frequency,region
alpha_beta_central_ratio,alpha,central
theta_temporal,theta,temporal
theta_occipital,theta,occipital
delta_rel,delta,global
beta_parietal,beta,parietal
theta_central,theta,central
alpha_beta_frontal_ratio,alpha,frontal
beta_frontoparietal_diff,beta,parietal
alpha_rel,alpha,global
theta_abs,theta,global
alpha_beta_parietal_ratio,alpha,parietal
theta_parietal,theta,parietal
alpha_beta_ratio,alpha,global
gamma_frontoparietal_ratio,gamma,parietal
theta_beta_ratio,theta,global
alpha_temporal,alpha,temporal
beta_abs,beta,global
beta_frontoparietal_ratio,beta,parietal
beta_occipital,beta,occipital
theta_alpha_parietal_ratio,theta,parietal
theta_alpha_occipital_ratio,theta,occipital
gamma_temporal,gamma,temporal
beta_temporal,beta,temporal
theta_rel,theta,global
alpha_central,alpha,central
theta_frontoparietal_ratio,theta,parietal
delta_frontoparietal_diff,delta,parietal
delta_central,delta,central
delta_abs,delta,global
gamma_parietal,gamma,parietal
delta_parietal,delta,parietal
gamma_occipital,gamma,occipital
alpha_abs,alpha,global
alpha_frontal,alpha,frontal
theta_frontoparietal_diff,theta,parietal
delta_theta_ratio,delta,global
alpha_beta_occipital_ratio,alpha,occipital
beta_central,beta,central
delta_frontoparietal_ratio,delta,parietal
alpha_frontoparietal_diff,alpha,parietal
alpha_frontoparietal_ratio,alpha,parietal
gamma_rel,gamma,global
beta_rel,beta,global
gamma_frontal,gamma,frontal
delta_occipital,delta,occipital
theta_alpha_ratio,theta,global
theta_alpha_temporal_ratio,theta,temporal
theta_alpha_central_ratio,theta,central
gamma_abs,gamma,global
delta_temporal,delta,temporal
alpha_occipital,alpha,occipital
gamma_central,gamma,central
theta_alpha_frontal_ratio,theta,frontal
alpha_beta_temporal_ratio,alpha,temporal
beta_frontal,beta,frontal
