target,frequency,features,fdr_significant,mean_absolute_effect,max_absolute_effect,significant_fraction
correct,alpha,14,10,0.40450382620655617,1.0588167279465992,0.7142857142857143
correct,beta,9,7,0.05358690048720672,0.178807458673208,0.7777777777777778
correct,delta,9,7,0.6673541709455628,1.5195109433680205,0.7777777777777778
correct,gamma,8,4,0.08950268369970882,0.5796949672324905,0.5
correct,theta,15,11,0.25889267544331246,0.7977931256118733,0.7333333333333333
remember,alpha,14,2,0.09439578617708626,0.3011693679807816,0.14285714285714285
remember,beta,9,0,0.010382189040681278,0.0463761073516613,0.0
remember,delta,9,2,0.24004049996522284,0.4747954999468851,0.2222222222222222
remember,gamma,8,4,0.03655366313497886,0.2465378010723733,0.5
remember,theta,15,6,0.1104590839198223,0.3424385498736004,0.4
