target,frequency,region,feature_count,fdr_significant_features,mean_effect,median_effect,mean_absolute_effect,max_absolute_effect,positive_features,negative_features,directional_consistency,network_class,scientific_network_score,scientific_network_rank
correct,theta,parietal,4,4,0.07871595480083603,-0.0048261368920047495,0.27704090496208883,0.6252947524007433,2,2,0.5,statistical_pattern,13.277040904962089,1
correct,delta,global,3,3,-0.8660007914759161,-1.1145766762746154,0.8660007914759161,1.443957583598896,0,3,1.0,coherent_replicated_pattern,11.866000791475916,2
correct,delta,parietal,3,3,-0.7735384994363367,-0.7315767031354068,0.7735384994363367,1.5195109433680205,0,3,1.0,coherent_replicated_pattern,11.773538499436336,3
correct,theta,global,4,3,0.3153448805552222,0.22378501654896465,0.3153448805552222,0.7977931256118733,4,0,1.0,coherent_replicated_pattern,11.315344880555223,4
correct,alpha,global,3,3,0.27651939734947206,0.2737862285941788,0.27651939734947206,0.538241535729493,3,0,1.0,coherent_replicated_pattern,11.276519397349473,5
correct,beta,parietal,3,3,-0.05874645366019576,-0.0525472242842672,0.0954900016447877,0.178807458673208,1,2,0.6666666666666666,supported_directional_pattern,10.428823334978121,6
correct,alpha,central,2,2,0.6750942665526113,0.6750942665526113,0.6750942665526113,1.0588167279465992,2,0,1.0,coherent_replicated_pattern,8.67509426655261,7
correct,theta,occipital,2,2,0.4073063524690428,0.4073063524690428,0.4073063524690428,0.6515027835828651,2,0,1.0,coherent_replicated_pattern,8.407306352469043,8
correct,alpha,frontal,2,2,0.38434027555850003,0.38434027555850003,0.38434027555850003,0.5925261508220454,2,0,1.0,coherent_replicated_pattern,8.3843402755585,9
remember,alpha,central,2,2,-0.1797869492690189,-0.1797869492690189,0.1797869492690189,0.2817822470669995,0,2,1.0,coherent_replicated_pattern,8.179786949269019,10
remember,theta,global,4,2,-0.13940950885100595,-0.10630369365387099,0.13940950885100595,0.3424385498736004,0,4,1.0,coherent_replicated_pattern,8.139409508851006,11
correct,gamma,parietal,2,2,-0.28306255244972145,-0.28306255244972145,0.296632414782769,0.5796949672324905,1,1,0.5,statistical_pattern,7.296632414782769,12
remember,theta,parietal,4,2,-0.042121965196506884,-0.00421760566113655,0.13717497651205268,0.3370532596592301,2,2,0.5,statistical_pattern,7.1371749765120525,13
remember,gamma,parietal,2,2,-0.11991723259719045,-0.11991723259719045,0.12662056847518285,0.2465378010723733,1,1,0.5,statistical_pattern,7.126620568475182,14
correct,alpha,occipital,2,1,0.6165541187414214,0.6165541187414214,0.6165541187414214,0.9078951350575944,2,0,1.0,supported_directional_pattern,5.616554118741421,15
correct,delta,central,1,1,-0.3607989816160346,-0.3607989816160346,0.3607989816160346,0.3607989816160346,0,1,1.0,supported_directional_pattern,5.360798981616035,16
remember,delta,temporal,1,1,-0.3563561735405196,-0.3563561735405196,0.3563561735405196,0.3563561735405196,0,1,1.0,supported_directional_pattern,5.35635617354052,17
