target,region,features,fdr_significant,mean_absolute_effect,max_absolute_effect,significant_fraction
correct,central,7,5,0.29723966069710084,1.0588167279465992,0.7142857142857143
correct,frontal,5,2,0.16176482702569636,0.5925261508220454,0.4
correct,global,14,10,0.3383657401713051,1.443957583598896,0.7142857142857143
correct,occipital,7,5,0.36772406850521655,0.9078951350575944,0.7142857142857143
correct,parietal,15,13,0.370525729052848,1.5195109433680205,0.8666666666666667
correct,temporal,7,4,0.1417654676140536,0.3108521749391855,0.5714285714285714
remember,central,7,4,0.08356117319556453,0.2817822470669995,0.5714285714285714
remember,frontal,5,0,0.03629586910749446,0.114316307364513,0.0
remember,global,14,2,0.10585208857538345,0.4211713678033959,0.14285714285714285
remember,occipital,7,1,0.15040762714483744,0.4747954999468851,0.14285714285714285
remember,parietal,15,5,0.10245602360459248,0.3370532596592301,0.3333333333333333
remember,temporal,7,2,0.09809003276642406,0.3563561735405196,0.2857142857142857
