feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect,abs_correct_effect,remember_effect_magnitude,correct_effect_magnitude,subjects_with_remember_effect,subjects_with_correct_effect,remember_subject_mean,remember_subject_median,remember_subject_std,remember_positive_subject_fraction,correct_subject_mean,correct_subject_median,correct_subject_std,correct_positive_subject_fraction
gamma_occipital,0.1040663658822985,0.11939928217779298,0.015332916295494478,0.12278218352999845,0.0999053705470938,0.11314548455662367,0.013240114009529874,0.1144965385884701,0.12278218352999845,0.1144965385884701,negligible,negligible,22,17,0.023031090473266878,0.013351357585986795,0.09783606291891937,0.5909090909090909,-0.08945879593248872,-0.054838859773607675,0.38489988472288655,0.35294117647058826
theta_temporal,1.6570809978025476,1.479319621927963,-0.17776137587458463,-0.06430007987514483,1.2643126007221177,1.5751647756613032,0.3108521749391855,0.129476694001286,0.06430007987514483,0.129476694001286,negligible,negligible,22,17,-0.0033958097139939127,0.002291131868478796,0.08968603512669825,0.5454545454545454,0.1082657771770009,0.06608167223143453,0.21663135631066407,0.7058823529411765
theta_parietal,3.0843992846463615,2.7473460249871313,-0.33705325965923016,-0.06391529772246798,2.305587252193009,2.9308820045937525,0.6252947524007433,0.13137103138509673,0.06391529772246798,0.13137103138509673,negligible,negligible,22,17,-0.010798479725520505,0.015170951642886565,0.11772190287730201,0.5909090909090909,0.08155791977439752,0.10985043000489166,0.20903483711217138,0.6470588235294118
gamma_parietal,0.07443341861268643,0.08113675449067886,0.0067033358779924335,0.06209972025991465,0.06522398002104908,0.0787938423540967,0.01356986233304762,0.1441849079303011,0.06209972025991465,0.1441849079303011,negligible,negligible,22,17,0.018942058685776406,0.02026889488011769,0.13591391471364092,0.6363636363636364,-0.05958862522387283,-0.10061624091185985,0.38754553486078297,0.4117647058823529
theta_frontoparietal_diff,-1.0573211302552117,-0.8803205200597359,0.17700061019547575,0.05725676007744678,-0.6745373228121586,-0.9753159822255483,-0.30077865941338966,-0.10784093097910247,0.05725676007744678,0.10784093097910247,negligible,negligible,22,17,0.007216404476452356,0.0012829558183184487,0.12557707040339725,0.5454545454545454,0.006159832855024096,-0.06208177862068067,0.15181070840408206,0.47058823529411764
theta_abs,2.240215120545099,2.047177516704484,-0.19303760384061475,-0.0561733946744207,1.7327137941335682,2.1555454486274814,0.42283165449391324,0.13641624715340667,0.0561733946744207,0.13641624715340667,negligible,negligible,22,17,-0.0029891438300134183,0.032126462221144444,0.11225530506304147,0.5909090909090909,0.09306439261390705,0.10118178855798575,0.25249170280926436,0.5882352941176471
theta_central,1.4611230178811807,1.336577812556976,-0.12454520532420466,-0.054213451555369316,1.0610205353673916,1.4103416282087649,0.34932109284137325,0.17000431381458686,0.054213451555369316,0.17000431381458686,negligible,negligible,22,17,-0.004115907282348806,0.011607086792101156,0.11360580080623112,0.5454545454545454,0.11307711641494934,0.1026073676032386,0.31435629645322627,0.5882352941176471
gamma_frontoparietal_ratio,3.819755879830617,3.5732180787582437,-0.24653780107237333,-0.047108000467819974,4.2350290522799945,3.655334085047504,-0.5796949672324905,-0.10758938013310458,0.047108000467819974,0.10758938013310458,negligible,negligible,22,17,0.026023240242854982,-0.035361980038823106,0.25051338712765975,0.4090909090909091,0.0009702615712471624,-0.1482127749572843,0.38680912890980945,0.4117647058823529
delta_temporal,2.6817562734363976,2.325400099895878,-0.3563561735405196,-0.04601797797116777,2.724240641908163,2.4736161138832182,-0.25062452802494484,-0.03719158659526036,0.04601797797116777,0.03719158659526036,negligible,negligible,22,17,-0.004455897646301734,0.01053291552516964,0.07787213633205103,0.5909090909090909,0.052089331966129096,0.09026004906708095,0.14132487911865518,0.6470588235294118
theta_beta_ratio,6.439506225303763,6.0970676754301625,-0.34243854987360045,-0.04595296225272401,5.493911954938681,6.291705080550554,0.7977931256118733,0.11512780681563103,0.04595296225272401,0.11512780681563103,negligible,negligible,22,17,0.0047794970527550796,0.008752057377367894,0.10498251820987091,0.5909090909090909,0.052442581580472686,0.08476628649160928,0.313703953089635,0.5882352941176471
alpha_beta_central_ratio,6.4593573339939105,6.177575086926911,-0.2817822470669995,-0.04203896791576451,5.299144305615401,6.357961033562,1.0588167279465992,0.17610219514448608,0.04203896791576451,0.17610219514448608,negligible,negligible,22,17,-0.006481369496393725,-0.0012023537617123136,0.12392089386028748,0.5,0.1440296475896216,0.09183577578633843,0.25609590766729845,0.7647058823529411
alpha_central,1.3431986586161866,1.2654070071451482,-0.07779165147103839,-0.041173231384163546,1.023787324842088,1.3151591300007113,0.2913718051586234,0.1675963816712261,0.041173231384163546,0.1675963816712261,negligible,negligible,22,17,-0.015015862222833536,-0.015011194281699726,0.1283688013368239,0.45454545454545453,0.0424679598750947,0.0177681990916285,0.18782245235358686,0.5294117647058824
