feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect
gamma_occipital,0.1040663658822985,0.11939928217779298,0.015332916295494478,0.12278218352999845,0.0999053705470938,0.11314548455662367,0.013240114009529874,0.1144965385884701,0.12278218352999845
theta_temporal,1.6570809978025476,1.479319621927963,-0.17776137587458463,-0.06430007987514483,1.2643126007221177,1.5751647756613032,0.3108521749391855,0.129476694001286,0.06430007987514483
theta_parietal,3.0843992846463615,2.7473460249871313,-0.33705325965923016,-0.06391529772246797,2.305587252193009,2.9308820045937525,0.6252947524007433,0.13137103138509673,0.06391529772246797
gamma_parietal,0.07443341861268643,0.08113675449067886,0.0067033358779924335,0.06209972025991465,0.06522398002104908,0.0787938423540967,0.01356986233304762,0.1441849079303011,0.06209972025991465
theta_frontoparietal_diff,-1.0573211302552117,-0.8803205200597359,0.17700061019547575,0.05725676007744678,-0.6745373228121586,-0.9753159822255483,-0.30077865941338966,-0.10784093097910247,0.05725676007744678
theta_abs,2.240215120545099,2.047177516704484,-0.19303760384061475,-0.0561733946744207,1.7327137941335682,2.1555454486274814,0.42283165449391324,0.13641624715340667,0.0561733946744207
theta_central,1.4611230178811807,1.336577812556976,-0.12454520532420466,-0.054213451555369316,1.0610205353673916,1.4103416282087649,0.34932109284137325,0.17000431381458686,0.054213451555369316
gamma_frontoparietal_ratio,3.819755879830617,3.5732180787582437,-0.24653780107237333,-0.047108000467819974,4.2350290522799945,3.655334085047504,-0.5796949672324905,-0.1075893801331046,0.047108000467819974
delta_temporal,2.6817562734363976,2.325400099895878,-0.3563561735405196,-0.04601797797116777,2.724240641908163,2.4736161138832182,-0.25062452802494484,-0.03719158659526036,0.04601797797116777
theta_beta_ratio,6.439506225303763,6.0970676754301625,-0.34243854987360045,-0.04595296225272401,5.493911954938681,6.291705080550554,0.7977931256118733,0.11512780681563103,0.04595296225272401
alpha_beta_central_ratio,6.4593573339939105,6.177575086926911,-0.2817822470669995,-0.04203896791576451,5.299144305615401,6.357961033562,1.0588167279465992,0.17610219514448608,0.04203896791576451
alpha_central,1.3431986586161866,1.2654070071451482,-0.07779165147103839,-0.041173231384163546,1.023787324842088,1.3151591300007113,0.2913718051586234,0.1675963816712261,0.041173231384163546
delta_parietal,3.200947119862368,2.9758608215996496,-0.2250862982627182,-0.037261127794126235,3.772238194453728,3.040661491318321,-0.7315767031354068,-0.10641784333070572,0.037261127794126235
gamma_central,0.05737159314612839,0.06288186827399256,0.005510275127864166,0.03586484726952742,0.05733326523826072,0.0605572873550719,0.003224022116811179,0.022880292343875383,0.03586484726952742
delta_theta_ratio,3.0825114222828605,2.6613400544794645,-0.4211713678033959,-0.03502782690713313,3.909952877027022,2.795376200752407,-1.1145766762746154,-0.10945925699881974,0.03502782690713313
beta_rel,0.06626881182984083,0.06773881410615472,0.0014700022763138865,0.03248105748628821,0.06854506474318528,0.06699765401691384,-0.0015474107262714448,-0.033560983545399374,0.03248105748628821
gamma_temporal,0.1855789786087692,0.19704913766575075,0.011470159056981538,0.031433353636695686,0.11352320116820798,0.19601990758759075,0.08249670641938277,0.2623199317454624,0.031433353636695686
delta_central,1.6560706411254236,1.5709950993848614,-0.0850755417405622,-0.03136934395779972,1.9520497915337742,1.5912508099177396,-0.36079898161603463,-0.11655186690301045,0.03136934395779972
delta_abs,4.198083973147984,3.8620918423696278,-0.3359921307783562,-0.030516005524419267,5.385088971526914,3.9411313879280176,-1.443957583598896,-0.10673917777137655,0.030516005524419267
beta_central,0.19978616064808805,0.20598637921669238,0.006200218568604338,0.030176719035283992,0.18801374286716538,0.20399155434476252,0.015977811477597137,0.08395451690123604,0.030176719035283992
gamma_abs,0.14206567587849137,0.14819820907852516,0.006132533200033791,0.02878144516886768,0.13312597891218053,0.1460820304806362,0.012956051568455668,0.048766695395311074,0.02878144516886768
alpha_beta_occipital_ratio,8.898274175576917,8.597104807596136,-0.30116936798078164,-0.02592084955432202,7.870757976968185,8.77865311202578,0.9078951350575943,0.08368715745891094,0.02592084955432202
alpha_rel,0.23032461614830269,0.23375556267848538,0.0034309465301826936,0.025343955025525212,0.21555805916212645,0.23308848688687087,0.01753042772474442,0.1293169274816491,0.025343955025525212
alpha_temporal,1.4028677278763984,1.3520911059344665,-0.05077662194193189,-0.025301122553453754,1.1847106409695654,1.3850773742871143,0.20036673331754895,0.10273524043632445,0.025301122553453754
alpha_beta_frontal_ratio,4.02220049274869,3.9078841853841766,-0.11431630736451304,-0.02504932684204819,3.3967312878888962,3.9892574387109416,0.5925261508220454,0.13179849162898902,0.02504932684204819
