final_rank,feature,feature_group,frequency_band,region,final_evidence_score,final_evidence_class,evidence_level,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_stable_count,loso_rows,loso_stability_rate,loso_mean_effect,null_significant,null_min_p,r_fdr_significant,r_min_p,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,top_10_flag,top_20_flag
1,alpha_beta_central_ratio,Frequency Ratio,Alpha,Central,0.6528487323831598,limited_multilayer_evidence,Moderate,2,2.7374404943671806e-09,0.1583539341510638,target_dissociated,0.012021455063968,0.0185124925685302,0.7,0,46,0.0,0.0687741390466139,0,1.0,0,0.6927925516030983,0.7003541432932022,0.8638009827992957,1.0,0.7,0.0,0.0,1,1
2,delta_abs,Absolute Band Power,Delta,Global / Mixed,0.59817359400696,limited_multilayer_evidence,Moderate,1,0.0058778508834395,0.1317639434412088,target_shared,0.0138638985118335,0.0265942424505776,0.7,0,46,0.0,0.0286642771693418,0,1.0,0,0.5827241271031729,0.580742273082922,1.0,0.7399401286811474,0.7,0.0,0.0,1,1
3,beta_temporal,Regional Band Power,Beta,Temporal,0.5949529843179377,limited_multilayer_evidence,Moderate,1,4.4132371288135055e-24,0.2171282757930247,target_preferential,0.0092352241343385,0.0169964855462604,1.0,0,46,0.0,-0.0297806655559938,0,1.0,0,0.9086975917369357,0.964743439283717,0.6578343276222438,0.3610012948627986,1.0,0.0,0.0,1,1
4,theta_abs,Absolute Band Power,Theta,Global / Mixed,0.5852430502113402,limited_multilayer_evidence,Moderate,2,5.477629943419366e-06,0.1237392080186769,target_dissociated,0.0111490543470897,0.0183450160265364,0.8,0,46,0.0,0.0450376243919468,0,1.0,0,0.6982259522172423,0.5446439674345499,0.7993104713636985,0.846099820399815,0.8,0.0,0.0,1,1
5,beta_parietal,Regional Band Power,Beta,Parietal,0.5498321009676342,limited_multilayer_evidence,Moderate,1,2.7374404943671806e-09,0.1550481442910112,weak_cross_target_pattern,0.007564677691506,0.0102064938642854,0.9,0,46,0.0,0.0198766270898477,0,1.0,0,0.894145784023616,0.6854834458191891,0.5343424592745308,0.6829637382896538,0.9,0.0,0.0,1,1
6,theta_parietal,Regional Band Power,Theta,Parietal,0.5419475502884159,limited_multilayer_evidence,Moderate,2,1.2914008919258045e-05,0.1193441987749964,target_dissociated,0.0104165949155947,0.0168193217809792,0.7,0,46,0.0,0.0353797200244385,0,1.0,0,0.9086975917369357,0.5248735477693315,0.7451648448997892,0.7834809718306257,0.7,0.0,0.0,1,1
7,alpha_beta_frontal_ratio,Frequency Ratio,Alpha,Frontal,0.539529339343512,limited_multilayer_evidence,Moderate,1,0.0001014112496675,0.1303176474367501,target_dissociated,0.0096749932044134,0.0169775178904503,0.9,0,46,0.0,0.0093184725356807,0,1.0,0,0.7189541462024842,0.5742362847259256,0.6903433933462736,0.6145079474638794,0.9,0.0,0.0,1,1
8,theta_beta_ratio,Frequency Ratio,Theta,Global / Mixed,0.5343625951990492,limited_multilayer_evidence,Moderate,2,0.0002196680024521,0.1075474890702915,target_dissociated,0.0093654184539337,0.0120073892499295,0.9,0,46,0.0,0.0286110393166138,0,1.0,0,0.9086975917369357,0.4718074701800471,0.6674586872705811,0.7395949509996059,0.9,0.0,0.0,1,1
9,beta_abs,Absolute Band Power,Beta,Global / Mixed,0.5313653989693492,limited_multilayer_evidence,Moderate,1,0.0033819575805418,0.0978581244466391,weak_cross_target_pattern,0.0108452052113663,0.0128181668264146,1.0,0,46,0.0,0.0062636898497392,0,1.0,0,0.5827241271031729,0.4282210305896472,0.7768490201258077,0.5947016864838794,1.0,0.0,0.0,1,1
10,theta_rel,Relative Band Power,Theta,Global / Mixed,0.5168148596334524,limited_multilayer_evidence,Moderate,1,4.763877686990766e-09,0.1940892963849802,weak_cross_target_pattern,0.0039801707477693,0.0072815043605287,0.6,0,46,0.0,0.0361272579379953,0,1.0,0,0.8772152494885191,0.8611053656641207,0.2693648158892643,0.788327775197847,0.6,0.0,0.0,1,1
