subject_left_out,target,feature,n_subjects,mean_effect,median_effect,direction,full_n_subjects,full_mean_effect,full_median_effect,full_direction,direction_agrees_with_full,absolute_mean_change,relative_mean_change
sub-001,remember,alpha_abs,21,-0.007590491068447523,0.0213409031658623,-1.0,22,-0.004225080718999699,0.02401404754028395,-1.0,True,0.003365410349447824,0.7965316104646151
sub-001,remember,alpha_beta_central_ratio,21,-0.014352417574310888,-0.0025246841906916,-1.0,22,-0.006481369496393726,-0.0012023537617123499,-1.0,True,0.00787104807791716,1.2144112571111183
sub-001,remember,alpha_beta_frontal_ratio,21,0.006767074268891548,-0.0017436997569701,1.0,22,0.006868067233128458,-0.00017555386438575,1.0,True,0.0001009929642369102,0.014704713976847184
sub-001,remember,alpha_beta_occipital_ratio,21,-0.01242722641343873,0.002846169028417,-1.0,22,-0.010147514905164053,0.0075259452461013,-1.0,True,0.002279711508274678,0.22465712340215796
sub-001,remember,alpha_beta_parietal_ratio,21,-0.014332523252185566,-0.0100953967486679,-1.0,22,-0.00889987824774338,-0.007146879630928599,-1.0,True,0.005432645004442186,0.6104179015954142
sub-001,remember,alpha_beta_ratio,21,-0.007827880178941345,-0.0047562250314685,-1.0,22,-0.004946131824715725,1.643148696604986e-05,-1.0,True,0.00288174835422562,0.5826266780488096
sub-001,remember,alpha_beta_temporal_ratio,21,0.05591635565150939,0.0413157779111308,1.0,22,0.05233680591085687,0.0315087420271479,1.0,True,0.00357954974065252,0.06839450131422654
sub-001,remember,alpha_central,21,-0.019501059157378715,-0.0269006979629089,-1.0,22,-0.01501586222283353,-0.01501119428169965,-1.0,True,0.004485196934545185,0.2986972621342297
sub-001,remember,alpha_frontal,21,-0.005183320944486748,0.0208244421122482,-1.0,22,-0.0030707927750683456,0.031058370447483198,-1.0,True,0.0021125281694184027,0.6879422755484974
sub-001,remember,alpha_frontoparietal_diff,21,0.014739298760410807,0.0003508395007239,1.0,22,0.00974893749781017,0.0002832907681079,1.0,True,0.004990361262600636,0.5118877071190151
sub-001,remember,alpha_frontoparietal_ratio,21,0.01840852146360252,-0.0087302300649315,1.0,22,0.01227663886432328,-0.010858941748103399,1.0,True,0.006131882599279241,0.4994756844317458
sub-001,remember,alpha_occipital,21,-0.015990033735498226,-0.0018726791703318,-1.0,22,-0.013808574837919587,0.006018385239761,-1.0,True,0.002181458897578639,0.15797856934432922
sub-001,remember,alpha_rel,21,-0.008182241684448819,0.0001746590438893,-1.0,22,-0.003156714484513651,0.00273943482436755,-1.0,True,0.0050255271999351675,1.5920119556550394
sub-001,remember,alpha_temporal,21,0.014706040274222646,0.0188570018099933,1.0,22,0.01629686962287168,0.025018799178911,1.0,True,0.0015908293486490335,0.09761563941190275
sub-001,remember,beta_abs,21,0.01000377396288116,0.0015822985112636,1.0,22,0.011882839884920149,0.0064287775629291,1.0,True,0.0018790659220389878,0.15813273091591565
sub-001,remember,beta_central,21,-0.008326038462381306,0.0213291994335232,-1.0,22,-0.009108361260200665,0.017305056347534098,-1.0,True,0.0007823227978193594,0.08589062021922088
sub-001,remember,beta_frontal,21,0.005577010909792344,0.0272890012761169,1.0,22,0.006292755656684213,0.02676135788213745,1.0,True,0.0007157447468918686,0.11374106765636119
sub-001,remember,beta_frontoparietal_diff,21,0.016687667061527117,0.0118892291000058,1.0,22,0.015061675649799796,0.0103621489766398,1.0,True,0.0016259914117273209,0.10795554555372025
sub-001,remember,beta_frontoparietal_ratio,21,0.010429899248921775,0.0303288138071968,1.0,22,0.009995618660365795,0.0250422045529727,1.0,True,0.0004342805885559804,0.043447094503311884
sub-001,remember,beta_occipital,21,-0.014894422598295088,0.0042915554102766,-1.0,22,-0.011332306790655403,0.01008362228756505,-1.0,True,0.0035621158076396854,0.31433280738366515
sub-001,remember,beta_parietal,21,-0.010655234584092814,0.0014058908518956,-1.0,22,-0.005930338816362909,0.005094234456075399,-1.0,True,0.004724895767729905,0.7967328535585585
sub-001,remember,beta_rel,21,0.011631818560326112,0.0180197776350641,1.0,22,0.01053903365996976,0.0168174660327096,1.0,True,0.0010927849003563514,0.10368928837442264
sub-001,remember,beta_temporal,21,-0.06919315528857284,0.0120496579886667,-1.0,22,-0.06158071509031959,0.012371174100029601,-1.0,True,0.007612440198253245,0.12361727510127453
sub-001,remember,delta_abs,21,0.001630260474969734,-0.0065310986896701,1.0,22,0.007228722856415695,-0.0031531389258265497,1.0,True,0.005598462381445961,0.7744746191890823
sub-001,remember,delta_central,21,-0.0026451414107552104,-0.0094764678096541,-1.0,22,-0.002242849784410514,-0.0058486340347987,-1.0,True,0.00040229162634469653,0.17936628174607355
sub-001,remember,delta_frontoparietal_diff,21,-0.01354658177083932,-0.0056186456872859,-1.0,22,-0.008891798665416483,-0.0035818687385868,-1.0,True,0.004654783105422836,0.5234917344144353
sub-001,remember,delta_frontoparietal_ratio,21,-0.006955350132186473,0.0149154362677029,-1.0,22,-0.008555437293700145,0.00552592003253765,-1.0,True,0.0016000871615136723,0.18702575994472048
sub-001,remember,delta_occipital,21,0.0014514212270596131,0.0070640186658745,1.0,22,0.009659547749774438,0.0202226940751393,1.0,True,0.008208126522714824,0.8497423207941069
sub-001,remember,delta_parietal,21,0.0005755674370059305,-0.0136349380070306,1.0,22,0.007668092957052327,-0.0127862519011169,1.0,True,0.007092525520046396,0.9249399504897
sub-001,remember,delta_rel,21,0.015095799204047673,0.0187659652572542,1.0,22,0.012862226458615516,0.0100134032748007,1.0,True,0.0022335727454321566,0.1736536635098693
sub-001,remember,delta_temporal,21,-0.006332588645850416,0.0104766210105404,-1.0,22,-0.004455897646301734,0.010532915525169599,-1.0,True,0.001876690999548682,0.4211701319275772
sub-001,remember,delta_theta_ratio,21,-0.003574097445664553,-0.0103725893448459,-1.0,22,-0.00018999032316373288,-0.0103091462388365,-1.0,True,0.00338410712250082,17.811997296222348
sub-001,remember,gamma_abs,21,0.02801882717946365,0.0454704048008172,1.0,22,0.025495370910866674,0.027636058275061652,1.0,True,0.002523456268596975,0.0989770369460059
sub-001,remember,gamma_central,21,0.015879041335462234,0.0509209297011822,1.0,22,0.014558284246406573,0.0427861302894467,1.0,True,0.001320757089055661,0.09072202923786599
sub-001,remember,gamma_frontal,21,0.023500536641750114,0.0229120009761729,1.0,22,0.020143744628534934,0.0143858938803237,1.0,True,0.0033567920132151798,0.16664190671182674
sub-001,remember,gamma_frontoparietal_ratio,21,0.022431805870369716,-0.0471491685534784,1.0,22,0.026023240242854986,-0.03536198003882305,1.0,True,0.0035914343724852693,0.13800873138660524
sub-001,remember,gamma_occipital,21,0.027305735422017724,0.0160456150036585,1.0,22,0.023031090473266857,0.0133513575859867,1.0,True,0.004274644948750867,0.18560323722893735
sub-001,remember,gamma_parietal,21,0.019292626776129817,0.0252819675475891,1.0,22,0.018942058685776395,0.02026889488011765,1.0,True,0.0003505680903534217,0.018507391206461814
sub-001,remember,gamma_rel,21,0.028058554031937535,0.0313494293066601,1.0,22,0.02631386588803555,0.0210692636781099,1.0,True,0.0017446881439019853,0.06630299596895278
sub-001,remember,gamma_temporal,21,-0.06116378670758921,0.0128595278210104,-1.0,22,-0.05651817964866923,0.02027048990149495,-1.0,True,0.004645607058919976,0.0821966858769727
sub-001,remember,theta_abs,21,-0.005321845835991666,0.0253465952983008,-1.0,22,-0.0029891438300134214,0.0321264622211444,-1.0,True,0.0023327020059782447,0.7803913557307046
sub-001,remember,theta_alpha_central_ratio,21,0.02737375222911304,0.0022639975020207,1.0,22,0.024055814630122893,0.0018794202919669499,1.0,True,0.0033179375989901456,0.13792663644969214
sub-001,remember,theta_alpha_frontal_ratio,21,0.011529847099286334,0.012405460018272,1.0,22,0.010202402386540039,0.0102901272273364,1.0,True,0.0013274447127462948,0.13011099371042095
sub-001,remember,theta_alpha_occipital_ratio,21,0.024316615088911968,0.0022400203155615,1.0,22,0.019958592202797092,-0.00039517783826780004,1.0,True,0.0043580228861148755,0.21835322059960327
sub-001,remember,theta_alpha_parietal_ratio,21,0.02169819605728317,-0.0092970279075838,1.0,22,0.01811562122035374,-0.01519353624041025,1.0,True,0.00358257483692943,0.1977616330873733
sub-001,remember,theta_alpha_ratio,21,0.015499139254464833,0.0139125410978419,1.0,22,0.013720792059534921,0.0072135815711985,1.0,True,0.001778347194929912,0.12960966008475394
sub-001,remember,theta_alpha_temporal_ratio,21,-0.0005627416837037753,-0.0084465845946709,-1.0,22,0.0003842089452644267,-0.004374930220801349,1.0,False,0.000946950628968202,2.464676162905254
