target,feature,full_mean_effect,full_median_effect,direction_stability,mean_absolute_change,max_absolute_change,mean_relative_change,LOSO_stability_class
correct,alpha_beta_central_ratio,0.14402964758962156,0.0918357757863384,1.0,0.009083820311180985,0.03972270513028883,0.06306910044703562,high_LOSO_stability
correct,theta_central,0.11307711641494934,0.1026073676032386,1.0,0.00903665183139019,0.06292749254387467,0.07991583193746442,high_LOSO_stability
correct,theta_temporal,0.10826577717700087,0.0660816722314345,1.0,0.007905512586957167,0.02972275334081778,0.07301949695546592,high_LOSO_stability
correct,theta_abs,0.09306439261390705,0.1011817885579857,1.0,0.008626684490056366,0.0439502853354609,0.09269586624656313,high_LOSO_stability
correct,theta_rel,0.08679106636054519,0.0267486725345396,1.0,0.01087637826050312,0.05500185415168444,0.125316794879795,high_LOSO_stability
correct,theta_parietal,0.08155791977439754,0.1098504300048916,1.0,0.007407357262366551,0.03189478314807288,0.09082327360551255,high_LOSO_stability
correct,theta_alpha_occipital_ratio,0.07878043065566702,0.0375691400620294,1.0,0.006145259890807092,0.03167142987474665,0.07800490349775761,high_LOSO_stability
correct,theta_occipital,0.07227551076487133,0.0680261649250033,1.0,0.005846255026643059,0.02655346657485861,0.0808884636687281,high_LOSO_stability
correct,alpha_beta_temporal_ratio,0.06494299068767259,0.0617200039401055,1.0,0.008996414384499938,0.0285562058696932,0.1385278732814445,high_LOSO_stability
correct,delta_frontoparietal_diff,0.0627843531353025,0.0965889029100864,1.0,0.005153197209887454,0.02481857366088605,0.08207773039856175,high_LOSO_stability
correct,theta_alpha_ratio,0.05985120385013264,0.0618279945127793,1.0,0.006725554561203389,0.03246294986816816,0.11237124950809965,high_LOSO_stability
correct,theta_alpha_temporal_ratio,0.058508311526769,-0.019445121900486,1.0,0.006817323839050839,0.02852686492468352,0.11651889554070868,high_LOSO_stability
correct,theta_alpha_parietal_ratio,0.057607059823141175,0.0484739848887195,1.0,0.00720504646558696,0.022364928229324323,0.12507228259361086,high_LOSO_stability
correct,beta_occipital,0.05622197652916972,0.075512730773342,1.0,0.011627444057503952,0.047001902943537247,0.20681314986269242,high_LOSO_stability
correct,theta_alpha_frontal_ratio,0.05565969462472302,0.0808250903691507,1.0,0.007756595478671674,0.0374997300646491,0.13935749254409918,high_LOSO_stability
correct,theta_beta_ratio,0.05244258158047268,0.0847662864916092,1.0,0.010917620461856533,0.05039252306018907,0.20818236121926117,high_LOSO_stability
remember,alpha_beta_temporal_ratio,0.05233680591085687,0.0315087420271479,1.0,0.003944423910060444,0.028378219557170452,0.07536615659692379,high_LOSO_stability
correct,delta_temporal,0.05208933196612908,0.0902600490670809,1.0,0.005369604328941585,0.017057247991904306,0.10308453048376881,high_LOSO_stability
correct,alpha_rel,0.05097832355011286,0.0454504463368716,1.0,0.006281042650219769,0.027340753502655375,0.12321006680506788,high_LOSO_stability
correct,delta_abs,0.0500998314822681,0.0751932060962368,1.0,0.0053848928004475195,0.020225318476921744,0.10748325176210226,high_LOSO_stability
correct,beta_parietal,0.04568359299605848,0.0300598021055862,1.0,0.0083530382476532,0.03230379696935184,0.18284547470628879,high_LOSO_stability
correct,alpha_central,0.04246795987509471,0.0177681990916285,1.0,0.006648063297835457,0.026263727754881762,0.15654303426367805,high_LOSO_stability
correct,delta_parietal,0.042145890738078534,0.0816931621013528,1.0,0.0048990632976060764,0.012560593519024579,0.11624059218612755,high_LOSO_stability
correct,delta_occipital,0.03884197513017873,0.0337134178161626,1.0,0.005902449285272911,0.016599932659634352,0.15196058556473693,high_LOSO_stability
correct,alpha_beta_parietal_ratio,0.037132833069950806,0.0382750490663845,1.0,0.006818776574068172,0.02096614980448009,0.18363200462574367,high_LOSO_stability
correct,alpha_temporal,0.027248635892917775,0.0259348503649758,1.0,0.006030160968674232,0.020741653328223662,0.2213013888978398,high_LOSO_stability
remember,gamma_rel,0.02631386588803555,0.0210692636781099,1.0,0.004000302794115728,0.019764466915891142,0.1520226184604291,high_LOSO_stability
remember,gamma_abs,0.025495370910866674,0.027636058275061652,1.0,0.005009588029110636,0.014523847346657428,0.1964901019335806,high_LOSO_stability
remember,theta_alpha_central_ratio,0.024055814630122893,0.0018794202919669499,1.0,0.0034288156759171157,0.010636248943520537,0.14253583712037435,high_LOSO_stability
remember,gamma_occipital,0.023031090473266857,0.0133513575859867,1.0,0.0035761477723550324,0.01014908390003017,0.1552747915477999,high_LOSO_stability
remember,theta_alpha_occipital_ratio,0.019958592202797092,-0.00039517783826780004,1.0,0.0029406238341757977,0.012110565235596593,0.1473362351560891,high_LOSO_stability
remember,gamma_parietal,0.018942058685776395,0.02026889488011765,1.0,0.004209065509337096,0.01818077327955969,0.22220739462166716,high_LOSO_stability
remember,alpha_temporal,0.01629686962287168,0.025018799178911,1.0,0.0033080423813442385,0.011875940681414288,0.20298636841897527,high_LOSO_stability
correct,delta_central,0.01594723148571994,0.053237904630791,1.0,0.006369505984428645,0.01847285559152152,0.39941139564771866,high_LOSO_stability
remember,gamma_central,0.014558284246406573,0.0427861302894467,1.0,0.004796548893175346,0.027120757388471653,0.3294721281705487,high_LOSO_stability
remember,theta_alpha_ratio,0.013720792059534921,0.0072135815711985,1.0,0.0027336606325384675,0.00742304429773713,0.1992348999006058,high_LOSO_stability
remember,delta_rel,0.012862226458615516,0.0100134032748007,1.0,0.003400188281238138,0.012633489148034317,0.2643545650652563,high_LOSO_stability
remember,alpha_frontoparietal_ratio,0.01227663886432328,-0.010858941748103399,1.0,0.004237775376330805,0.011515223805437928,0.3451901960434838,high_LOSO_stability
remember,beta_abs,0.011882839884920149,0.0064287775629291,1.0,0.004034225036328416,0.017463794231333853,0.33950007535219145,high_LOSO_stability
remember,beta_rel,0.01053903365996976,0.0168174660327096,1.0,0.0027356062122170675,0.007343070262791107,0.2595689795173229,high_LOSO_stability
remember,theta_alpha_frontal_ratio,0.010202402386540039,0.0102901272273364,1.0,0.0028557477652452513,0.008693874080103324,0.2799093445885667,high_LOSO_stability
remember,delta_occipital,0.009659547749774438,0.0202226940751393,1.0,0.003394367055952517,0.01339717628102624,0.35140020463502336,high_LOSO_stability
remember,delta_parietal,0.007668092957052327,-0.0127862519011169,1.0,0.0034202157456036386,0.01361051581099744,0.4460321183845421,high_LOSO_stability
