target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,n_subjects,direction_consistency,positive_fraction,negative_fraction,median_effect,mean_effect,std_effect,median_abs_effect,nonzero_subject_fraction,robustness_class,publication_robustness_score,publication_robustness_class
correct,alpha_beta_central_ratio,1.0588167279465992,0.1583539341510638,0.1583539341510638,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive,0.012021455063968,0.7,0.0077659147943213,3,0.2817822470669995,1.0588167279465992,target_dissociated,opposite_direction,significant_both_targets,0.7028813524121539,1.0,0.0,0.7,0.8638009827992957,0.25,0.6271004363829681,strong_multilayer_evidence,11,7,17,0.7647058823529411,0.7647058823529411,0.23529411764705882,0.0918357757863384,0.14402964758962156,0.25609590766729845,0.1640277982979353,1.0,moderate_directional_robustness,4.0,publication_supported_candidate
correct,theta_occipital,0.6515027835828651,0.1035544831678395,0.1035544831678395,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0042180341234053,0.9,0.0038249567778256,18,0.1364415539417218,0.6515027835828651,target_dissociated,opposite_direction,significant_correct_only,0.4584516745405986,1.0,0.0,0.9,0.2869483992699156,0.25,0.5483077585621413,moderate_multilayer_evidence,28,32,17,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.0680261649250033,0.07227551076487133,0.1812572203455097,0.1114069417525833,1.0,moderate_directional_robustness,4.0,publication_supported_candidate
correct,theta_temporal,0.3108521749391855,0.113538613324556,0.113538613324556,5.245038754930327e-06,True,negligible,significant_but_weak,4.0,positive,0.0027532878753972,0.7,0.0020426273101846,33,0.1777613758745846,0.3108521749391855,target_dissociated,opposite_direction,significant_both_targets,0.5029852907401656,1.0,0.0,0.7,0.1786699065659773,0.25,0.5086133133416392,moderate_multilayer_evidence,35,17,17,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.0660816722314345,0.10826577717700087,0.21663135631066407,0.1668082406909556,1.0,moderate_directional_robustness,4.0,publication_supported_candidate
correct,delta_rel,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.1110858625283166e-08,True,small,small_to_moderate_effect,5.0,negative,0.0007158512910718,0.9,0.0005922321907547,39,0.0025564866389498,0.0394681145542373,weak_cross_target_pattern,same_direction,significant_correct_only,0.9256485741162368,1.0,0.0,0.9,0.0280564043087639,0.5,0.6642177839599357,strong_multilayer_evidence,4,21,17,0.6470588235294118,0.35294117647058826,0.6470588235294118,-0.0181843987718074,-0.07439446030727782,0.2665142152639937,0.072522362211986,1.0,weak_directional_robustness,4.0,publication_supported_candidate
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,0.2249658894032735,4.008837981489088e-23,True,small,small_to_moderate_effect,5.0,positive,0.0034077225873289,0.9,0.0030624988275377,17,0.0114701590569815,0.0824967064193827,weak_cross_target_pattern,same_direction,significant_correct_only,1.0,1.0,0.0,0.9,0.2270477087125688,0.5,0.7027047708712569,strong_multilayer_evidence,2,14,17,0.5882352941176471,0.4117647058823529,0.5882352941176471,-0.1385081681207297,-0.03680055328585214,0.39724021572678386,0.3618543399011281,1.0,weak_directional_robustness,4.0,publication_supported_candidate
correct,beta_temporal,0.1063339822220392,0.2171282757930247,0.2171282757930247,4.4132371288135055e-24,True,small,small_to_moderate_effect,5.0,positive,0.0092352241343385,1.0,0.0092352241343385,2,0.0102360165548607,0.1063339822220392,target_preferential,same_direction,significant_correct_only,0.9650407926418588,1.0,0.0,1.0,0.6578343276222438,0.75,0.7820436309226892,high_confidence_multilayer,1,4,17,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0030800889060386,0.0020193839783318964,0.2078441837455416,0.1450615597353873,1.0,weak_directional_robustness,4.0,publication_supported_candidate
correct,delta_frontoparietal_diff,-1.5195109433680205,-0.1362394741852295,0.1362394741852295,0.0029074766612216,True,negligible,significant_but_weak,4.0,negative,0.001944859825804,0.9,0.0019363082316852,29,0.2501825786103073,1.5195109433680205,target_shared,same_direction,significant_correct_only,0.6042411246586488,1.0,0.0,0.9,0.1189084490516963,1.0,0.6429511260698318,strong_multilayer_evidence,8,18,17,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.0965889029100864,0.0627843531353025,0.1483474735535856,0.1103512839632745,1.0,moderate_directional_robustness,3.0,scientifically_interesting
correct,beta_parietal,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive,0.007564677691506,0.9,0.0065440283050774,7,0.00543485157311,0.0551153219768879,weak_cross_target_pattern,same_direction,significant_correct_only,0.6881360742003142,1.0,0.0,0.9,0.5343424592745308,0.5,0.6554682644775317,strong_multilayer_evidence,5,19,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0300598021055862,0.04568359299605848,0.2585608759860224,0.0962779591115632,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,theta_parietal,0.6252947524007433,0.1193441987749964,0.1193441987749964,1.2914008919258045e-05,True,negligible,significant_but_weak,4.0,positive,0.0104165949155947,0.7,0.0092124345005316,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.5288807578670416,1.0,0.0,0.7,0.7451648448997892,0.25,0.5717366739567393,moderate_multilayer_evidence,24,9,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.1098504300048916,0.08155791977439754,0.20903483711217138,0.1369941077230881,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,gamma_occipital,0.0132401140095298,0.1047373741240041,0.1047373741240041,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.0053445870371985,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.4637278889950282,1.0,0.0,0.8,0.4004569296192949,0.5,0.5659776652106867,moderate_multilayer_evidence,25,3,17,0.6470588235294118,0.35294117647058826,0.6470588235294118,-0.0548388597736076,-0.08945879593248873,0.38489988472288655,0.2115304431727537,1.0,weak_directional_robustness,3.0,scientifically_interesting
