feature,remember_abs_effect,correct_abs_effect,cross_target_pattern,significance_pattern,direction_relationship,mean_scientific_evidence_score
delta_parietal,0.2250862982627182,0.7315767031354068,target_shared,significant_both_targets,same_direction,0.6035096085527911
gamma_parietal,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,significant_both_targets,same_direction,0.5943967952725133
gamma_occipital,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,significant_both_targets,same_direction,0.5753139131275677
beta_temporal,0.0102360165548607,0.1063339822220392,target_preferential,significant_correct_only,same_direction,0.5726238805709081
gamma_frontoparietal_ratio,0.2465378010723733,0.5796949672324905,target_shared,significant_both_targets,same_direction,0.5717971953020523
theta_abs,0.1930376038406147,0.4228316544939132,target_dissociated,significant_both_targets,opposite_direction,0.5645586930293649
alpha_beta_central_ratio,0.2817822470669995,1.0588167279465992,target_dissociated,significant_both_targets,opposite_direction,0.5622973480863983
theta_beta_ratio,0.3424385498736004,0.7977931256118733,target_dissociated,significant_both_targets,opposite_direction,0.5565857998245519
theta_parietal,0.3370532596592301,0.6252947524007433,target_dissociated,significant_both_targets,opposite_direction,0.5410695407160028
delta_abs,0.3359921307783562,1.443957583598896,target_shared,significant_correct_only,same_direction,0.5296934306865144
alpha_central,0.0777916514710383,0.2913718051586234,target_dissociated,significant_both_targets,opposite_direction,0.5174162973363694
theta_central,0.1245452053242046,0.3493210928413732,target_dissociated,significant_both_targets,opposite_direction,0.5103995280221781
theta_frontoparietal_diff,0.1770006101954757,0.3007786594133896,target_dissociated,significant_both_targets,opposite_direction,0.5069381467081243
gamma_temporal,0.0114701590569815,0.0824967064193827,weak_cross_target_pattern,significant_correct_only,same_direction,0.49469460895995665
delta_central,0.0850755417405622,0.3607989816160346,target_shared,significant_correct_only,same_direction,0.4915671588375338
beta_abs,0.0058254016788378,0.0324235303582391,weak_cross_target_pattern,significant_correct_only,same_direction,0.4911853999621808
theta_temporal,0.1777613758745846,0.3108521749391855,target_dissociated,significant_both_targets,opposite_direction,0.4815175670433819
delta_frontoparietal_diff,0.2501825786103073,1.5195109433680205,target_shared,significant_correct_only,same_direction,0.4794920960956375
beta_parietal,0.00543485157311,0.0551153219768879,weak_cross_target_pattern,significant_correct_only,same_direction,0.47754026394585025
alpha_beta_frontal_ratio,0.114316307364513,0.5925261508220454,target_dissociated,significant_correct_only,opposite_direction,0.4598454679055009
delta_rel,0.0025564866389498,0.0394681145542373,weak_cross_target_pattern,significant_correct_only,same_direction,0.4555958295393798
alpha_beta_parietal_ratio,0.1230716605649302,0.9835138032318582,target_dissociated,significant_correct_only,opposite_direction,0.4500510011245574
alpha_abs,0.0458861984524665,0.2737862285941788,target_dissociated,significant_correct_only,opposite_direction,0.4473843196599544
delta_theta_ratio,0.4211713678033959,1.1145766762746154,target_shared,significant_correct_only,same_direction,0.43835364449418324
alpha_temporal,0.0507766219419318,0.2003667333175489,target_dissociated,significant_correct_only,opposite_direction,0.43623369707224785
delta_temporal,0.3563561735405196,0.2506245280249448,target_shared,significant_remember_only,same_direction,0.43342593964293874
gamma_central,0.0055102751278641,0.0032240221168111,weak_cross_target_pattern,significant_remember_only,same_direction,0.4278957260532869
theta_frontoparietal_ratio,0.0131054124356159,0.095871240909116,target_dissociated,significant_correct_only,opposite_direction,0.4238947506834716
theta_rel,0.0025920982226814,0.0247383786040161,weak_cross_target_pattern,significant_correct_only,opposite_direction,0.41561947754354867
alpha_beta_ratio,0.1015785012376735,0.538241535729493,target_dissociated,significant_correct_only,opposite_direction,0.4132132738245444
beta_frontoparietal_diff,0.0004816229401669,0.0525472242842672,weak_cross_target_pattern,significant_correct_only,same_direction,0.4125081571111586
theta_occipital,0.1364415539417218,0.6515027835828651,target_dissociated,significant_correct_only,opposite_direction,0.40265973527861343
beta_central,0.0062002185686043,0.0159778114775971,weak_cross_target_pattern,significant_correct_only,same_direction,0.4022279455984622
theta_alpha_occipital_ratio,0.0298974587509148,0.1631099213552205,target_preferential,significant_correct_only,same_direction,0.3985872317128255
beta_frontoparietal_ratio,0.0463761073516613,0.178807458673208,target_preferential,significant_correct_only,same_direction,0.3859880421488105
alpha_frontal,0.0242559269682092,0.1761544002949546,target_dissociated,significant_correct_only,opposite_direction,0.3809823983265174
alpha_rel,0.0034309465301826,0.0175304277247444,weak_cross_target_pattern,significant_correct_only,same_direction,0.37647368451149404
delta_frontoparietal_ratio,0.0091484223653113,0.069527851805583,weak_cross_target_pattern,significant_correct_only,opposite_direction,0.3653071684274516
gamma_abs,0.0061325332000337,0.0129560515684556,weak_cross_target_pattern,not_fdr_significant,same_direction,0.3524912995370279
beta_rel,0.0014700022763138,0.0015474107262714,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.34223500926625017
delta_occipital,0.4747954999468851,0.4761461561323274,target_shared,not_fdr_significant,same_direction,0.33081281012856434
beta_occipital,0.0124622517896336,0.03696126697373,weak_cross_target_pattern,significant_correct_only,same_direction,0.32676421663479227
alpha_beta_occipital_ratio,0.3011693679807816,0.9078951350575944,target_dissociated,significant_correct_only,opposite_direction,0.32207558034640177
theta_alpha_parietal_ratio,0.021540623757889,0.0862189671251065,target_dissociated,significant_correct_only,opposite_direction,0.3143253062396346
gamma_frontal,0.0004946483939569,0.0095864648697016,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.31288741721395164
theta_alpha_frontal_ratio,0.0374592341778501,0.0279890214491596,weak_cross_target_pattern,not_fdr_significant,same_direction,0.2942415487145809
alpha_occipital,0.0827543413084308,0.3252131024252485,target_shared,not_fdr_significant,same_direction,0.2916958116669973
beta_frontal,0.0049532286329431,0.0025680976926206,weak_cross_target_pattern,not_fdr_significant,same_direction,0.28323768530190685
alpha_frontoparietal_diff,0.0684199667011435,0.2457983468651301,target_dissociated,not_fdr_significant,opposite_direction,0.28011016880135764
theta_alpha_ratio,0.0195697834671273,0.0160163635110861,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.2636691930492506
gamma_rel,0.0002476360551346,0.0012532810482517,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.2631762678019043
alpha_beta_temporal_ratio,0.0396094661899448,0.0317793366853029,weak_cross_target_pattern,not_fdr_significant,same_direction,0.2482232813223731
alpha_frontoparietal_ratio,0.0066978027009623,0.0200598330384644,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.2291028759742185
theta_alpha_central_ratio,0.0040230730696786,0.0011671837226672,weak_cross_target_pattern,not_fdr_significant,opposite_direction,0.2265109078952517
theta_alpha_temporal_ratio,0.0404204162061454,0.0099048116899713,weak_cross_target_pattern,not_fdr_significant,same_direction,0.17153300422752765
