target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency_x,ml_mean_stability_score_x,ml_best_rank_x,remember_abs_effect_x,correct_abs_effect_x,cross_target_pattern_x,direction_relationship_x,significance_pattern_x,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,ml_mean_permutation_importance,ml_max_permutation_importance,ml_mean_sign_consistency_y,ml_mean_stability_score_y,ml_best_rank_y,remember_abs_effect_y,correct_abs_effect_y,cross_target_pattern_y,significance_pattern_y,direction_relationship_y,publication_priority,effect_direction,publication_effect_magnitude
correct,beta_temporal,0.1063339822220392,0.2171282757930247,0.2171282757930247,4.4132371288135055e-24,True,small,small_to_moderate_effect,5.0,positive,0.0092352241343385,1.0,0.0092352241343385,2,0.0102360165548607,0.1063339822220392,target_preferential,same_direction,significant_correct_only,0.9650407926418588,1.0,0.0,1.0,0.6578343276222438,0.75,0.7820436309226892,high_confidence_multilayer,1,4,0.0092352241343385,0.0169964855462604,1.0,0.0092352241343385,2,0.0102360165548607,0.1063339822220392,target_preferential,significant_correct_only,same_direction,exploratory,positive,moderate
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,0.2249658894032735,4.008837981489088e-23,True,small,small_to_moderate_effect,5.0,positive,0.0034077225873289,0.9,0.0030624988275377,17,0.0114701590569815,0.0824967064193827,weak_cross_target_pattern,same_direction,significant_correct_only,1.0,1.0,0.0,0.9,0.2270477087125688,0.5,0.7027047708712569,strong_multilayer_evidence,2,14,0.00340772258732895,0.0034522375979122,0.9,0.00306249882753775,17,0.0114701590569815,0.0824967064193827,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,positive,moderate
correct,delta_abs,-1.443957583598896,-0.1317639434412088,0.1317639434412088,0.0058778508834395,True,negligible,significant_but_weak,4.0,negative,0.0138638985118335,0.7,0.008431694564409,5,0.3359921307783562,1.443957583598896,target_shared,same_direction,significant_correct_only,0.584278287103942,1.0,0.0,0.7,1.0,1.0,0.6860695717759855,strong_multilayer_evidence,3,10,0.01386389851183355,0.0265942424505776,0.7,0.00843169456440905,5,0.3359921307783562,1.443957583598896,target_shared,significant_correct_only,same_direction,exploratory,negative,small
correct,delta_rel,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.1110858625283166e-08,True,small,small_to_moderate_effect,5.0,negative,0.0007158512910718,0.9,0.0005922321907547,39,0.0025564866389498,0.0394681145542373,weak_cross_target_pattern,same_direction,significant_correct_only,0.9256485741162368,1.0,0.0,0.9,0.0280564043087639,0.5,0.6642177839599357,strong_multilayer_evidence,4,21,0.0007158512910718,0.0012361910031705,0.9,0.0005922321907547499,39,0.0025564866389498,0.0394681145542373,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,negative,moderate
correct,beta_parietal,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive,0.007564677691506,0.9,0.0065440283050774,7,0.00543485157311,0.0551153219768879,weak_cross_target_pattern,same_direction,significant_correct_only,0.6881360742003142,1.0,0.0,0.9,0.5343424592745308,0.5,0.6554682644775317,strong_multilayer_evidence,5,19,0.007564677691506001,0.0102064938642854,0.9,0.00654402830507745,7,0.00543485157311,0.0551153219768879,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,positive,small
correct,delta_parietal,-0.7315767031354068,-0.1212282540480741,0.1212282540480741,0.0041829227699469,True,negligible,significant_but_weak,4.0,negative,0.0024990489715959,1.0,0.0024990489715959,14,0.2250862982627182,0.7315767031354068,target_shared,same_direction,significant_both_targets,0.5372844738756484,1.0,0.0,1.0,0.1598757943928029,1.0,0.6503086979081923,strong_multilayer_evidence,6,1,0.0024990489715959953,0.0049431207432994,1.0,0.0024990489715959953,14,0.2250862982627182,0.7315767031354068,target_shared,significant_both_targets,same_direction,exploratory,negative,small
correct,delta_central,-0.3607989816160346,-0.1334880864554219,0.1334880864554219,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative,0.0003982105572552,1.0,0.0003982105572552,48,0.0850755417405622,0.3607989816160346,target_shared,same_direction,significant_correct_only,0.5919687240336408,1.0,0.0,1.0,0.0045754362395168,1.0,0.648449724632362,strong_multilayer_evidence,7,15,0.00039821055725525005,0.0005051622937751,1.0,0.00039821055725525005,48,0.0850755417405622,0.3607989816160346,target_shared,significant_correct_only,same_direction,exploratory,negative,small
correct,delta_frontoparietal_diff,-1.5195109433680205,-0.1362394741852295,0.1362394741852295,0.0029074766612216,True,negligible,significant_but_weak,4.0,negative,0.001944859825804,0.9,0.0019363082316852,29,0.2501825786103073,1.5195109433680205,target_shared,same_direction,significant_correct_only,0.6042411246586488,1.0,0.0,0.9,0.1189084490516963,1.0,0.6429511260698318,strong_multilayer_evidence,8,18,0.0019448598258040024,0.0038042037104204,0.9,0.001936308231685242,29,0.2501825786103073,1.5195109433680205,target_shared,significant_correct_only,same_direction,exploratory,negative,small
correct,beta_abs,0.0324235303582391,0.0978581244466391,0.0978581244466391,0.0033819575805418,True,negligible,significant_but_weak,3.0,positive,0.0108452052113663,1.0,0.0108452052113663,6,0.0058254016788378,0.0324235303582391,weak_cross_target_pattern,same_direction,significant_correct_only,0.4330434067152498,1.0,0.0,1.0,0.7768490201258077,0.5,0.6359457536913933,strong_multilayer_evidence,9,16,0.01084520521136635,0.0128181668264146,1.0,0.01084520521136635,6,0.0058254016788378,0.0324235303582391,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,positive,very_small
correct,gamma_parietal,0.0135698623330476,0.1242595828151386,0.1242595828151386,1.0619820128413021e-07,True,negligible,significant_but_weak,4.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.5508055347761158,1.0,0.0,1.0,0.4174942555266634,0.5,0.6294508092466954,strong_multilayer_evidence,10,2,0.0059840039699558,0.0065404925825764,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,significant_both_targets,same_direction,exploratory,positive,small
correct,alpha_beta_central_ratio,1.0588167279465992,0.1583539341510638,0.1583539341510638,2.7374404943671806e-09,True,negligible,significant_but_weak,4.0,positive,0.012021455063968,0.7,0.0077659147943213,3,0.2817822470669995,1.0588167279465992,target_dissociated,opposite_direction,significant_both_targets,0.7028813524121539,1.0,0.0,0.7,0.8638009827992957,0.25,0.6271004363829681,strong_multilayer_evidence,11,7,0.012021455063968,0.0185124925685302,0.7,0.0077659147943213505,3,0.2817822470669995,1.0588167279465992,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
correct,alpha_beta_frontal_ratio,0.5925261508220454,0.1303176474367501,0.1303176474367501,0.0001014112496675,True,negligible,significant_but_weak,4.0,positive,0.0096749932044134,0.9,0.0079772414153683,1,0.114316307364513,0.5925261508220454,target_dissociated,opposite_direction,significant_correct_only,0.5778271701651067,1.0,0.0,0.9,0.6903433933462736,0.25,0.6184911318759041,strong_multilayer_evidence,12,20,0.009674993204413401,0.0169775178904503,0.9,0.00797724141536835,1,0.114316307364513,0.5925261508220454,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
correct,theta_rel,0.0247383786040161,0.1940892963849802,0.1940892963849802,4.763877686990766e-09,True,negligible,significant_but_weak,4.0,positive,0.0039801707477693,0.6,0.0023881024486615,25,0.0025920982226814,0.0247383786040161,weak_cross_target_pattern,opposite_direction,significant_correct_only,0.8622768011390672,1.0,0.0,0.6,0.2693648158892643,0.5,0.6125056818736934,strong_multilayer_evidence,13,29,0.0039801707477693,0.0072815043605287,0.6,0.00238810244866155,25,0.0025920982226814,0.0247383786040161,weak_cross_target_pattern,significant_correct_only,opposite_direction,exploratory,positive,small
correct,alpha_beta_parietal_ratio,0.9835138032318582,0.1202418218023179,0.1202418218023179,0.0001063347277625,True,negligible,significant_but_weak,4.0,positive,0.007165682023854,1.0,0.007165682023854,10,0.1230716605649302,0.9835138032318582,target_dissociated,opposite_direction,significant_correct_only,0.5328845517642734,1.0,0.0,1.0,0.5048474873314354,0.25,0.6087058866742119,strong_multilayer_evidence,14,22,0.00716568202385405,0.0085914157129002,1.0,0.00716568202385405,10,0.1230716605649302,0.9835138032318582,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
correct,gamma_frontoparietal_ratio,-0.5796949672324905,-0.1110780447761194,0.1110780447761194,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative,0.0009299386728895,0.9,0.0008261788928065,42,0.2465378010723733,0.5796949672324905,target_shared,same_direction,significant_both_targets,0.4920100717026728,1.0,0.0,0.9,0.0438823939924215,1.0,0.6073907573249103,strong_multilayer_evidence,15,5,0.0009299386728895,0.0010375978008295,0.9,0.0008261788928065499,42,0.2465378010723733,0.5796949672324905,target_shared,significant_both_targets,same_direction,exploratory,negative,small
correct,theta_abs,0.4228316544939132,0.1237392080186769,0.1237392080186769,5.477629943419366e-06,True,negligible,significant_but_weak,4.0,positive,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.5484844340791298,1.0,0.0,0.8,0.7993104713636985,0.25,0.6020521556561524,strong_multilayer_evidence,16,6,0.0111490543470897,0.0183450160265364,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
correct,alpha_abs,0.2737862285941788,0.1011715846421198,0.1011715846421198,0.0029074766612216,True,negligible,significant_but_weak,4.0,positive,0.0080991555730645,1.0,0.0080991555730645,2,0.0458861984524665,0.2737862285941788,target_dissociated,opposite_direction,significant_correct_only,0.4478228980001078,1.0,0.0,1.0,0.5738526880786304,0.25,0.5943409933078901,moderate_multilayer_evidence,17,23,0.0080991555730645,0.0111919348571895,1.0,0.0080991555730645,2,0.0458861984524665,0.2737862285941788,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
correct,theta_frontoparietal_ratio,-0.095871240909116,-0.1436826853394754,0.1436826853394754,0.0001240276747523,True,negligible,significant_but_weak,4.0,negative,0.0015131245254845,1.0,0.0015131245254845,40,0.0131054124356159,0.095871240909116,target_dissociated,opposite_direction,significant_correct_only,0.6374411234199365,1.0,0.0,1.0,0.0869932639954159,0.25,0.5930596072545259,moderate_multilayer_evidence,18,28,0.00151312452548455,0.0023848436794597,1.0,0.00151312452548455,40,0.0131054124356159,0.095871240909116,target_dissociated,significant_correct_only,opposite_direction,exploratory,negative,small
correct,theta_beta_ratio,0.7977931256118733,0.1075474890702915,0.1075474890702915,0.0002196680024521,True,negligible,significant_but_weak,4.0,positive,0.0093654184539337,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,opposite_direction,significant_both_targets,0.476262238861295,1.0,0.0,0.9,0.6674586872705811,0.25,0.5908114284423819,moderate_multilayer_evidence,19,8,0.0093654184539337,0.0120073892499295,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
remember,gamma_occipital,0.0153329162954944,0.121482354178585,0.121482354178585,1.877013265290833e-17,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.0053445870371985,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.5384178723300765,1.0,0.0,0.8,0.4004569296192949,0.5,0.5846501610444488,moderate_multilayer_evidence,1,3,0.0057535301373809,0.0094623447738502,0.8,0.00534458703719855,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,significant_both_targets,same_direction,exploratory,positive,small
correct,beta_frontoparietal_diff,-0.0525472242842672,-0.1295457666058473,0.1295457666058473,0.0029946881408546,True,negligible,significant_but_weak,4.0,negative,0.0071649368344698,0.7,0.0049581179657687,8,0.0004816229401669,0.0525472242842672,weak_cross_target_pattern,same_direction,significant_correct_only,0.5743842418242633,1.0,0.0,0.7,0.5047924006681889,0.5,0.5840753005228848,moderate_multilayer_evidence,20,31,0.0071649368344698,0.0073560628956703,0.7,0.0049581179657687,8,0.0004816229401669,0.0525472242842672,weak_cross_target_pattern,significant_correct_only,same_direction,exploratory,negative,small
correct,alpha_central,0.2913718051586234,0.1548613622822838,0.1548613622822838,4.1929927970589225e-08,True,negligible,significant_but_weak,4.0,positive,0.0035680824954707,0.8,0.0025574536670894,25,0.0777916514710383,0.2913718051586234,target_dissociated,opposite_direction,significant_both_targets,0.6873029442071066,1.0,0.0,0.8,0.2389020003124607,0.25,0.5807159360830227,moderate_multilayer_evidence,21,11,0.00356808249547075,0.0050531441419066,0.8,0.00255745366708945,25,0.0777916514710383,0.2913718051586234,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
correct,alpha_temporal,0.2003667333175489,0.100171074318177,0.100171074318177,0.001972721506344,True,negligible,significant_but_weak,4.0,positive,0.006030502285252,1.0,0.006030502285252,13,0.0507766219419318,0.2003667333175489,target_dissociated,opposite_direction,significant_correct_only,0.4433601814618825,1.0,0.0,1.0,0.4209315522600717,0.25,0.5779332005914779,moderate_multilayer_evidence,22,25,0.0060305022852520495,0.0069501619815161,1.0,0.0060305022852520495,13,0.0507766219419318,0.2003667333175489,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
correct,delta_theta_ratio,-1.1145766762746154,-0.0968475666364546,0.0968475666364546,0.0001465080516652,True,negligible,significant_but_weak,3.0,negative,0.0009875659959552,0.8,0.0008521610899551,34,0.4211713678033959,1.1145766762746154,target_shared,same_direction,significant_correct_only,0.4285358739647921,1.0,0.0,0.8,0.0481423807912285,1.0,0.571948206570321,moderate_multilayer_evidence,23,24,0.0009875659959552,0.0012981074619103,0.8,0.00085216108995515,34,0.4211713678033959,1.1145766762746154,target_shared,significant_correct_only,same_direction,exploratory,negative,very_small
correct,theta_parietal,0.6252947524007433,0.1193441987749964,0.1193441987749964,1.2914008919258045e-05,True,negligible,significant_but_weak,4.0,positive,0.0104165949155947,0.7,0.0092124345005316,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.5288807578670416,1.0,0.0,0.7,0.7451648448997892,0.25,0.5717366739567393,moderate_multilayer_evidence,24,9,0.0104165949155947,0.0168193217809792,0.7,0.00921243450053165,4,0.3370532596592301,0.6252947524007433,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
correct,gamma_occipital,0.0132401140095298,0.1047373741240041,0.1047373741240041,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.0053445870371985,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.4637278889950282,1.0,0.0,0.8,0.4004569296192949,0.5,0.5659776652106867,moderate_multilayer_evidence,25,3,0.0057535301373809,0.0094623447738502,0.8,0.00534458703719855,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,significant_both_targets,same_direction,exploratory,positive,small
correct,theta_central,0.3493210928413732,0.1528240647860177,0.1528240647860177,7.168466810680754e-09,True,negligible,significant_but_weak,4.0,positive,0.0017810108350266,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,opposite_direction,significant_both_targets,0.6782157004153158,1.0,0.0,0.8,0.1067962338631891,0.25,0.565233548490148,moderate_multilayer_evidence,26,12,0.00178101083502665,0.0026261411899615,0.8,0.0014248086680213,24,0.1245452053242046,0.3493210928413732,target_dissociated,significant_both_targets,opposite_direction,exploratory,positive,small
correct,alpha_beta_ratio,0.538241535729493,0.1115741527988019,0.1115741527988019,0.0009296003114551,True,negligible,significant_but_weak,4.0,positive,0.0050884073262485,0.9,0.0045967931659526,16,0.1015785012376735,0.538241535729493,target_dissociated,opposite_direction,significant_correct_only,0.494222931904701,1.0,0.0,0.9,0.3512890307082364,0.25,0.5636846360469989,moderate_multilayer_evidence,27,30,0.00508840732624855,0.0052606730495385,0.9,0.004596793165952649,16,0.1015785012376735,0.538241535729493,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
remember,gamma_parietal,0.0067033358779924,0.0613886340082469,0.0613886340082469,6.381952089290735e-05,True,negligible,significant_but_weak,3.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.2703734229826596,1.0,0.0,1.0,0.4174942555266634,0.5,0.5593427812983313,moderate_multilayer_evidence,2,2,0.0059840039699558,0.0065404925825764,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,significant_both_targets,same_direction,exploratory,positive,very_small
remember,delta_parietal,-0.2250862982627182,-0.0372919849166802,0.0372919849166802,0.0286871524647912,True,negligible,significant_but_weak,3.0,negative,0.0024990489715959,1.0,0.0024990489715959,14,0.2250862982627182,0.7315767031354068,target_shared,same_direction,significant_both_targets,0.1628917590324381,1.0,0.0,1.0,0.1598757943928029,1.0,0.5567105191973899,moderate_multilayer_evidence,3,1,0.0024990489715959953,0.0049431207432994,1.0,0.0024990489715959953,14,0.2250862982627182,0.7315767031354068,target_shared,significant_both_targets,same_direction,exploratory,negative,very_small
correct,theta_occipital,0.6515027835828651,0.1035544831678395,0.1035544831678395,0.0001541677604189,True,negligible,significant_but_weak,4.0,positive,0.0042180341234053,0.9,0.0038249567778256,18,0.1364415539417218,0.6515027835828651,target_dissociated,opposite_direction,significant_correct_only,0.4584516745405986,1.0,0.0,0.9,0.2869483992699156,0.25,0.5483077585621413,moderate_multilayer_evidence,28,32,0.0042180341234053995,0.0045052947910133,0.9,0.0038249567778256503,18,0.1364415539417218,0.6515027835828651,target_dissociated,significant_correct_only,opposite_direction,exploratory,positive,small
