target,feature,frequency,evidence_score,cohen_d,p_fdr,publication_priority
correct,beta_temporal,beta,0.7820436309226892,0.2171282757930247,4.4132371288135055e-24,exploratory
correct,gamma_temporal,gamma,0.7027047708712569,0.2249658894032735,4.008837981489088e-23,exploratory
correct,delta_abs,delta,0.6860695717759855,-0.1317639434412088,0.0058778508834395,exploratory
correct,delta_rel,delta,0.6642177839599357,-0.208296811598445,1.1110858625283166e-08,exploratory
correct,beta_parietal,beta,0.6554682644775317,0.1550481442910112,2.7374404943671806e-09,exploratory
correct,delta_parietal,delta,0.6503086979081923,-0.1212282540480741,0.0041829227699469,exploratory
correct,delta_central,delta,0.648449724632362,-0.1334880864554219,0.0020622242878812,exploratory
correct,delta_frontoparietal_diff,delta,0.6429511260698318,-0.1362394741852295,0.0029074766612216,exploratory
correct,beta_abs,beta,0.6359457536913933,0.0978581244466391,0.0033819575805418,exploratory
correct,gamma_parietal,gamma,0.6294508092466954,0.1242595828151386,1.0619820128413021e-07,exploratory
correct,alpha_beta_central_ratio,alpha,0.6271004363829681,0.1583539341510638,2.7374404943671806e-09,exploratory
correct,alpha_beta_frontal_ratio,alpha,0.6184911318759041,0.1303176474367501,0.0001014112496675,exploratory
correct,theta_rel,theta,0.6125056818736934,0.1940892963849802,4.763877686990766e-09,exploratory
correct,alpha_beta_parietal_ratio,alpha,0.6087058866742119,0.1202418218023179,0.0001063347277625,exploratory
correct,gamma_frontoparietal_ratio,gamma,0.6073907573249103,-0.1110780447761194,0.0020622242878812,exploratory
correct,theta_abs,theta,0.6020521556561524,0.1237392080186769,5.477629943419366e-06,exploratory
correct,alpha_abs,alpha,0.5943409933078901,0.1011715846421198,0.0029074766612216,exploratory
correct,theta_frontoparietal_ratio,theta,0.5930596072545259,-0.1436826853394754,0.0001240276747523,exploratory
correct,theta_beta_ratio,theta,0.5908114284423819,0.1075474890702915,0.0002196680024521,exploratory
remember,gamma_occipital,gamma,0.5846501610444488,0.121482354178585,1.877013265290833e-17,exploratory
correct,beta_frontoparietal_diff,beta,0.5840753005228848,-0.1295457666058473,0.0029946881408546,exploratory
correct,alpha_central,alpha,0.5807159360830227,0.1548613622822838,4.1929927970589225e-08,exploratory
correct,alpha_temporal,alpha,0.5779332005914779,0.100171074318177,0.001972721506344,exploratory
correct,delta_theta_ratio,delta,0.571948206570321,-0.0968475666364546,0.0001465080516652,exploratory
correct,theta_parietal,theta,0.5717366739567393,0.1193441987749964,1.2914008919258045e-05,exploratory
correct,gamma_occipital,gamma,0.5659776652106867,0.1047373741240041,0.0001541677604189,exploratory
correct,theta_central,theta,0.565233548490148,0.1528240647860177,7.168466810680754e-09,exploratory
correct,alpha_beta_ratio,alpha,0.5636846360469989,0.1115741527988019,0.0009296003114551,exploratory
remember,gamma_parietal,gamma,0.5593427812983313,0.0613886340082469,6.381952089290735e-05,exploratory
remember,delta_parietal,delta,0.5567105191973899,-0.0372919849166802,0.0286871524647912,exploratory
correct,theta_occipital,theta,0.5483077585621413,0.1035544831678395,0.0001541677604189,exploratory
remember,delta_temporal,delta,0.5411763742388136,-0.0468236166143879,0.0055163795352057,exploratory
remember,gamma_frontoparietal_ratio,gamma,0.5362036332791943,-0.0472393923056144,0.0043090467750375,exploratory
remember,gamma_central,gamma,0.5360091061174954,0.0350651750312705,0.0298705373269322,exploratory
correct,alpha_rel,alpha,0.5345236331230755,0.1294403336185308,0.0001465080516652,exploratory
correct,theta_frontoparietal_diff,theta,0.5294406411429005,-0.0980979543414767,0.000323467232544,exploratory
correct,alpha_frontal,alpha,0.5288200464700213,0.099496406033894,0.0029946881408546,exploratory
correct,beta_central,beta,0.5285401895275341,0.0771164318879058,0.0055011199100795,exploratory
remember,theta_abs,theta,0.5270652304025772,-0.0564929984650997,0.0004393692914317,exploratory
correct,theta_alpha_occipital_ratio,theta,0.5241345954405597,0.056103224729366,0.0288426366003303,exploratory
remember,theta_beta_ratio,theta,0.522360171206722,-0.0461622866138733,0.0053448649841291,exploratory
correct,beta_frontoparietal_ratio,beta,0.52228500545543,-0.0878939764907035,0.0085918631731332,exploratory
remember,theta_parietal,theta,0.5104024074752662,-0.064341317636975,6.358390947165893e-05,exploratory
correct,theta_temporal,theta,0.5086133133416392,0.113538613324556,5.245038754930327e-06,exploratory
remember,alpha_beta_central_ratio,alpha,0.4974942597898286,-0.0421266841185034,0.0114251934499194,exploratory
correct,delta_frontoparietal_ratio,delta,0.4931150818691392,-0.0574309172897982,0.0459357547964619,exploratory
remember,theta_frontoparietal_diff,theta,0.4844356522733481,0.0577387196849785,0.000384690812106,exploratory
remember,theta_central,theta,0.4555655075542083,-0.0544767857481047,0.0006842357801919,exploratory
remember,theta_temporal,theta,0.4544218207451246,-0.0649411751065834,6.358390947165893e-05,exploratory
remember,alpha_central,alpha,0.4541166585897161,-0.0413306165575085,0.013157370794358,exploratory
correct,beta_occipital,beta,0.452234460961145,0.0689181029967217,0.0140042952109003,exploratory
correct,alpha_beta_occipital_ratio,alpha,0.4511506980687002,0.078030347565542,0.0064923061224597,exploratory
correct,theta_alpha_parietal_ratio,theta,0.4379146924153896,0.0563982204593509,0.0488369886158184,exploratory
remember,delta_abs,delta,0.3733172895970433,-0.0306508017913887,0.075235628328045,exploratory
correct,gamma_abs,gamma,0.370180801736394,0.0602417604193382,0.2323581920120306,exploratory
remember,beta_temporal,beta,0.3632041302191269,0.020879038033935,0.226355094182684,exploratory
remember,beta_abs,beta,0.3464250462329684,0.0175784192476756,0.2888167647544805,exploratory
correct,beta_rel,beta,0.3431864894604644,-0.0341803801682514,0.352561982543611,exploratory
remember,beta_rel,beta,0.3412835290720359,0.032473857696238,0.0624524551161886,exploratory
remember,gamma_abs,gamma,0.3348017973376618,0.0285148435528455,0.091290198291162,exploratory
remember,delta_central,delta,0.3346845930427057,-0.0314666493462431,0.0704710631615681,exploratory
correct,delta_occipital,delta,0.3308401401702258,0.0174660790826604,0.314151408837659,exploratory
remember,delta_occipital,delta,0.3307854800869029,0.0174170614251832,0.288006678655872,exploratory
correct,gamma_frontal,gamma,0.3269984713466529,-0.0266857335426586,0.6941613184779467,exploratory
correct,delta_temporal,delta,0.3256755050470639,-0.0329228639910991,0.2160553922594293,exploratory
correct,gamma_central,gamma,0.3197823459890784,0.0205134634057944,0.4618488166486459,exploratory
remember,delta_frontoparietal_diff,delta,0.3160330661214431,-0.0224228531334693,0.2099856088182827,exploratory
correct,alpha_frontoparietal_diff,alpha,0.3059844943786056,-0.0643057311497376,0.0550740446736389,exploratory
remember,delta_theta_ratio,delta,0.3047590824180455,-0.0365942103721929,0.0528720554185598,exploratory
correct,alpha_occipital,alpha,0.3041359452175715,0.0299271492552854,0.4467871442454787,exploratory
remember,alpha_beta_frontal_ratio,alpha,0.3011998039350977,-0.0251340145453779,0.1537306237957149,exploratory
remember,alpha_abs,alpha,0.3004276460120187,-0.0169526810028491,0.3015399647253492,exploratory
remember,beta_parietal,beta,0.2996122634141688,0.0152807745495806,0.3558232428929716,exploratory
remember,gamma_frontal,gamma,0.2987763630812504,0.001376924039651,0.9318645678505734,exploratory
remember,theta_alpha_frontal_ratio,theta,0.2968713057485746,-0.0186542458605755,0.27700194077565,exploratory
remember,alpha_temporal,alpha,0.2945341935530178,-0.0253811414745022,0.1534755902104805,exploratory
correct,theta_alpha_frontal_ratio,theta,0.2916117916805872,-0.0139376584825778,0.7103693696157518,exploratory
remember,alpha_beta_parietal_ratio,alpha,0.2913961155749029,-0.0150416495942942,0.3612440624792554,exploratory
remember,gamma_temporal,gamma,0.2866844470486563,0.0312448118356394,0.0695944480178895,exploratory
remember,beta_frontal,beta,0.286227772565266,0.0111369292690498,0.4906610496685583,exploratory
correct,gamma_rel,gamma,0.2803376689066126,-0.0383588679762054,0.3147258418455821,exploratory
correct,beta_frontal,beta,0.2802475980385477,0.0057740734374395,0.901876309660952,exploratory
remember,alpha_occipital,alpha,0.2792556781164232,0.0076152108796948,0.6195672198226734,exploratory
remember,beta_central,beta,0.2759157016693903,0.0299242403666285,0.075235628328045,exploratory
remember,theta_alpha_occipital_ratio,theta,0.2730398679850913,0.0102828802101789,0.5208818257007937,exploratory
remember,theta_alpha_ratio,theta,0.2650562740256814,-0.0136997910549058,0.3941173734800816,exploratory
remember,alpha_beta_ratio,alpha,0.26274191160209,-0.0210514973095009,0.226355094182684,exploratory
correct,theta_alpha_ratio,theta,0.2622821120728198,0.0112119990113349,0.7615209718709419,exploratory
remember,theta_occipital,theta,0.2570117119950855,-0.0216827027461096,0.2217732219267152,exploratory
remember,theta_frontoparietal_ratio,theta,0.2547298941124173,0.0196324079613274,0.2459270338739749,exploratory
remember,alpha_frontoparietal_diff,alpha,0.2542358432241097,0.0178989658652217,0.288006678655872,exploratory
remember,beta_frontoparietal_ratio,beta,0.249691078842191,-0.0227937422186211,0.1999256381151888,exploratory
remember,alpha_beta_temporal_ratio,alpha,0.2491074277636343,-0.0080214744846278,0.6195672198226734,exploratory
correct,alpha_frontoparietal_ratio,alpha,0.2481551482075888,-0.0512989091636434,0.115737511894209,exploratory
correct,alpha_beta_temporal_ratio,alpha,0.2473391348811119,-0.0064357181233943,0.8906554669090857,exploratory
remember,delta_rel,delta,0.2469738751188239,-0.0134784566816841,0.3948965932189974,exploratory
remember,gamma_rel,gamma,0.2460148666971959,0.0075791241470586,0.6195672198226734,exploratory
remember,beta_frontoparietal_diff,beta,0.2409410136994324,-0.0011868798601503,0.9318645678505734,exploratory
remember,delta_frontoparietal_ratio,delta,0.237499254985764,0.0075561753071401,0.6195672198226734,exploratory
remember,alpha_frontal,alpha,0.2331447501830135,-0.0136974350604846,0.3941173734800816,exploratory
remember,theta_alpha_central_ratio,theta,0.2275651562113833,-0.0026636156982537,0.8787550533952064,exploratory
correct,theta_alpha_central_ratio,theta,0.2254566595791201,0.0007727739828918,0.9790552018633376,exploratory
remember,theta_rel,theta,0.2187332732134039,-0.0203195364647338,0.2365792551830987,exploratory
remember,alpha_rel,alpha,0.2184237358999126,0.0253251429847427,0.1534755902104805,exploratory
remember,alpha_frontoparietal_ratio,alpha,0.2100506037408482,0.0171278030209513,0.2988155563626926,exploratory
remember,beta_occipital,beta,0.2012939723084396,0.0232360755883752,0.1912390089786783,exploratory
remember,alpha_beta_occipital_ratio,alpha,0.1930004626241034,-0.0258828177785306,0.1480707834853794,exploratory
remember,theta_alpha_parietal_ratio,theta,0.1907359200638796,-0.014089596638575,0.393430396838869,exploratory
remember,theta_alpha_temporal_ratio,theta,0.1801896087610909,-0.0205651245509221,0.2325156448518141,exploratory
correct,theta_alpha_temporal_ratio,theta,0.1628763996939644,-0.0050391154361881,0.8906554669090857,exploratory
