target,region,feature_count,mean_evidence_score,max_evidence_score,mean_abs_cohen_d,fdr_significant_features
correct,central,7,0.49932554866917617,0.648449724632362,0.0997043024216256,5
correct,frontal,5,0.40923380788234265,0.6184911318759041,0.05524230378666399,2
correct,occipital,7,0.45382589480443286,0.5659776652106867,0.06553382298877415,5
correct,other,14,0.5222919226160084,0.6860695717759855,0.10330867987366274,10
correct,parietal,15,0.5386694791269718,0.6554682644775317,0.10507291210219467,13
correct,temporal,7,0.4724551364784576,0.7820436309226892,0.10002879291281608,4
remember,central,7,0.3973358547106754,0.5360091061174954,0.0338648238380732,4
remember,frontal,5,0.2832439991026404,0.3011998039350977,0.013999909755027759,0
remember,occipital,7,0.30271961916578494,0.5846501610444488,0.03251415754380819,1
remember,other,14,0.32202740920258427,0.5270652304025772,0.026205260527484904,2
remember,parietal,15,0.3461346698201791,0.5593427812983313,0.028068726446788407,5
remember,temporal,7,0.33847400033278063,0.5411763742388136,0.031122340300085403,2
