target,feature,final_scientific_evidence_score,final_evidence_class_v2,publication_priority,cohen_d,p_fdr,ml_mean_permutation_importance
correct,beta_temporal,0.7820436309226892,high_confidence_multilayer,exploratory,0.2171282757930247,4.4132371288135055e-24,0.0092352241343385
correct,gamma_temporal,0.7027047708712569,strong_multilayer_evidence,exploratory,0.2249658894032735,4.008837981489088e-23,0.00340772258732895
correct,delta_abs,0.6860695717759855,strong_multilayer_evidence,exploratory,-0.1317639434412088,0.0058778508834395,0.01386389851183355
correct,delta_rel,0.6642177839599357,strong_multilayer_evidence,exploratory,-0.208296811598445,1.1110858625283166e-08,0.0007158512910718
correct,beta_parietal,0.6554682644775317,strong_multilayer_evidence,exploratory,0.1550481442910112,2.7374404943671806e-09,0.007564677691506001
correct,delta_parietal,0.6503086979081923,strong_multilayer_evidence,exploratory,-0.1212282540480741,0.0041829227699469,0.0024990489715959953
correct,delta_central,0.648449724632362,strong_multilayer_evidence,exploratory,-0.1334880864554219,0.0020622242878812,0.00039821055725525005
correct,delta_frontoparietal_diff,0.6429511260698318,strong_multilayer_evidence,exploratory,-0.1362394741852295,0.0029074766612216,0.0019448598258040024
correct,beta_abs,0.6359457536913933,strong_multilayer_evidence,exploratory,0.0978581244466391,0.0033819575805418,0.01084520521136635
correct,gamma_parietal,0.6294508092466954,strong_multilayer_evidence,exploratory,0.1242595828151386,1.0619820128413021e-07,0.0059840039699558
correct,alpha_beta_central_ratio,0.6271004363829681,strong_multilayer_evidence,exploratory,0.1583539341510638,2.7374404943671806e-09,0.012021455063968
correct,alpha_beta_frontal_ratio,0.6184911318759041,strong_multilayer_evidence,exploratory,0.1303176474367501,0.0001014112496675,0.009674993204413401
correct,theta_rel,0.6125056818736934,strong_multilayer_evidence,exploratory,0.1940892963849802,4.763877686990766e-09,0.0039801707477693
correct,alpha_beta_parietal_ratio,0.6087058866742119,strong_multilayer_evidence,exploratory,0.1202418218023179,0.0001063347277625,0.00716568202385405
correct,gamma_frontoparietal_ratio,0.6073907573249103,strong_multilayer_evidence,exploratory,-0.1110780447761194,0.0020622242878812,0.0009299386728895
correct,theta_abs,0.6020521556561524,strong_multilayer_evidence,exploratory,0.1237392080186769,5.477629943419366e-06,0.0111490543470897
correct,alpha_abs,0.5943409933078901,moderate_multilayer_evidence,exploratory,0.1011715846421198,0.0029074766612216,0.0080991555730645
correct,theta_frontoparietal_ratio,0.5930596072545259,moderate_multilayer_evidence,exploratory,-0.1436826853394754,0.0001240276747523,0.00151312452548455
correct,theta_beta_ratio,0.5908114284423819,moderate_multilayer_evidence,exploratory,0.1075474890702915,0.0002196680024521,0.0093654184539337
remember,gamma_occipital,0.5846501610444488,moderate_multilayer_evidence,exploratory,0.121482354178585,1.877013265290833e-17,0.0057535301373809
correct,beta_frontoparietal_diff,0.5840753005228848,moderate_multilayer_evidence,exploratory,-0.1295457666058473,0.0029946881408546,0.0071649368344698
correct,alpha_central,0.5807159360830227,moderate_multilayer_evidence,exploratory,0.1548613622822838,4.1929927970589225e-08,0.00356808249547075
correct,alpha_temporal,0.5779332005914779,moderate_multilayer_evidence,exploratory,0.100171074318177,0.001972721506344,0.0060305022852520495
correct,delta_theta_ratio,0.571948206570321,moderate_multilayer_evidence,exploratory,-0.0968475666364546,0.0001465080516652,0.0009875659959552
correct,theta_parietal,0.5717366739567393,moderate_multilayer_evidence,exploratory,0.1193441987749964,1.2914008919258045e-05,0.0104165949155947
correct,gamma_occipital,0.5659776652106867,moderate_multilayer_evidence,exploratory,0.1047373741240041,0.0001541677604189,0.0057535301373809
correct,theta_central,0.565233548490148,moderate_multilayer_evidence,exploratory,0.1528240647860177,7.168466810680754e-09,0.00178101083502665
correct,alpha_beta_ratio,0.5636846360469989,moderate_multilayer_evidence,exploratory,0.1115741527988019,0.0009296003114551,0.00508840732624855
remember,gamma_parietal,0.5593427812983313,moderate_multilayer_evidence,exploratory,0.0613886340082469,6.381952089290735e-05,0.0059840039699558
remember,delta_parietal,0.5567105191973899,moderate_multilayer_evidence,exploratory,-0.0372919849166802,0.0286871524647912,0.0024990489715959953
