target,feature,p_value,p_fdr,cohen_d,mean_difference,subject_count,subject_effect_mean,subject_effect_median,subject_effect_std,direction_consistency,positive_fraction,negative_fraction,fdr_significant,p_significant,abs_cohen_d,effect_magnitude,statistical_direction,robustness_class,direction_agreement,scientific_evidence_class,scientific_priority_score,scientific_rank
correct,memory_cond,2.6822666434454668e-27,1.5020693203294614e-25,-0.3472432767384936,-0.5633802192059907,0,,,,0.8235294117647058,0.1764705882352941,0.8235294117647058,True,True,0.3472432767384936,moderate,negative,strong,agreement,strong_scientific_candidate,0.8577761760698867,1
correct,delta_rel,1.587265517897595e-09,1.1110858625283166e-08,-0.208296811598445,-0.0394681145542373,0,,,,0.6470588235294118,0.3529411764705882,0.6470588235294118,True,True,0.208296811598445,moderate,negative,weak,agreement,statistically_supported_candidate,0.7252195328247938,2
correct,alpha_beta_central_ratio,2.29537880609731e-10,2.7374404943671806e-09,0.1583539341510638,1.0588167279465992,0,,,,0.7647058823529411,0.7647058823529411,0.2352941176470588,True,True,0.1583539341510638,small,positive,moderate,agreement,moderate_scientific_candidate,0.7137889303763328,3
correct,beta_temporal,1.576156117433395e-25,4.4132371288135055e-24,0.2171282757930247,0.1063339822220392,0,,,,0.5294117647058824,0.5294117647058824,0.4705882352941176,True,True,0.2171282757930247,moderate,positive,weak,agreement,statistically_supported_candidate,0.7078721459962938,4
correct,theta_rel,5.104154664632964e-10,4.763877686990766e-09,0.1940892963849802,0.0247383786040161,0,,,,0.5294117647058824,0.5294117647058824,0.4705882352941176,True,True,0.1940892963849802,small,positive,weak,agreement,statistically_supported_candidate,0.6917448604106626,5
correct,beta_parietal,2.4441432985421256e-10,2.7374404943671806e-09,0.1550481442910112,0.0551153219768879,0,,,,0.6470588235294118,0.6470588235294118,0.3529411764705882,True,True,0.1550481442910112,small,positive,weak,agreement,statistically_supported_candidate,0.6879454657095901,6
correct,theta_central,8.960583513350941e-10,7.168466810680754e-09,0.1528240647860177,0.3493210928413732,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.1528240647860177,small,positive,weak,agreement,statistically_supported_candidate,0.6746239041737419,7
correct,theta_temporal,1.0302754697184571e-06,5.245038754930327e-06,0.113538613324556,0.3108521749391855,0,,,,0.7058823529411765,0.7058823529411765,0.2941176470588235,True,True,0.113538613324556,small,positive,moderate,agreement,moderate_scientific_candidate,0.6706534999154246,8
correct,beta_frontoparietal_diff,0.0016042972183149,0.0029946881408546,-0.1295457666058473,-0.0525472242842672,0,,,,0.6470588235294118,0.3529411764705882,0.6470588235294118,True,True,0.1295457666058473,small,negative,weak,agreement,statistically_supported_candidate,0.6700938013299754,9
correct,alpha_rel,4.4687129872806026e-05,0.0001465080516652,0.1294403336185308,0.0175304277247444,0,,,,0.6470588235294118,0.6470588235294118,0.3529411764705882,True,True,0.1294403336185308,small,positive,weak,agreement,statistically_supported_candidate,0.6700199982388539,10
correct,alpha_central,6.7387384238446964e-09,4.1929927970589225e-08,0.1548613622822838,0.2913718051586234,0,,,,0.5294117647058824,0.5294117647058824,0.4705882352941176,True,True,0.1548613622822838,small,positive,weak,agreement,statistically_supported_candidate,0.6642853065387752,11
correct,theta_occipital,5.3146938140196856e-05,0.0001541677604189,0.1035544831678395,0.6515027835828651,0,,,,0.7058823529411765,0.7058823529411765,0.2941176470588235,True,True,0.1035544831678395,small,positive,moderate,agreement,moderate_scientific_candidate,0.663664608805723,12
correct,theta_parietal,2.997894927684904e-06,1.2914008919258045e-05,0.1193441987749964,0.6252947524007433,0,,,,0.6470588235294118,0.6470588235294118,0.3529411764705882,True,True,0.1193441987749964,small,positive,weak,agreement,statistically_supported_candidate,0.6629527038483799,13
correct,alpha_beta_frontal_ratio,2.535281241689397e-05,0.0001014112496675,0.1303176474367501,0.5925261508220454,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.1303176474367501,small,positive,weak,agreement,statistically_supported_candidate,0.6588694120292545,14
correct,alpha_beta_ratio,0.000381800127919,0.0009296003114551,0.1115741527988019,0.538241535729493,0,,,,0.6470588235294118,0.6470588235294118,0.3529411764705882,True,True,0.1115741527988019,small,positive,weak,agreement,statistically_supported_candidate,0.6575136716650437,15
correct,theta_frontoparietal_ratio,3.543647850067478e-05,0.0001240276747523,-0.1436826853394754,-0.095871240909116,0,,,,0.5294117647058824,0.4705882352941176,0.5294117647058824,True,True,0.1436826853394754,small,negative,weak,agreement,statistically_supported_candidate,0.6564602326788093,16
correct,theta_abs,1.1737778450184356e-06,5.477629943419366e-06,0.1237392080186769,0.4228316544939132,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.1237392080186769,small,positive,weak,agreement,statistically_supported_candidate,0.6542645044366032,17
correct,alpha_beta_parietal_ratio,2.848251636495596e-05,0.0001063347277625,0.1202418218023179,0.9835138032318582,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.1202418218023179,small,positive,weak,agreement,statistically_supported_candidate,0.6518163340851519,18
correct,gamma_frontoparietal_ratio,0.0009574612765163,0.0020622242878812,-0.1110780447761194,-0.5796949672324905,0,,,,0.5882352941176471,0.4117647058823529,0.5882352941176471,True,True,0.1110780447761194,small,negative,weak,agreement,statistically_supported_candidate,0.645401690166813,19
correct,theta_beta_ratio,8.237550091956377e-05,0.0002196680024521,0.1075474890702915,0.7977931256118733,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.1075474890702915,small,positive,weak,agreement,statistically_supported_candidate,0.6429303011727335,20
correct,beta_frontoparietal_ratio,0.0055233406112999,0.0085918631731332,-0.0878939764907035,-0.178807458673208,0,,,,0.6470588235294118,0.3529411764705882,0.6470588235294118,True,True,0.0878939764907035,negligible,negative,weak,agreement,statistically_supported_candidate,0.6409375482493748,21
correct,alpha_temporal,0.0008454520741474,0.001972721506344,0.100171074318177,0.2003667333175489,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.100171074318177,small,positive,weak,agreement,statistically_supported_candidate,0.6377668108462533,22
correct,beta_abs,0.0018721550892285,0.0033819575805418,0.0978581244466391,0.0324235303582391,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.0978581244466391,negligible,positive,weak,agreement,statistically_supported_candidate,0.6361477459361768,23
correct,theta_frontoparietal_diff,0.0001270764127851,0.000323467232544,-0.0980979543414767,-0.3007786594133896,0,,,,0.5294117647058824,0.4705882352941176,0.5294117647058824,True,True,0.0980979543414767,negligible,negative,weak,agreement,statistically_supported_candidate,0.6245509209802101,24
correct,beta_occipital,0.009252837907202,0.0140042952109003,0.0689181029967217,0.03696126697373,0,,,,0.5882352941176471,0.5882352941176471,0.4117647058823529,True,True,0.0689181029967217,negligible,positive,weak,agreement,statistically_supported_candidate,0.6158897309212346,25
correct,alpha_beta_occipital_ratio,0.0040576913265373,0.0064923061224597,0.078030347565542,0.9078951350575944,0,,,,0.5294117647058824,0.5294117647058824,0.4705882352941176,True,True,0.078030347565542,negligible,positive,weak,agreement,statistically_supported_candidate,0.6105035962370559,26
