target,feature,n_subjects,mean_subject_effect,median_subject_effect,std_subject_effect,q25_subject_effect,q75_subject_effect,positive_subjects,negative_subjects,zero_subjects,positive_fraction,negative_fraction,median_direction,direction_consistency
correct,memory_cond,17,-0.8335010960245167,-0.9966329966329965,0.8844948381064651,-1.507936507936508,-0.48367186623274616,3,14,0,0.17647058823529413,0.8235294117647058,negative,negative_robust
correct,alpha_beta_central_ratio,17,0.6256085460161055,0.4566075897730464,2.044542133438048,0.0457694722283728,0.7070634315446513,13,4,0,0.7647058823529411,0.23529411764705882,positive,positive_robust
correct,theta_occipital,17,0.20074215225493264,0.07074654551344861,1.4790329823402106,-0.0066508631515769245,0.3377406690391558,12,5,0,0.7058823529411765,0.29411764705882354,positive,positive_robust
correct,theta_temporal,17,0.26837639501996857,0.04396118555020645,0.8125771000447088,-7.617998970713006e-05,0.49433063668000354,12,5,0,0.7058823529411765,0.29411764705882354,positive,positive_robust
correct,delta_frontoparietal_diff,17,0.31585976127835014,0.43687407978270854,2.8233251779665043,-0.0008099018308733873,1.6382482774950837,12,5,0,0.7058823529411765,0.29411764705882354,positive,positive_robust
correct,alpha_frontoparietal_ratio,17,-0.032629298605922535,-0.03437183906357605,0.06882118570370449,-0.08112788944499205,0.011170082042379015,5,12,0,0.29411764705882354,0.7058823529411765,negative,negative_robust
correct,delta_abs,17,0.5334533489998894,0.3208353331271039,2.020097836588678,-0.0008741161316301316,1.8679121726571442,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,delta_rel,17,-0.011944333435564995,-0.002627176362393624,0.046568698181638404,-0.013736689306196315,0.005165566902828822,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,alpha_rel,17,0.005487942560752941,0.006548109643421535,0.020003117214303996,-0.010084526620946305,0.015442611533700537,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,alpha_beta_ratio,17,0.07538591770132003,0.07234110508538727,1.4130772886071876,-0.953222884400724,0.46026025065918486,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,alpha_frontal,17,-0.046446729516743036,-0.04244350131970254,0.42362754289609933,-0.10274790142978785,0.06274444095748286,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,gamma_frontal,17,-0.0382303352813589,-0.0004739534566839676,0.16957381249083914,-0.027788968234933972,0.01857619766904118,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,gamma_central,17,-0.021404958778887567,-0.0011073466460883724,0.0457796149062695,-0.015882706097618108,0.002170342034010203,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,delta_parietal,17,0.30769511514331205,0.16885856643189356,0.8296674340658766,-0.0003426048105221865,0.635712897454038,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,theta_parietal,17,0.21435303318685967,0.06643266600542364,1.4685648560507947,-0.23810269520224447,0.3107556562408842,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,beta_parietal,17,0.013382281069847327,0.004740722691445931,0.052114996435189256,-8.257989245513575e-06,0.013880570063558584,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,delta_occipital,17,1.0499585071390782,0.42638133289583946,3.17491797228763,-0.0005887701519467618,1.5277723356825206,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,gamma_occipital,17,-0.006882436135861736,-0.00048552829611377135,0.04121685977750351,-0.013224136333212982,0.006943079416549813,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,delta_temporal,17,0.45136598203198136,0.1607258640870708,1.5960817346933043,-0.0002658838506909316,0.43355107655819247,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,theta_alpha_central_ratio,17,0.01792167437900393,0.024681923099756697,0.29611519406358516,-0.024674526154058074,0.07946293629678669,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,delta_frontoparietal_ratio,17,-0.01042858584377199,0.07343813366262597,0.19404378574166367,-0.09608440727748802,0.1161670562098911,11,6,0,0.6470588235294118,0.35294117647058826,positive,mixed_weak
correct,beta_frontoparietal_diff,17,-0.014057929880690458,-0.004243149545775975,0.13332034552040498,-0.028837089325661824,0.030495369250883843,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,beta_frontoparietal_ratio,17,-0.01122382773391984,-0.07462487040912258,0.378096063121299,-0.20633852574121536,0.058338980060180345,6,11,0,0.35294117647058826,0.6470588235294118,negative,mixed_weak
correct,theta_abs,17,0.24879518972826756,0.07846261927604103,1.1227688026909164,-0.08489161723148131,0.3059245670401223,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,alpha_abs,17,0.014681842341227736,-7.434887862938194e-05,0.5606179330770336,-0.10102986532480251,0.03775835231657387,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,beta_abs,17,0.0016911563292689978,0.004011580780324764,0.06446515427755521,-0.013950733375967916,0.021975664013422935,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,gamma_abs,17,-0.02499902980803976,-2.6870117378299414e-05,0.08975848553413582,-0.030978366799882,0.009034760721617352,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,beta_rel,17,0.00018258314495389738,-0.00037309759028734263,0.01083609758773622,-0.00744600445038102,0.008996757887398898,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,gamma_rel,17,-0.002391328228466321,-0.0023443881553335474,0.006864585565128943,-0.007162125791041026,0.0013779687766576404,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,theta_alpha_ratio,17,0.09167906495808668,0.06800583562470353,0.29375214581156334,-0.07519292981534753,0.1636638348295132,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,theta_beta_ratio,17,0.4193062340158871,0.43409937880193894,2.606012610431514,-0.56997700788986,1.0625818761963268,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,theta_central,17,0.18727745958072253,0.027489211531786406,0.9288514492635535,-0.01922304552661036,0.1637588012412724,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,gamma_parietal,17,-0.006041837472968496,-0.0018232893334254596,0.02367450208728005,-0.007010951653177333,0.006623466340719579,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,alpha_occipital,17,-0.14980235312218923,-0.0011498063010293436,1.351184337673139,-0.26032691471731173,0.18999447563981553,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,beta_occipital,17,0.03560678555794718,0.022144842658289754,0.09880621378508718,-0.0173408046696355,0.06999864364796254,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,alpha_temporal,17,-0.03373179932239735,0.015079932844180077,0.4135355564875517,-0.03339966335935707,0.09260711417508194,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,gamma_temporal,17,-0.037948095158665145,-0.00011267424825139871,0.10421901044589475,-0.04365982289734062,0.010842663181853299,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,theta_alpha_frontal_ratio,17,0.14978145631508694,0.1261736812501093,0.5371371526280383,-0.1993377638137055,0.2480576822449594,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,alpha_beta_frontal_ratio,17,-0.059069925382328636,0.1714939700273852,1.393744313378072,-0.6553184039011413,0.36843009623199396,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,theta_alpha_parietal_ratio,17,0.07074385604185603,0.04798546111587454,0.29681753614459044,-0.0923414468804582,0.21957337760509021,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,alpha_beta_parietal_ratio,17,0.18192475754025517,0.21465037311229462,1.3035056137905308,-0.7841604750916122,0.9915200562242239,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,theta_alpha_occipital_ratio,17,0.22496881147837666,0.08615519840702457,0.4921412575499967,-0.06711098224490408,0.3774609032821803,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,theta_alpha_temporal_ratio,17,0.049371976054846035,-0.022626007244463286,0.284933379985479,-0.10650278653378464,0.24427518729271558,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
correct,alpha_beta_temporal_ratio,17,-0.027376641248404575,0.22546980628630564,1.1655747193078334,-0.6573906286140261,0.49405035598700753,10,7,0,0.5882352941176471,0.4117647058823529,positive,mixed_weak
correct,gamma_frontoparietal_ratio,17,0.08562062817377468,-0.10809600988564982,1.1317991315870362,-0.7083699797809644,0.6997374288445042,7,10,0,0.4117647058823529,0.5882352941176471,negative,mixed_weak
