target,feature,mean_difference,cohen_d,abs_cohen_d,p_value,p_fdr,fdr_significant,effect_magnitude,statistical_direction,subject_count,subject_effect_mean,subject_effect_median,subject_effect_std,subject_effect_status,positive_fraction,negative_fraction,direction_consistency,direction_agreement,robustness_class,scientific_priority_score,scientific_rank,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,median_difference,t_stat,direction,significant_fdr
correct,memory_cond,-0.5633802192059907,-0.3472432767384936,0.3472432767384936,2.6822666434454668e-27,1.5020693203294614e-25,True,small,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,1,1059,20008,5.547686496694995,4.984306277489004,5.0,5.0,1.608796069696936,1.6231547946933282,0.0,-11.100778622748548,negative,True
correct,beta_temporal,0.1063339822220392,0.2171282757930247,0.2171282757930247,1.576156117433395e-25,4.4132371288135055e-24,True,small,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,2,1059,20008,0.2828101388752191,0.3891441210972583,0.206783283865517,0.2336931596784688,0.3039105370997847,0.4976273015655859,0.0269098758129518,10.65512627192095,positive,True
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,0.2249658894032735,2.147591775797726e-24,4.008837981489088e-23,True,small,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,3,1059,20008,0.1135232011682079,0.1960199075875907,0.0502662104444622,0.063703814192752,0.2436388360371496,0.3720842005226344,0.0134376037482898,10.395890960129725,positive,True
correct,alpha_beta_central_ratio,1.0588167279465992,0.1583539341510638,0.1583539341510638,2.29537880609731e-10,2.7374404943671806e-09,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,4,1059,20008,5.299144305615401,6.357961033562,3.521261533380698,4.138613145108845,5.161119958255464,6.757474720909835,0.6173516117281475,6.392419431964029,positive,True
correct,beta_parietal,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.4441432985421256e-10,2.7374404943671806e-09,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,5,1059,20008,0.2974465511931445,0.3525618731700325,0.2495184071224784,0.2616003081450263,0.2685872507103882,0.3594827871454787,0.0120819010225479,6.3821137096553135,positive,True
correct,theta_rel,0.0247383786040161,0.1940892963849802,0.1940892963849802,5.104154664632964e-10,4.763877686990766e-09,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,6,1059,20008,0.2325931932349373,0.2573315718389534,0.2111697214930472,0.2350614114945201,0.1250263311024991,0.1275860862263656,0.0238916900014729,6.268550715813226,positive,True
correct,theta_central,0.3493210928413732,0.1528240647860177,0.1528240647860177,8.960583513350942e-10,7.168466810680754e-09,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,7,1059,20008,1.0610205353673916,1.4103416282087649,0.5948337066072213,0.658484406128965,1.7628110542308992,2.3101343992417656,0.0636506995217436,6.1741178369680165,positive,True
correct,delta_rel,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.587265517897595e-09,1.1110858625283166e-08,True,small,negative,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,8,1059,20008,0.4501330121080081,0.4106648975537708,0.4244882018453266,0.3894971039191753,0.2065849546148335,0.1885324429335318,-0.0349910979261512,-6.084546916966268,negative,True
correct,alpha_central,0.2913718051586234,0.1548613622822838,0.1548613622822838,6.738738423844696e-09,4.1929927970589225e-08,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,9,1059,20008,1.023787324842088,1.3151591300007113,0.4880617107911881,0.5945635151894912,1.5643378036978308,1.8967972388876284,0.1065018043983031,5.838381936701799,positive,True
correct,gamma_parietal,0.0135698623330476,0.1242595828151386,0.1242595828151386,1.896396451502325e-08,1.0619820128413021e-07,True,negligible,positive,,,,,NOT_AVAILABLE_RAW_SUBJECT_DATA,,,,not_available,statistically_significant_but_subject_robustness_unavailable,0.0,10,1059,20008,0.065223980021049,0.0787938423540967,0.0490626903487014,0.0581455403515245,0.073800163997674,0.1107634435490851,0.0090828500028231,5.655971644811494,positive,True
