feature,remember_subject_count,remember_subject_effect_mean,remember_subject_effect_median,remember_subject_effect_std,remember_positive_fraction,remember_negative_fraction,remember_direction_consistency,remember_direction,remember_robustness_class,correct_subject_count,correct_subject_effect_mean,correct_subject_effect_median,correct_subject_effect_std,correct_positive_fraction,correct_negative_fraction,correct_direction_consistency,correct_direction,correct_robustness_class,overall_robustness_class
alpha_abs,22,-0.004225080718999699,0.02401404754028395,0.14105147719885686,0.6363636363636364,0.36363636363636365,0.6363636363636364,positive,weak,17,0.003977169084874701,-0.0314873277469293,0.23583833064461296,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
alpha_beta_central_ratio,22,-0.006481369496393726,-0.0012023537617123499,0.12392089386028746,0.5,0.5,0.5,mixed,mixed,17,0.14402964758962156,0.0918357757863384,0.25609590766729845,0.7647058823529411,0.23529411764705882,0.7647058823529411,positive,moderate,moderate
alpha_beta_frontal_ratio,22,0.006868067233128458,-0.00017555386438575,0.13923334623875508,0.5,0.5,0.5,mixed,mixed,17,0.011768877838233034,0.1052386511879747,0.29770901597640115,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
alpha_beta_occipital_ratio,22,-0.010147514905164053,0.0075259452461013,0.10964828682303264,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.03671384250847402,0.0245095354919788,0.24743665578040502,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,mixed_weak
alpha_beta_parietal_ratio,22,-0.00889987824774338,-0.007146879630928599,0.14266027024489641,0.4090909090909091,0.5909090909090909,0.5909090909090909,negative,weak,17,0.037132833069950806,0.0382750490663845,0.18671758863613588,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
alpha_beta_ratio,22,-0.004946131824715725,1.643148696604986e-05,0.1389065291916441,0.5,0.5,0.5,mixed,mixed,17,0.046180390629905685,0.027962344081358,0.3000689208728265,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
alpha_beta_temporal_ratio,22,0.05233680591085687,0.0315087420271479,0.14861785617934786,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.06494299068767259,0.0617200039401055,0.24670435892162448,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
alpha_central,22,-0.01501586222283353,-0.01501119428169965,0.12836880133682388,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,0.04246795987509471,0.0177681990916285,0.18782245235358683,0.5294117647058824,0.47058823529411764,0.5294117647058824,positive,mixed,mixed_weak
alpha_frontal,22,-0.0030707927750683456,0.031058370447483198,0.10824655871385147,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.0117935947338535,-0.0626760015310623,0.2438905060196912,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
alpha_frontoparietal_diff,22,0.00974893749781017,0.0002832907681079,0.1217687411757598,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.030850199169255386,-0.0426794577245955,0.21678190976700742,0.47058823529411764,0.5294117647058824,0.5294117647058824,negative,mixed,mixed_weak
alpha_frontoparietal_ratio,22,0.01227663886432328,-0.010858941748103399,0.11593365076515402,0.45454545454545453,0.5454545454545454,0.5454545454545454,negative,mixed,17,-0.07059348720716957,-0.0935569508164402,0.2209857381499035,0.29411764705882354,0.7058823529411765,0.7058823529411765,negative,moderate,moderate
alpha_occipital,22,-0.013808574837919587,0.006018385239761,0.11036127458570766,0.5,0.5,0.5,mixed,mixed,17,-0.0353875819230478,-0.0226737443574212,0.22440547552857584,0.4117647058823529,0.5882352941176471,0.5882352941176471,negative,weak,weak
alpha_rel,22,-0.003156714484513651,0.00273943482436755,0.10194349998764113,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.05097832355011286,0.0454504463368716,0.17756023688398814,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
alpha_temporal,22,0.01629686962287168,0.025018799178911,0.09708603003222155,0.6818181818181818,0.3181818181818182,0.6818181818181818,positive,moderate,17,0.027248635892917775,0.0259348503649758,0.1769982665570434,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,moderate
beta_abs,22,0.011882839884920149,0.0064287775629291,0.1218529682992227,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.0006445398145583712,0.022617076858297,0.2999088933466001,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
beta_central,22,-0.009108361260200665,0.017305056347534098,0.14535744246445037,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.08727746109283907,-0.0573648282093374,0.3204597302611313,0.47058823529411764,0.5294117647058824,0.5294117647058824,negative,mixed,weak
beta_frontal,22,0.006292755656684213,0.02676135788213745,0.09935620573113013,0.6818181818181818,0.3181818181818182,0.6818181818181818,positive,moderate,17,0.010174146145588859,-0.0024640408308667,0.3239403608709913,0.47058823529411764,0.5294117647058824,0.5294117647058824,negative,mixed,moderate
beta_frontoparietal_diff,22,0.015061675649799796,0.0103621489766398,0.15356086767812419,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,-0.03944986095015843,-0.0650358100322439,0.35532536016005956,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
beta_frontoparietal_ratio,22,0.009995618660365795,0.0250422045529727,0.1581891824320837,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,-0.04525945894883748,-0.0780281715566495,0.35460625384888245,0.35294117647058826,0.6470588235294118,0.6470588235294118,negative,weak,weak
beta_occipital,22,-0.011332306790655403,0.01008362228756505,0.10972234743933001,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17,0.05622197652916972,0.075512730773342,0.32853239410923574,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak
beta_parietal,22,-0.005930338816362909,0.005094234456075399,0.1370314278828085,0.5454545454545454,0.45454545454545453,0.5454545454545454,positive,mixed,17,0.04568359299605848,0.0300598021055862,0.2585608759860224,0.6470588235294118,0.35294117647058826,0.6470588235294118,positive,weak,weak
