target,feature,frequency_band,brain_region,feature_measure,mean_difference,cohen_d,abs_cohen_d_clean,p_value,p_fdr,fdr_significant_clean,target_direction,target_direction_consistency,target_robustness_class,subject_vs_statistical_direction,evidence_class,effect_strength_v1,scientific_priority_score_v2,scientific_rank_v2,scientific_interpretation_v1
correct,alpha_beta_central_ratio,alpha,central,ratio,1.0588167279465992,0.1583539341510638,0.1583539341510638,2.29537880609731e-10,2.7374404943671806e-09,True,positive,0.7647058823529411,moderate,agreement,strong_replicated,negligible,8.158354,1,high_priority; alpha-band; central-region; positive; negligible-effect
correct,theta_temporal,theta,temporal,regional_power,0.3108521749391855,0.113538613324556,0.113538613324556,1.0302754697184571e-06,5.245038754930327e-06,True,positive,0.7058823529411765,moderate,agreement,strong_replicated,negligible,8.113539,2,high_priority; theta-band; temporal-region; positive; negligible-effect
correct,theta_occipital,theta,occipital,regional_power,0.6515027835828651,0.1035544831678395,0.1035544831678395,5.3146938140196856e-05,0.0001541677604189,True,positive,0.7058823529411765,moderate,agreement,strong_replicated,negligible,8.103554,3,high_priority; theta-band; occipital-region; positive; negligible-effect
correct,delta_rel,delta,global,relative_power,-0.0394681145542373,-0.208296811598445,0.208296811598445,1.587265517897595e-09,1.1110858625283166e-08,True,negative,0.6470588235294118,weak,agreement,moderate_replicated,small,7.208297,4,replicated_candidate; delta-band; global-region; negative; small-effect
correct,beta_parietal,beta,parietal,regional_power,0.0551153219768879,0.1550481442910112,0.1550481442910112,2.4441432985421256e-10,2.7374404943671806e-09,True,positive,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.155048,5,replicated_candidate; beta-band; parietal-region; positive; negligible-effect
correct,theta_central,theta,central,regional_power,0.3493210928413732,0.1528240647860177,0.1528240647860177,8.96058351335094e-10,7.168466810680754e-09,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.152824,6,replicated_candidate; theta-band; central-region; positive; negligible-effect
correct,alpha_beta_frontal_ratio,alpha,frontal,ratio,0.5925261508220454,0.1303176474367501,0.1303176474367501,2.535281241689397e-05,0.0001014112496675,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.130318,7,replicated_candidate; alpha-band; frontal-region; positive; negligible-effect
correct,beta_frontoparietal_diff,beta,frontoparietal,difference,-0.0525472242842672,-0.1295457666058473,0.1295457666058473,0.0016042972183149,0.0029946881408546,True,negative,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.129546,8,replicated_candidate; beta-band; frontoparietal-region; negative; negligible-effect
correct,alpha_rel,alpha,global,relative_power,0.0175304277247444,0.1294403336185308,0.1294403336185308,4.4687129872806026e-05,0.0001465080516652,True,positive,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.12944,9,replicated_candidate; alpha-band; global-region; positive; negligible-effect
correct,theta_abs,theta,global,absolute_power,0.4228316544939132,0.1237392080186769,0.1237392080186769,1.1737778450184356e-06,5.477629943419366e-06,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.123739,10,replicated_candidate; theta-band; global-region; positive; negligible-effect
correct,alpha_beta_parietal_ratio,alpha,parietal,ratio,0.9835138032318582,0.1202418218023179,0.1202418218023179,2.848251636495596e-05,0.0001063347277625,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.120242,11,replicated_candidate; alpha-band; parietal-region; positive; negligible-effect
correct,theta_parietal,theta,parietal,regional_power,0.6252947524007433,0.1193441987749964,0.1193441987749964,2.997894927684904e-06,1.2914008919258045e-05,True,positive,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.119344,12,replicated_candidate; theta-band; parietal-region; positive; negligible-effect
correct,alpha_beta_ratio,alpha,global,ratio,0.538241535729493,0.1115741527988019,0.1115741527988019,0.000381800127919,0.0009296003114551,True,positive,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.111574,13,replicated_candidate; alpha-band; global-region; positive; negligible-effect
correct,gamma_frontoparietal_ratio,gamma,frontoparietal,ratio,-0.5796949672324905,-0.1110780447761194,0.1110780447761194,0.0009574612765163,0.0020622242878812,True,negative,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.111078,14,replicated_candidate; gamma-band; frontoparietal-region; negative; negligible-effect
correct,theta_beta_ratio,theta,global,ratio,0.7977931256118733,0.1075474890702915,0.1075474890702915,8.237550091956377e-05,0.0002196680024521,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.107547,15,replicated_candidate; theta-band; global-region; positive; negligible-effect
correct,alpha_temporal,alpha,temporal,regional_power,0.2003667333175489,0.100171074318177,0.100171074318177,0.0008454520741474,0.001972721506344,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.100171,16,replicated_candidate; alpha-band; temporal-region; positive; negligible-effect
correct,beta_abs,beta,global,absolute_power,0.0324235303582391,0.0978581244466391,0.0978581244466391,0.0018721550892285,0.0033819575805418,True,positive,0.5882352941176471,weak,agreement,moderate_replicated,negligible,7.097858,17,replicated_candidate; beta-band; global-region; positive; negligible-effect
correct,beta_frontoparietal_ratio,beta,frontoparietal,ratio,-0.178807458673208,-0.0878939764907035,0.0878939764907035,0.0055233406112999,0.0085918631731332,True,negative,0.6470588235294118,weak,agreement,moderate_replicated,negligible,7.087894,18,replicated_candidate; beta-band; frontoparietal-region; negative; negligible-effect
