target,frequency_band,brain_region,feature_count,fdr_significant_count,mean_abs_cohen_d,max_abs_cohen_d,positive_fraction,negative_fraction,pattern_class_v1
correct,delta,global,3,3,0.14563610722536946,0.208296811598445,0.6666666666666666,0.3333333333333333,candidate_pattern
correct,alpha,global,3,3,0.11406202368648416,0.1294403336185308,0.6666666666666666,0.3333333333333333,candidate_pattern
correct,theta,global,4,3,0.10914699812132088,0.1940892963849802,1.0,0.0,candidate_pattern
correct,alpha,central,2,2,0.1566076482166738,0.1583539341510638,1.0,0.0,candidate_pattern
correct,theta,frontoparietal,2,2,0.12089031984047605,0.1436826853394754,0.0,1.0,candidate_pattern
correct,alpha,frontal,2,2,0.11490702673532205,0.1303176474367501,0.5,0.5,candidate_pattern
correct,beta,frontoparietal,2,2,0.10871987154827539,0.1295457666058473,0.0,1.0,candidate_pattern
correct,delta,frontoparietal,2,2,0.09683519573751384,0.1362394741852295,1.0,0.0,statistical_pattern
correct,theta,parietal,2,2,0.08787120961717365,0.1193441987749964,1.0,0.0,statistical_pattern
correct,theta,occipital,2,2,0.07982885394860274,0.1035544831678395,1.0,0.0,statistical_pattern
correct,gamma,temporal,1,1,0.2249658894032735,0.2249658894032735,0.0,1.0,candidate_pattern
correct,beta,temporal,1,1,0.2171282757930247,0.2171282757930247,1.0,0.0,candidate_pattern
correct,beta,parietal,1,1,0.1550481442910112,0.1550481442910112,1.0,0.0,candidate_pattern
correct,delta,central,1,1,0.1334880864554219,0.1334880864554219,1.0,0.0,candidate_pattern
correct,gamma,parietal,1,1,0.1242595828151386,0.1242595828151386,0.0,1.0,candidate_pattern
correct,delta,parietal,1,1,0.1212282540480741,0.1212282540480741,1.0,0.0,candidate_pattern
correct,alpha,parietal,1,1,0.1202418218023179,0.1202418218023179,1.0,0.0,candidate_pattern
correct,gamma,frontoparietal,1,1,0.1110780447761194,0.1110780447761194,0.0,1.0,candidate_pattern
correct,gamma,occipital,1,1,0.1047373741240041,0.1047373741240041,0.0,1.0,candidate_pattern
correct,beta,central,1,1,0.0771164318879058,0.0771164318879058,0.0,1.0,statistical_pattern
correct,theta,central,2,1,0.07679841938445475,0.1528240647860177,1.0,0.0,statistical_pattern
correct,beta,occipital,1,1,0.0689181029967217,0.0689181029967217,1.0,0.0,statistical_pattern
correct,beta,global,2,1,0.06601925230744525,0.0978581244466391,0.5,0.5,statistical_pattern
correct,theta,temporal,2,1,0.05928886438037205,0.113538613324556,0.5,0.5,statistical_pattern
correct,alpha,occipital,2,1,0.0539787484104137,0.078030347565542,0.5,0.5,statistical_pattern
correct,alpha,temporal,2,1,0.05330339622078565,0.100171074318177,1.0,0.0,statistical_pattern
correct,alpha,frontoparietal,2,0,0.0578023201566905,0.0643057311497376,0.0,1.0,weak_directional_pattern
correct,gamma,global,2,0,0.0493003141977718,0.0602417604193382,0.0,1.0,weak_directional_pattern
correct,delta,temporal,1,0,0.0329228639910991,0.0329228639910991,1.0,0.0,no_clear_pattern
correct,gamma,frontal,1,0,0.0266857335426586,0.0266857335426586,0.0,1.0,no_clear_pattern
correct,gamma,central,1,0,0.0205134634057944,0.0205134634057944,0.0,1.0,no_clear_pattern
correct,delta,occipital,1,0,0.0174660790826604,0.0174660790826604,1.0,0.0,no_clear_pattern
correct,theta,frontal,1,0,0.0139376584825778,0.0139376584825778,1.0,0.0,no_clear_pattern
correct,beta,frontal,1,0,0.0057740734374395,0.0057740734374395,0.0,1.0,no_clear_pattern
remember,alpha,central,2,2,0.04172865033800595,0.0421266841185034,0.0,0.5,statistical_pattern
remember,theta,global,4,2,0.03416865314965315,0.0564929984650997,0.75,0.25,statistical_pattern
remember,gamma,occipital,1,1,0.121482354178585,0.121482354178585,1.0,0.0,candidate_pattern
remember,gamma,parietal,1,1,0.0613886340082469,0.0613886340082469,1.0,0.0,statistical_pattern
remember,gamma,frontoparietal,1,1,0.0472393923056144,0.0472393923056144,0.0,1.0,statistical_pattern
remember,delta,temporal,1,1,0.0468236166143879,0.0468236166143879,1.0,0.0,statistical_pattern
remember,theta,temporal,2,1,0.04275314982875275,0.0649411751065834,0.5,0.5,statistical_pattern
remember,theta,parietal,2,1,0.039215457137774995,0.064341317636975,0.5,0.5,statistical_pattern
remember,theta,frontoparietal,2,1,0.03868556382315295,0.0577387196849785,1.0,0.0,statistical_pattern
