feature,n_rows,n_subjects,effect_column,n_valid,mean_effect,median_effect,std_effect,t_stat,p_value,cohen_d,p_fdr,significant_fdr,effect_magnitude,direction
alpha_abs,1,,remember_mean_0,1,1.877276150512333,1.877276150512333,,,,,,False,not_available,positive
alpha_beta_central_ratio,1,,remember_mean_0,1,6.459357333993911,6.459357333993911,,,,,,False,not_available,positive
alpha_beta_frontal_ratio,1,,remember_mean_0,1,4.02220049274869,4.02220049274869,,,,,,False,not_available,positive
alpha_beta_occipital_ratio,1,,remember_mean_0,1,8.898274175576917,8.898274175576917,,,,,,False,not_available,positive
alpha_beta_parietal_ratio,1,,remember_mean_0,1,8.56093572036839,8.56093572036839,,,,,,False,not_available,positive
alpha_beta_ratio,1,,remember_mean_0,1,5.0148825026163415,5.0148825026163415,,,,,,False,not_available,positive
alpha_beta_temporal_ratio,1,,remember_mean_0,1,4.549670398379389,4.549670398379389,,,,,,False,not_available,positive
alpha_central,1,,remember_mean_0,1,1.3431986586161866,1.3431986586161866,,,,,,False,not_available,positive
alpha_frontal,1,,remember_mean_0,1,1.2643985839530836,1.2643985839530836,,,,,,False,not_available,positive
alpha_frontoparietal_diff,1,,remember_mean_0,1,-1.890168248953389,-1.890168248953389,,,,,,False,not_available,negative
alpha_frontoparietal_ratio,1,,remember_mean_0,1,0.5657641815763701,0.5657641815763701,,,,,,False,not_available,positive
alpha_occipital,1,,remember_mean_0,1,4.287411310201857,4.287411310201857,,,,,,False,not_available,positive
alpha_rel,1,,remember_mean_0,1,0.2303246161483026,0.2303246161483026,,,,,,False,not_available,positive
alpha_temporal,1,,remember_mean_0,1,1.4028677278763984,1.4028677278763984,,,,,,False,not_available,positive
beta_abs,1,,remember_mean_0,1,0.3551834144345519,0.3551834144345519,,,,,,False,not_available,positive
beta_central,1,,remember_mean_0,1,0.199786160648088,0.199786160648088,,,,,,False,not_available,positive
beta_frontal,1,,remember_mean_0,1,0.3765760423561036,0.3765760423561036,,,,,,False,not_available,positive
beta_frontoparietal_diff,1,,remember_mean_0,1,0.0297669583899765,0.0297669583899765,,,,,,False,not_available,positive
beta_frontoparietal_ratio,1,,remember_mean_0,1,1.6236271625350625,1.6236271625350625,,,,,,False,not_available,positive
beta_occipital,1,,remember_mean_0,1,0.4628800058935945,0.4628800058935945,,,,,,False,not_available,positive
beta_parietal,1,,remember_mean_0,1,0.346809083966127,0.346809083966127,,,,,,False,not_available,positive
beta_rel,1,,remember_mean_0,1,0.0662688118298408,0.0662688118298408,,,,,,False,not_available,positive
beta_temporal,1,,remember_mean_0,1,0.3781821408178008,0.3781821408178008,,,,,,False,not_available,positive
delta_abs,1,,remember_mean_0,1,4.198083973147984,4.198083973147984,,,,,,False,not_available,positive
delta_central,1,,remember_mean_0,1,1.6560706411254236,1.6560706411254236,,,,,,False,not_available,positive
delta_frontoparietal_diff,1,,remember_mean_0,1,1.7471335006105284,1.7471335006105284,,,,,,False,not_available,positive
delta_frontoparietal_ratio,1,,remember_mean_0,1,1.2942753574225057,1.2942753574225057,,,,,,False,not_available,positive
delta_occipital,1,,remember_mean_0,1,5.553824576242907,5.553824576242907,,,,,,False,not_available,positive
delta_parietal,1,,remember_mean_0,1,3.200947119862368,3.200947119862368,,,,,,False,not_available,positive
delta_rel,1,,remember_mean_0,1,0.4140516977084771,0.4140516977084771,,,,,,False,not_available,positive
delta_temporal,1,,remember_mean_0,1,2.6817562734363976,2.6817562734363976,,,,,,False,not_available,positive
delta_theta_ratio,1,,remember_mean_0,1,3.0825114222828605,3.0825114222828605,,,,,,False,not_available,positive
gamma_abs,1,,remember_mean_0,1,0.1420656758784913,0.1420656758784913,,,,,,False,not_available,positive
gamma_central,1,,remember_mean_0,1,0.0573715931461283,0.0573715931461283,,,,,,False,not_available,positive
gamma_frontal,1,,remember_mean_0,1,0.1849084842535074,0.1849084842535074,,,,,,False,not_available,positive
gamma_frontoparietal_ratio,1,,remember_mean_0,1,3.819755879830617,3.819755879830617,,,,,,False,not_available,positive
gamma_occipital,1,,remember_mean_0,1,0.1040663658822985,0.1040663658822985,,,,,,False,not_available,positive
gamma_parietal,1,,remember_mean_0,1,0.0744334186126864,0.0744334186126864,,,,,,False,not_available,positive
gamma_rel,1,,remember_mean_0,1,0.0318445056589065,0.0318445056589065,,,,,,False,not_available,positive
gamma_temporal,1,,remember_mean_0,1,0.1855789786087692,0.1855789786087692,,,,,,False,not_available,positive
theta_abs,1,,remember_mean_0,1,2.240215120545099,2.240215120545099,,,,,,False,not_available,positive
