final_rank,feature,final_evidence_score,final_evidence_class,perturbation_max_abs_d,ml_mean_importance,ml_mean_sign_consistency,loso_mean_effect,r_fdr_significant,null_significant,evidence_percent,ml_stability_percent,perturbation_abs,product_evidence_category,product_priority
1,alpha_beta_central_ratio,0.6528487323831598,limited_multilayer_evidence,0.1583539341510638,0.012021455063968,0.7,0.0687741390466139,0,0,65.28487323831598,70.0,0.1583539341510638,moderate_evidence,P2
2,delta_abs,0.59817359400696,limited_multilayer_evidence,0.1317639434412088,0.0138638985118335,0.7,0.0286642771693418,0,0,59.817359400696,70.0,0.1317639434412088,moderate_evidence,P3
3,beta_temporal,0.5949529843179377,limited_multilayer_evidence,0.2171282757930247,0.0092352241343385,1.0,-0.0297806655559938,0,0,59.49529843179378,100.0,0.2171282757930247,moderate_evidence,P3
4,theta_abs,0.5852430502113402,limited_multilayer_evidence,0.1237392080186769,0.0111490543470897,0.8,0.0450376243919468,0,0,58.52430502113401,80.0,0.1237392080186769,moderate_evidence,P3
5,beta_parietal,0.5498321009676342,limited_multilayer_evidence,0.1550481442910112,0.007564677691506,0.9,0.0198766270898477,0,0,54.98321009676342,90.0,0.1550481442910112,moderate_evidence,P3
6,theta_parietal,0.5419475502884159,limited_multilayer_evidence,0.1193441987749964,0.0104165949155947,0.7,0.0353797200244385,0,0,54.19475502884159,70.0,0.1193441987749964,moderate_evidence,P3
7,alpha_beta_frontal_ratio,0.539529339343512,limited_multilayer_evidence,0.1303176474367501,0.0096749932044134,0.9,0.0093184725356807,0,0,53.9529339343512,90.0,0.1303176474367501,moderate_evidence,P3
8,theta_beta_ratio,0.5343625951990492,limited_multilayer_evidence,0.1075474890702915,0.0093654184539337,0.9,0.0286110393166138,0,0,53.436259519904915,90.0,0.1075474890702915,moderate_evidence,P3
9,beta_abs,0.5313653989693492,limited_multilayer_evidence,0.0978581244466391,0.0108452052113663,1.0,0.0062636898497392,0,0,53.13653989693492,100.0,0.0978581244466391,moderate_evidence,P3
10,theta_rel,0.5168148596334524,limited_multilayer_evidence,0.1940892963849802,0.0039801707477693,0.6,0.0361272579379953,0,0,51.68148596334524,60.0,0.1940892963849802,moderate_evidence,P3
11,alpha_beta_parietal_ratio,0.5123206904790842,limited_multilayer_evidence,0.1202418218023179,0.007165682023854,1.0,0.0141164774111037,0,0,51.232069047908425,100.0,0.1202418218023179,moderate_evidence,P3
12,theta_central,0.4916939532588629,limited_multilayer_evidence,0.1528240647860177,0.0017810108350266,0.8,0.0544806045663002,0,0,49.16939532588629,80.0,0.1528240647860177,weak_evidence,P4
13,alpha_abs,0.486209331325063,limited_multilayer_evidence,0.1011715846421198,0.0080991555730645,1.0,-0.0001239558170624,0,0,48.6209331325063,100.0,0.1011715846421198,weak_evidence,P4
14,alpha_temporal,0.4828942251903095,limited_multilayer_evidence,0.100171074318177,0.006030502285252,1.0,0.0217727527578946,0,0,48.28942251903095,100.0,0.100171074318177,weak_evidence,P4
15,gamma_temporal,0.4807225511381773,limited_multilayer_evidence,0.2249658894032735,0.0034077225873289,0.9,-0.0466593664672606,0,0,48.07225511381773,90.0,0.2249658894032735,weak_evidence,P4
16,alpha_central,0.4675582677241904,limited_multilayer_evidence,0.1548613622822838,0.0035680824954707,0.8,0.0137260488261305,0,0,46.75582677241904,80.0,0.1548613622822838,weak_evidence,P4
17,alpha_beta_ratio,0.4652910241224007,limited_multilayer_evidence,0.1115741527988019,0.0050884073262485,0.9,0.0206171294025949,0,0,46.52910241224007,90.0,0.1115741527988019,weak_evidence,P4
