subject,run,min_feature,max_feature,count_feature,min_behavior,max_behavior,count_behavior,feature_run_present,behavior_run_present,coverage_status
sub-001,1,0.0,257.0,258.0,,,,True,False,FEATURE_ONLY
sub-001,2,0.0,296.0,297.0,,,,True,False,FEATURE_ONLY
sub-001,run-01,,,,1.0,12.0,12.0,False,True,BEHAVIOR_ONLY
sub-001,run-02,,,,1.0,17.0,17.0,False,True,BEHAVIOR_ONLY
sub-002,1,0.0,294.0,295.0,,,,True,False,FEATURE_ONLY
sub-002,2,0.0,320.0,321.0,,,,True,False,FEATURE_ONLY
sub-002,3,0.0,289.0,290.0,,,,True,False,FEATURE_ONLY
sub-002,4,0.0,286.0,287.0,,,,True,False,FEATURE_ONLY
sub-002,run-01,,,,1.0,16.0,16.0,False,True,BEHAVIOR_ONLY
sub-002,run-02,,,,1.0,20.0,20.0,False,True,BEHAVIOR_ONLY
sub-002,run-03,,,,1.0,20.0,20.0,False,True,BEHAVIOR_ONLY
sub-002,run-04,,,,1.0,20.0,20.0,False,True,BEHAVIOR_ONLY
sub-003,1,0.0,277.0,278.0,,,,True,False,FEATURE_ONLY
sub-003,2,0.0,285.0,286.0,,,,True,False,FEATURE_ONLY
sub-003,3,0.0,320.0,321.0,,,,True,False,FEATURE_ONLY
sub-003,4,0.0,301.0,302.0,,,,True,False,FEATURE_ONLY
sub-003,run-01,,,,1.0,22.0,22.0,False,True,BEHAVIOR_ONLY
sub-003,run-02,,,,1.0,19.0,19.0,False,True,BEHAVIOR_ONLY
sub-003,run-03,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-003,run-04,,,,1.0,20.0,20.0,False,True,BEHAVIOR_ONLY
sub-004,1,0.0,118.0,119.0,,,,True,False,FEATURE_ONLY
sub-004,3,0.0,322.0,323.0,,,,True,False,FEATURE_ONLY
sub-004,4,0.0,337.0,338.0,,,,True,False,FEATURE_ONLY
sub-004,run-01,,,,1.0,9.0,9.0,False,True,BEHAVIOR_ONLY
sub-004,run-03,,,,1.0,23.0,23.0,False,True,BEHAVIOR_ONLY
sub-004,run-04,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-005,1,0.0,322.0,323.0,,,,True,False,FEATURE_ONLY
sub-005,2,0.0,322.0,323.0,,,,True,False,FEATURE_ONLY
sub-005,3,0.0,324.0,325.0,,,,True,False,FEATURE_ONLY
sub-005,4,0.0,324.0,325.0,,,,True,False,FEATURE_ONLY
sub-005,run-01,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-005,run-02,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-005,run-03,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-005,run-04,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-006,1,0.0,97.0,98.0,,,,True,False,FEATURE_ONLY
sub-006,2,0.0,55.0,56.0,,,,True,False,FEATURE_ONLY
sub-006,3,0.0,52.0,53.0,,,,True,False,FEATURE_ONLY
sub-006,4,0.0,32.0,33.0,,,,True,False,FEATURE_ONLY
sub-006,run-02,,,,1.0,2.0,2.0,False,True,BEHAVIOR_ONLY
sub-007,1,0.0,193.0,194.0,,,,True,False,FEATURE_ONLY
sub-007,2,0.0,236.0,237.0,,,,True,False,FEATURE_ONLY
sub-007,3,0.0,259.0,260.0,,,,True,False,FEATURE_ONLY
sub-007,4,0.0,259.0,260.0,,,,True,False,FEATURE_ONLY
sub-007,run-01,,,,1.0,2.0,2.0,False,True,BEHAVIOR_ONLY
sub-007,run-02,,,,1.0,7.0,7.0,False,True,BEHAVIOR_ONLY
sub-007,run-03,,,,1.0,6.0,6.0,False,True,BEHAVIOR_ONLY
sub-007,run-04,,,,1.0,10.0,10.0,False,True,BEHAVIOR_ONLY
sub-008,1,0.0,187.0,188.0,,,,True,False,FEATURE_ONLY
sub-008,2,0.0,248.0,249.0,,,,True,False,FEATURE_ONLY
sub-008,3,0.0,326.0,327.0,,,,True,False,FEATURE_ONLY
sub-008,4,0.0,318.0,319.0,,,,True,False,FEATURE_ONLY
sub-008,run-01,,,,2.0,14.0,13.0,False,True,BEHAVIOR_ONLY
sub-008,run-02,,,,1.0,17.0,17.0,False,True,BEHAVIOR_ONLY
sub-008,run-03,,,,1.0,21.0,21.0,False,True,BEHAVIOR_ONLY
sub-008,run-04,,,,1.0,23.0,23.0,False,True,BEHAVIOR_ONLY
sub-009,1,0.0,335.0,336.0,,,,True,False,FEATURE_ONLY
sub-009,2,0.0,327.0,328.0,,,,True,False,FEATURE_ONLY
sub-009,3,0.0,320.0,321.0,,,,True,False,FEATURE_ONLY
sub-009,4,0.0,350.0,351.0,,,,True,False,FEATURE_ONLY
sub-009,run-01,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-009,run-02,,,,1.0,22.0,22.0,False,True,BEHAVIOR_ONLY
sub-009,run-03,,,,1.0,21.0,21.0,False,True,BEHAVIOR_ONLY
sub-009,run-04,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-010,1,0.0,287.0,288.0,,,,True,False,FEATURE_ONLY
sub-010,2,0.0,248.0,249.0,,,,True,False,FEATURE_ONLY
sub-010,3,0.0,233.0,234.0,,,,True,False,FEATURE_ONLY
sub-010,4,0.0,224.0,225.0,,,,True,False,FEATURE_ONLY
sub-010,run-01,,,,1.0,14.0,14.0,False,True,BEHAVIOR_ONLY
sub-010,run-02,,,,1.0,8.0,8.0,False,True,BEHAVIOR_ONLY
sub-010,run-03,,,,1.0,7.0,7.0,False,True,BEHAVIOR_ONLY
sub-010,run-04,,,,1.0,5.0,5.0,False,True,BEHAVIOR_ONLY
sub-011,1,0.0,349.0,350.0,,,,True,False,FEATURE_ONLY
sub-011,2,0.0,348.0,349.0,,,,True,False,FEATURE_ONLY
sub-011,3,0.0,349.0,350.0,,,,True,False,FEATURE_ONLY
sub-011,4,0.0,347.0,348.0,,,,True,False,FEATURE_ONLY
sub-011,run-01,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-011,run-02,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-011,run-03,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-011,run-04,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-012,1,0.0,193.0,194.0,,,,True,False,FEATURE_ONLY
sub-012,2,0.0,159.0,160.0,,,,True,False,FEATURE_ONLY
sub-012,3,0.0,173.0,174.0,,,,True,False,FEATURE_ONLY
sub-012,run-01,,,,1.0,4.0,4.0,False,True,BEHAVIOR_ONLY
sub-012,run-02,,,,1.0,2.0,2.0,False,True,BEHAVIOR_ONLY
sub-012,run-03,,,,1.0,4.0,4.0,False,True,BEHAVIOR_ONLY
sub-014,1,0.0,330.0,331.0,,,,True,False,FEATURE_ONLY
sub-014,2,0.0,327.0,328.0,,,,True,False,FEATURE_ONLY
sub-014,3,0.0,331.0,332.0,,,,True,False,FEATURE_ONLY
sub-014,run-01,,,,1.0,21.0,20.0,False,True,BEHAVIOR_ONLY
sub-014,run-02,,,,1.0,21.0,19.0,False,True,BEHAVIOR_ONLY
sub-014,run-03,,,,1.0,23.0,22.0,False,True,BEHAVIOR_ONLY
sub-015,1,0.0,133.0,134.0,,,,True,False,FEATURE_ONLY
sub-015,2,0.0,142.0,143.0,,,,True,False,FEATURE_ONLY
sub-015,3,0.0,98.0,99.0,,,,True,False,FEATURE_ONLY
sub-015,run-01,,,,1.0,3.0,3.0,False,True,BEHAVIOR_ONLY
sub-015,run-02,,,,1.0,2.0,2.0,False,True,BEHAVIOR_ONLY
sub-015,run-03,,,,1.0,3.0,3.0,False,True,BEHAVIOR_ONLY
sub-016,1,0.0,182.0,183.0,,,,True,False,FEATURE_ONLY
sub-016,2,0.0,158.0,159.0,,,,True,False,FEATURE_ONLY
sub-016,3,0.0,164.0,165.0,,,,True,False,FEATURE_ONLY
sub-016,run-01,,,,1.0,3.0,3.0,False,True,BEHAVIOR_ONLY
sub-016,run-02,,,,1.0,4.0,4.0,False,True,BEHAVIOR_ONLY
sub-016,run-03,,,,1.0,4.0,4.0,False,True,BEHAVIOR_ONLY
sub-017,1,0.0,120.0,121.0,,,,True,False,FEATURE_ONLY
sub-017,2,0.0,183.0,184.0,,,,True,False,FEATURE_ONLY
sub-017,3,0.0,192.0,193.0,,,,True,False,FEATURE_ONLY
sub-017,run-01,,,,1.0,7.0,7.0,False,True,BEHAVIOR_ONLY
sub-017,run-02,,,,1.0,12.0,12.0,False,True,BEHAVIOR_ONLY
sub-017,run-03,,,,1.0,11.0,9.0,False,True,BEHAVIOR_ONLY
sub-018,1,0.0,282.0,283.0,,,,True,False,FEATURE_ONLY
sub-018,2,0.0,346.0,347.0,,,,True,False,FEATURE_ONLY
sub-018,3,0.0,345.0,346.0,,,,True,False,FEATURE_ONLY
sub-018,run-01,,,,1.0,18.0,18.0,False,True,BEHAVIOR_ONLY
sub-018,run-02,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-018,run-03,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-019,1,0.0,347.0,348.0,,,,True,False,FEATURE_ONLY
sub-019,2,0.0,340.0,341.0,,,,True,False,FEATURE_ONLY
sub-019,3,0.0,336.0,337.0,,,,True,False,FEATURE_ONLY
sub-019,run-01,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-019,run-02,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-019,run-03,,,,1.0,22.0,22.0,False,True,BEHAVIOR_ONLY
sub-020,1,0.0,339.0,340.0,,,,True,False,FEATURE_ONLY
sub-020,2,0.0,306.0,307.0,,,,True,False,FEATURE_ONLY
sub-020,3,0.0,333.0,334.0,,,,True,False,FEATURE_ONLY
sub-020,run-01,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-020,run-02,,,,1.0,22.0,22.0,False,True,BEHAVIOR_ONLY
sub-020,run-03,,,,1.0,24.0,24.0,False,True,BEHAVIOR_ONLY
sub-021,1,0.0,327.0,328.0,,,,True,False,FEATURE_ONLY
sub-021,2,0.0,332.0,333.0,,,,True,False,FEATURE_ONLY
sub-021,3,0.0,297.0,298.0,,,,True,False,FEATURE_ONLY
sub-021,run-01,,,,1.0,21.0,21.0,False,True,BEHAVIOR_ONLY
sub-021,run-02,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
sub-021,run-03,,,,1.0,23.0,23.0,False,True,BEHAVIOR_ONLY
sub-022,1,0.0,306.0,307.0,,,,True,False,FEATURE_ONLY
sub-022,2,0.0,194.0,195.0,,,,True,False,FEATURE_ONLY
sub-022,3,0.0,349.0,350.0,,,,True,False,FEATURE_ONLY
sub-022,4,0.0,349.0,350.0,,,,True,False,FEATURE_ONLY
sub-022,5,0.0,349.0,350.0,,,,True,False,FEATURE_ONLY
sub-022,6,0.0,339.0,340.0,,,,True,False,FEATURE_ONLY
sub-022,run-01,,,,1.0,21.0,21.0,False,True,BEHAVIOR_ONLY
sub-022,run-02,,,,1.0,13.0,13.0,False,True,BEHAVIOR_ONLY
sub-022,run-03,,,,1.0,25.0,25.0,False,True,BEHAVIOR_ONLY
