subject,file,n_channels,n_samples,sampling_rate,duration_seconds,n_bad_channels,bad_channel_indices
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,71,163238,250.0,652.952,0,[]
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,71,153762,250.0,615.048,0,[]
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,71,181121,250.0,724.484,0,[]
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,71,190745,250.0,762.98,0,[]
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,71,191226,250.0,764.904,0,[]
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,71,181354,250.0,725.416,0,[]
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,71,181791,250.0,727.164,0,[]
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,71,195999,250.0,783.996,0,[]
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,71,196085,250.0,784.34,0,[]
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,71,168221,250.0,672.884,0,[]
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,71,168263,250.0,673.052,0,[]
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,71,184071,250.0,736.284,0,[]
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,71,158672,250.0,634.688,1,[71]
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,71,165216,250.0,660.864,1,[71]
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,71,149831,250.0,599.324,0,[]
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,71,153479,250.0,613.916,0,[]
sub-005,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,71,154782,250.0,619.128,0,[]
sub-005,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,71,152042,250.0,608.168,0,[]
sub-006,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,71,174047,250.0,696.188,1,[70]
sub-006,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,71,143883,250.0,575.532,1,[70]
sub-006,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,71,139419,250.0,557.676,1,[70]
sub-006,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,71,140169,250.0,560.676,1,[70]
sub-007,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,71,150987,250.0,603.948,0,[]
sub-007,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,71,139325,250.0,557.3,0,[]
sub-007,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,71,145492,250.0,581.968,0,[]
sub-007,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,71,150365,250.0,601.46,0,[]
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,71,153584,250.0,614.336,1,[70]
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,71,218911,250.0,875.644,0,[]
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,71,189474,250.0,757.896,0,[]
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,71,329898,250.0,1319.592,0,[]
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,71,153971,250.0,615.884,0,[]
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,71,157195,250.0,628.78,0,[]
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,71,156203,250.0,624.812,1,[71]
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,71,159257,250.0,637.028,0,[]
sub-010,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,71,154877,250.0,619.508,0,[]
sub-010,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,71,148326,250.0,593.304,0,[]
sub-010,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,71,148571,250.0,594.284,0,[]
sub-010,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,71,147960,250.0,591.84,0,[]
sub-011,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,71,187847,250.0,751.388,0,[]
sub-011,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,71,191647,250.0,766.588,0,[]
sub-011,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,71,212631,250.0,850.524,0,[]
sub-011,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,71,203451,250.0,813.804,0,[]
sub-012,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,71,136499,250.0,545.996,0,[]
sub-012,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,71,140935,250.0,563.74,0,[]
sub-012,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,71,139549,250.0,558.196,0,[]
sub-014,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,71,588801,1000.0,588.801,0,[]
sub-014,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,71,606465,1000.0,606.465,0,[]
sub-014,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,71,595967,1000.0,595.967,0,[]
sub-015,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,71,299520,500.0,599.04,1,[70]
sub-015,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,71,281601,500.0,563.202,0,[]
sub-015,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,71,277759,500.0,555.518,0,[]
sub-016,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,71,388097,500.0,776.194,0,[]
sub-016,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,71,345857,500.0,691.714,0,[]
sub-016,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,71,283391,500.0,566.782,0,[]
sub-017,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,71,278273,500.0,556.546,0,[]
sub-017,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,71,277505,500.0,555.01,0,[]
sub-017,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,71,257791,500.0,515.582,0,[]
sub-018,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,71,308992,500.0,617.984,1,[64]
sub-018,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,71,297472,500.0,594.944,0,[]
sub-018,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,71,292607,500.0,585.214,0,[]
sub-019,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,71,319489,500.0,638.978,0,[]
sub-019,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,71,313856,500.0,627.712,0,[]
sub-019,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,71,327679,500.0,655.358,0,[]
sub-020,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,71,299777,500.0,599.554,0,[]
sub-020,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,71,308481,500.0,616.962,0,[]
sub-020,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,71,292607,500.0,585.214,0,[]
sub-021,sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,71,357121,500.0,714.242,0,[]
sub-021,sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,71,395521,500.0,791.042,0,[]
sub-021,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,71,340479,500.0,680.958,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,71,289025,500.0586756077117,577.982173089495,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,71,242688,500.0586756077117,485.3190472199406,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,71,386818,500.0586756077117,773.5452235278341,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,71,345856,500.0586756077117,691.6308362807382,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,71,348161,500.0586756077117,696.2402953551134,0,[]
sub-022,sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,71,404225,500.0586756077117,808.3551385419984,0,[]
sub-023,sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,71,360961,500.0586756077117,721.8372915165027,0,[]
sub-023,sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,71,354305,500.0586756077117,708.5268535125803,0,[]
sub-023,sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,71,356864,500.0586756077117,713.644252979533,0,[]
sub-023,sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,71,339201,500.0586756077117,678.3223980421409,0,[]
sub-023,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,71,309505,500.0586756077117,618.9373669477178,0,[]
sub-024,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,71,284929,500.0,569.858,0,[]
sub-024,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,71,281601,500.0,563.202,0,[]
sub-024,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,71,283391,500.0,566.782,1,[71]
