subject,run,task_role,count
sub-001,1,feedback_correct,4
sub-001,1,fixate,12
sub-001,1,ignored_correct,5
sub-001,1,indicate_ready,13
sub-001,1,probe_not_shown,6
sub-001,1,probe_target,9
sub-001,1,remembered_correct,3
sub-001,1,to_ignore,70
sub-001,1,to_remember,115
sub-001,1,work_memory,21
sub-002,1,feedback_correct,13
sub-002,1,fixate,16
sub-002,1,ignored_correct,7
sub-002,1,indicate_ready,16
sub-002,1,probe_not_shown,9
sub-002,1,probe_target,14
sub-002,1,remembered_correct,13
sub-002,1,to_ignore,69
sub-002,1,to_remember,118
sub-002,1,work_memory,20
sub-002,2,feedback_correct,16
sub-002,2,fixate,20
sub-002,2,ignored_correct,11
sub-002,2,indicate_ready,20
sub-002,2,probe_not_shown,10
sub-002,2,probe_target,14
sub-002,2,remembered_correct,12
sub-002,2,to_ignore,74
sub-002,2,to_remember,121
sub-002,2,work_memory,23
sub-002,3,feedback_correct,7
sub-002,3,fixate,20
sub-002,3,ignored_correct,8
sub-002,3,indicate_ready,20
sub-002,3,probe_not_shown,7
sub-002,3,probe_target,14
sub-002,3,remembered_correct,10
sub-002,3,to_ignore,67
sub-002,3,to_remember,117
sub-002,3,work_memory,20
sub-002,4,feedback_correct,1
sub-002,4,fixate,20
sub-002,4,ignored_correct,8
sub-002,4,indicate_ready,20
sub-002,4,probe_not_shown,14
sub-002,4,probe_target,9
sub-002,4,remembered_correct,1
sub-002,4,to_ignore,71
sub-002,4,to_remember,119
sub-002,4,work_memory,24
sub-003,1,feedback_correct,15
sub-003,1,fixate,22
sub-003,1,ignored_correct,9
sub-003,1,indicate_ready,22
sub-003,1,probe_not_shown,9
sub-003,1,probe_target,14
sub-003,1,remembered_correct,10
sub-003,1,to_ignore,57
sub-003,1,to_remember,101
sub-003,1,work_memory,19
sub-003,2,feedback_correct,20
sub-003,2,fixate,19
sub-003,2,ignored_correct,10
sub-003,2,indicate_ready,20
sub-003,2,probe_not_shown,9
sub-003,2,probe_target,11
sub-003,2,remembered_correct,13
sub-003,2,to_ignore,64
sub-003,2,to_remember,105
sub-003,2,work_memory,15
sub-003,3,feedback_correct,24
sub-003,3,fixate,24
sub-003,3,ignored_correct,10
sub-003,3,indicate_ready,24
sub-003,3,probe_not_shown,10
sub-003,3,probe_target,13
sub-003,3,remembered_correct,11
sub-003,3,to_ignore,70
sub-003,3,to_remember,117
sub-003,3,work_memory,18
sub-003,4,feedback_correct,18
sub-003,4,feedback_incorrect,1
sub-003,4,fixate,20
sub-003,4,ignored_correct,12
sub-003,4,ignored_incorrect,1
sub-003,4,indicate_ready,19
sub-003,4,probe_not_shown,15
sub-003,4,probe_target,10
sub-003,4,remembered_correct,8
sub-003,4,to_ignore,64
sub-003,4,to_remember,111
sub-003,4,work_memory,23
sub-004,1,feedback_correct,1
sub-004,1,fixate,9
sub-004,1,ignored_correct,1
sub-004,1,indicate_ready,10
sub-004,1,probe_not_shown,3
sub-004,1,probe_target,2
sub-004,1,to_ignore,27
sub-004,1,to_remember,62
sub-004,1,work_memory,4
sub-004,3,feedback_correct,18
sub-004,3,feedback_incorrect,1
sub-004,3,fixate,23
sub-004,3,ignored_correct,7
sub-004,3,ignored_incorrect,1
sub-004,3,indicate_ready,24
sub-004,3,probe_not_shown,9
sub-004,3,probe_target,13
sub-004,3,remembered_correct,12
sub-004,3,to_ignore,70
sub-004,3,to_remember,121
sub-004,3,work_memory,24
sub-004,4,feedback_correct,21
sub-004,4,feedback_incorrect,1
sub-004,4,fixate,25
sub-004,4,ignored_correct,12
sub-004,4,ignored_incorrect,1
sub-004,4,indicate_ready,25
sub-004,4,probe_not_shown,14
sub-004,4,probe_target,10
sub-004,4,remembered_correct,10
sub-004,4,remembered_incorrect,1
sub-004,4,to_ignore,72
sub-004,4,to_remember,124
sub-004,4,work_memory,22
sub-005,1,fixate,24
sub-005,1,ignored_correct,10
sub-005,1,indicate_ready,24
sub-005,1,probe_not_shown,10
sub-005,1,probe_target,15
sub-005,1,remembered_correct,15
sub-005,1,to_ignore,75
sub-005,1,to_remember,125
sub-005,1,work_memory,25
sub-005,2,fixate,25
sub-005,2,ignored_correct,9
sub-005,2,indicate_ready,25
sub-005,2,probe_not_shown,11
sub-005,2,probe_target,14
sub-005,2,remembered_correct,13
sub-005,2,remembered_incorrect,1
sub-005,2,to_ignore,77
sub-005,2,to_remember,123
sub-005,2,work_memory,25
sub-005,3,fixate,25
sub-005,3,ignored_correct,9
sub-005,3,ignored_incorrect,1
sub-005,3,indicate_ready,25
sub-005,3,probe_not_shown,10
sub-005,3,probe_target,15
sub-005,3,remembered_correct,14
sub-005,3,remembered_incorrect,1
sub-005,3,to_ignore,73
sub-005,3,to_remember,127
sub-005,3,work_memory,25
sub-005,4,fixate,25
sub-005,4,ignored_correct,14
sub-005,4,indicate_ready,25
sub-005,4,probe_not_shown,15
sub-005,4,probe_target,10
sub-005,4,remembered_correct,10
sub-005,4,remembered_incorrect,1
sub-005,4,to_ignore,75
sub-005,4,to_remember,125
sub-005,4,work_memory,25
sub-006,1,bad_trial,2
sub-006,1,feedback_correct,1
sub-006,1,fixate,1
sub-006,1,ignored_correct,1
sub-006,1,indicate_ready,1
sub-006,1,probe_not_shown,3
sub-006,1,probe_target,9
sub-006,1,remembered_correct,3
sub-006,1,to_ignore,23
sub-006,1,to_remember,52
sub-006,1,work_memory,2
sub-006,2,fixate,2
sub-006,2,ignored_correct,1
sub-006,2,indicate_ready,2
sub-006,2,probe_not_shown,3
sub-006,2,probe_target,5
sub-006,2,remembered_correct,4
sub-006,2,to_ignore,10
sub-006,2,to_remember,29
sub-006,3,feedback_correct,1
sub-006,3,feedback_incorrect,1
sub-006,3,ignored_correct,3
sub-006,3,probe_not_shown,3
sub-006,3,probe_target,5
sub-006,3,remembered_correct,5
sub-006,3,to_ignore,1
sub-006,3,to_remember,34
sub-006,4,feedback_correct,1
sub-006,4,ignored_correct,4
sub-006,4,indicate_ready,1
sub-006,4,probe_not_shown,6
sub-006,4,probe_target,3
sub-006,4,to_ignore,2
sub-006,4,to_remember,16
sub-007,1,feedback_correct,3
sub-007,1,fixate,2
sub-007,1,ignored_correct,6
sub-007,1,indicate_ready,3
sub-007,1,probe_not_shown,9
sub-007,1,probe_target,8
sub-007,1,remembered_correct,4
sub-007,1,to_ignore,46
sub-007,1,to_remember,91
sub-007,1,work_memory,22
sub-007,2,feedback_correct,2
sub-007,2,fixate,7
sub-007,2,ignored_correct,2
sub-007,2,indicate_ready,6
sub-007,2,probe_not_shown,10
sub-007,2,probe_target,12
sub-007,2,remembered_correct,3
sub-007,2,to_ignore,65
sub-007,2,to_remember,106
sub-007,2,work_memory,24
sub-007,3,feedback_correct,2
sub-007,3,fixate,6
sub-007,3,ignored_correct,5
sub-007,3,ignored_incorrect,1
sub-007,3,indicate_ready,6
sub-007,3,probe_not_shown,10
sub-007,3,probe_target,15
sub-007,3,remembered_correct,5
sub-007,3,to_ignore,67
sub-007,3,to_remember,120
sub-007,3,work_memory,23
sub-007,4,feedback_correct,2
sub-007,4,fixate,10
sub-007,4,ignored_correct,4
sub-007,4,indicate_ready,5
sub-007,4,probe_not_shown,15
sub-007,4,probe_target,10
sub-007,4,remembered_correct,3
sub-007,4,to_ignore,70
sub-007,4,to_remember,116
sub-007,4,work_memory,25
sub-008,1,bad_trial,2
sub-008,1,feedback_correct,16
sub-008,1,fixate,13
sub-008,1,ignored_correct,4
sub-008,1,indicate_ready,13
sub-008,1,probe_not_shown,6
sub-008,1,probe_target,7
sub-008,1,remembered_correct,7
sub-008,1,remembered_incorrect,2
sub-008,1,to_ignore,42
sub-008,1,to_remember,63
sub-008,1,work_memory,13
sub-008,2,feedback_correct,16
sub-008,2,feedback_incorrect,2
sub-008,2,fixate,17
sub-008,2,ignored_correct,5
sub-008,2,ignored_incorrect,1
sub-008,2,indicate_ready,19
sub-008,2,probe_not_shown,8
sub-008,2,probe_target,11
sub-008,2,remembered_correct,9
sub-008,2,to_ignore,53
sub-008,2,to_remember,88
sub-008,2,work_memory,20
sub-008,3,feedback_correct,19
sub-008,3,feedback_incorrect,2
sub-008,3,fixate,21
