subject,run,v5_file,events_file,status,epochs,bids_events,matched,unmatched,remember,ignore,probe_target,probe_not_shown,work_memory,structure_ok
sub-001,1,sub-001_run-01_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_events.tsv,PASS,258.0,350.0,258.0,0.0,115.0,70.0,9.0,6.0,21.0,True
sub-001,2,sub-001_run-02_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_events.tsv,MISSING_EVENTS_FILE,,,,,,,,,,
sub-002,1,sub-002_run-01_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_events.tsv,PASS,295.0,350.0,295.0,0.0,118.0,69.0,14.0,9.0,20.0,True
sub-002,2,sub-002_run-02_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_events.tsv,PASS,321.0,350.0,321.0,0.0,121.0,74.0,14.0,10.0,23.0,True
sub-002,3,sub-002_run-03_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_events.tsv,PASS,290.0,350.0,290.0,0.0,117.0,67.0,14.0,7.0,20.0,True
sub-002,4,sub-002_run-04_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_events.tsv,PASS,287.0,350.0,287.0,0.0,119.0,71.0,9.0,14.0,24.0,True
sub-003,1,sub-003_run-01_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_events.tsv,PASS,278.0,350.0,278.0,0.0,101.0,57.0,14.0,9.0,19.0,True
sub-003,2,sub-003_run-02_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_events.tsv,PASS,286.0,350.0,286.0,0.0,105.0,64.0,11.0,9.0,15.0,True
sub-003,3,sub-003_run-03_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_events.tsv,PASS,321.0,351.0,321.0,0.0,117.0,70.0,13.0,10.0,18.0,True
sub-003,4,sub-003_run-04_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_events.tsv,PASS,302.0,350.0,302.0,0.0,111.0,64.0,10.0,15.0,23.0,True
sub-004,1,sub-004_run-01_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_events.tsv,PASS,119.0,350.0,119.0,0.0,62.0,27.0,2.0,3.0,4.0,True
sub-004,3,sub-004_run-03_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_events.tsv,PASS,323.0,350.0,323.0,0.0,121.0,70.0,13.0,9.0,24.0,True
sub-004,4,sub-004_run-04_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_events.tsv,PASS,338.0,352.0,338.0,0.0,124.0,72.0,10.0,14.0,22.0,True
sub-005,1,sub-005_run-01_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_events.tsv,PASS,323.0,325.0,323.0,0.0,125.0,75.0,15.0,10.0,25.0,True
sub-005,2,sub-005_run-02_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_events.tsv,PASS,323.0,325.0,323.0,0.0,123.0,77.0,14.0,11.0,25.0,True
sub-005,3,sub-005_run-03_harmonized_epo.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_events.tsv,PASS,325.0,325.0,325.0,0.0,127.0,73.0,15.0,10.0,25.0,True
