subject,session,run,file,events,status
sub-001,ses-01,run-1,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-001,ses-01,run-2,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-002,ses-01,run-1,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-002,ses-01,run-2,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-002,ses-01,run-3,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-002,ses-01,run-4,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-003,ses-01,run-1,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-003,ses-01,run-2,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-003,ses-01,run-3,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,351,OK
sub-003,ses-01,run-4,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-004,ses-01,run-1,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-004,ses-01,run-2,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,340,OK
sub-004,ses-01,run-3,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-004,ses-01,run-4,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,352,OK
sub-005,ses-01,run-1,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,325,OK
sub-005,ses-01,run-2,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,325,OK
sub-005,ses-01,run-3,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,325,OK
sub-005,ses-01,run-4,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,325,OK
sub-006,ses-01,run-1,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,310,OK
sub-006,ses-01,run-2,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-006,ses-01,run-3,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,349,OK
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-007,ses-01,run-1,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,349,OK
sub-007,ses-01,run-2,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,346,OK
sub-007,ses-01,run-3,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,348,OK
sub-007,ses-01,run-4,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,348,OK
sub-008,ses-01,run-1,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,340,OK
sub-008,ses-01,run-2,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-008,ses-01,run-3,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-008,ses-01,run-4,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-009,ses-01,run-1,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-009,ses-01,run-2,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-009,ses-01,run-3,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-009,ses-01,run-4,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,351,OK
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-010,ses-01,run-2,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-010,ses-01,run-3,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-010,ses-01,run-4,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-011,ses-01,run-1,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-011,ses-01,run-2,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-011,ses-01,run-3,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-011,ses-01,run-4,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-012,ses-01,run-2,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-012,ses-01,run-3,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-014,ses-01,run-1,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,340,OK
sub-014,ses-01,run-2,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,337,OK
sub-014,ses-01,run-3,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,340,OK
sub-015,ses-01,run-1,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-015,ses-01,run-2,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-015,ses-01,run-3,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,340,OK
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-016,ses-01,run-3,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-017,ses-01,run-2,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,330,OK
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-018,ses-01,run-2,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-018,ses-01,run-3,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-019,ses-01,run-1,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-019,ses-01,run-2,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-019,ses-01,run-3,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-020,ses-01,run-1,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-020,ses-01,run-2,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-021,ses-01,run-1,sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-021,ses-01,run-2,sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,351,OK
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-022,ses-01,run-1,sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,307,OK
sub-022,ses-01,run-2,sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,195,OK
sub-022,ses-01,run-3,sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-022,ses-01,run-4,sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-022,ses-01,run-5,sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,350,OK
sub-022,ses-01,run-6,sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,340,OK
sub-023,ses-01,run-1,sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,351,OK
sub-023,ses-01,run-2,sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-023,ses-01,run-3,sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
sub-023,ses-01,run-4,sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,350,OK
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,350,OK
sub-024,ses-01,run-1,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,350,OK
sub-024,ses-01,run-2,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,350,OK
sub-024,ses-01,run-3,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,350,OK
