subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,2508.7,4556.0,+,5,4556,fixate,1,show_cross,1.0,nonWM
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,7173.71413595,Z,5,7174,to_ignore,1,show_letter,2.0,gZ
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,7890.69604025,T,5,7891,to_remember,1,show_letter,3.0,T
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,8607.62793185,M,5,8608,to_remember,1,show_letter,4.0,M
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,9324.60983615,S,5,9325,to_remember,1,show_letter,5.0,S
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,10041.59174045,Y,5,10042,to_ignore,1,show_letter,6.0,gY
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,10758.52363205,V,5,10759,to_remember,1,show_letter,7.0,V
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,11475.50553635,N,5,11476,to_remember,1,show_letter,8.0,N
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,12192.437427949999,H,5,12192,to_ignore,1,show_letter,9.0,gH
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,1083.5,12909.41933225,-,5,12909,work_memory,1,show_dash,10.0,WM
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,450.05,14101.5717913,Q,5,14102,probe_not_shown,1,show_letter,11.0,rQ
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,14547.8850247,n/a,5,14548,ignored_correct,1,left_click,12.0,255
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,14748.0858173,n/a,5,14748,feedback_correct,1,sound_beep,13.0,correct
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,14956.5887162,n/a,5,14957,indicate_ready,1,left_click,14.0,255
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,2500.4,14960.2396425,+,7,14960,fixate,2,show_cross,15.0,nonWM
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,17569.701684800002,W,7,17570,to_remember,2,show_letter,16.0,W
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,18286.6335764,K,7,18287,to_remember,2,show_letter,17.0,K
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,19003.615480700002,M,7,19004,to_remember,2,show_letter,18.0,M
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,19720.5473723,C,7,19721,to_remember,2,show_letter,19.0,C
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,20437.529276600002,Q,7,20438,to_remember,2,show_letter,20.0,Q
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,21154.5111809,G,7,21155,to_ignore,2,show_letter,21.0,gG
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,21871.4430725,B,7,21871,to_remember,2,show_letter,22.0,B
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,22588.4249768,T,7,22588,to_remember,2,show_letter,23.0,T
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,1150.2,23305.3568684,-,7,23305,work_memory,2,show_dash,24.0,WM
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,24564.226254100002,B,7,24564,probe_target,2,show_letter,25.0,rB
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,25201.087831200002,n/a,7,25201,remembered_correct,2,right_click,26.0,1
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,25401.18859845,n/a,7,25401,feedback_correct,2,sound_beep,27.0,correct
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,27983.0936493,n/a,7,27983,indicate_ready,2,left_click,28.0,255
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,2508.75,27990.645565299998,+,5,27991,fixate,3,show_cross,29.0,nonWM
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,30608.4097139,B,5,30608,to_ignore,3,show_letter,30.0,gB
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,31325.34160555,H,5,31325,to_ignore,3,show_letter,31.0,gH
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,32042.3235098,D,5,32042,to_remember,3,show_letter,32.0,D
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,32759.255401450002,R,5,32759,to_remember,3,show_letter,33.0,R
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,33476.23730575,N,5,33476,to_remember,3,show_letter,34.0,N
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,34193.219209999996,Z,5,34193,to_remember,3,show_letter,35.0,Z
sub-017,ses-01,run-1,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,34910.15110164999,V,5,34910,to_remember,3,show_letter,36.0,V
