subject,run,file,channels_total,eeg_channels_x,srate,duration_seconds,median_eeg_std,bad_channels,review_channels,pass_channels,eeg_channels_checked,final_run_status
sub-001,1,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,652.952,34.71472546431209,1,4,64,69,CHANNEL_REVIEW
sub-001,2,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,615.048,28.17359300132172,0,0,69,69,PASS
sub-002,1,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,724.484,38.455538733324445,0,2,67,69,PASS
sub-002,2,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,762.98,46.81189954683269,1,1,67,69,CHANNEL_REVIEW
sub-002,3,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,764.904,51.43531358554616,1,2,66,69,CHANNEL_REVIEW
sub-002,4,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,725.416,45.40431795690771,1,4,64,69,CHANNEL_REVIEW
sub-003,1,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,727.164,33.73077911502889,0,3,66,69,PASS
sub-003,2,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,783.996,80.00845656330542,0,27,42,69,RUN_REVIEW
sub-003,3,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,784.34,66.05201036568073,0,0,69,69,PASS
sub-003,4,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,672.884,78.52047827173762,0,0,69,69,PASS
sub-004,1,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,673.052,212.19161027569828,5,64,0,69,RUN_REVIEW
sub-004,2,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,736.284,457.83567817405,69,0,0,69,RUN_REVIEW
sub-004,3,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,634.688,49.07680194682967,0,3,66,69,PASS
sub-004,4,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,660.864,131.3532957820403,0,69,0,69,RUN_REVIEW
sub-005,1,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,599.324,32.13455941554643,0,0,69,69,PASS
sub-005,2,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,613.916,19.7044360489602,0,5,64,69,PASS
sub-005,3,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,619.128,19.71512428591437,0,0,69,69,PASS
sub-005,4,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,608.168,16.798376383049987,0,2,67,69,PASS
sub-006,1,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,696.188,23.343754765157435,0,8,61,69,PASS
sub-006,2,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,575.532,24.21660907229083,0,9,60,69,PASS
sub-006,3,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,557.676,24.336406122854644,2,8,59,69,RUN_REVIEW
sub-006,4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,560.676,25.43344262203213,4,9,56,69,RUN_REVIEW
sub-007,1,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,603.948,26.33587798030309,0,5,64,69,PASS
sub-007,2,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,557.3,27.83679125898248,0,5,64,69,PASS
sub-007,3,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,581.968,32.53637075813936,0,4,65,69,PASS
sub-007,4,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,601.46,29.209188936277386,1,5,63,69,CHANNEL_REVIEW
sub-008,1,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,614.336,18.7501932487833,0,3,66,69,PASS
sub-008,2,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,875.644,34.7781724506089,0,0,69,69,PASS
