subject,session,run,file,path,sampling_rate,n_channels,n_eeg_channels,n_eog_channels,n_samples,duration_sec,median_channel_std,max_channel_std,median_channel_ptp,max_channel_ptp,min_value,max_value,channels_over_5x,channels_over_10x,flat_channels,sat_500_percent,sat_1000_percent,event_count,sampling_flag,amplitude_flag,channel_flag,event_flag,overall_status,error
sub-001,ses-01,run-1,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-001,ses-01,run-2,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-002,ses-01,run-1,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-002,ses-01,run-2,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-002,ses-01,run-3,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-002,ses-01,run-4,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-003,ses-01,run-1,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-003,ses-01,run-2,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-003,ses-01,run-3,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-003,ses-01,run-4,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-004,ses-01,run-1,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-004,ses-01,run-2,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-004,ses-01,run-3,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-004,ses-01,run-4,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-005,ses-01,run-1,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-005,ses-01,run-2,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-005,ses-01,run-3,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-005,ses-01,run-4,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-006,ses-01,run-1,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-006,ses-01,run-2,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-006,ses-01,run-3,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-007,ses-01,run-1,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-007,ses-01,run-2,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-007,ses-01,run-3,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-007,ses-01,run-4,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-008,ses-01,run-1,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-008,ses-01,run-2,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-008,ses-01,run-3,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-008,ses-01,run-4,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-009,ses-01,run-1,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-009,ses-01,run-2,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-009,ses-01,run-3,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-009,ses-01,run-4,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-010\ses-01\eeg\sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-010,ses-01,run-2,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-010\ses-01\eeg\sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-010,ses-01,run-3,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-010\ses-01\eeg\sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
sub-010,ses-01,run-4,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-010\ses-01\eeg\sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,,,,,,,,,,,,,0,0,0,,,0,,,,,ERROR,"Please use HDF reader for matlab v7.3 files, e.g. h5py"
