subject,run,trials,correct,wrong,unresolved,accuracy_percent,consistent,inconsistent,trials_needing_check,source_file
sub-001,1,25,24,1,0,96.0,11,0,25,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,2,25,23,2,0,92.0,11,0,24,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-002,1,25,25,0,0,100.0,10,0,25,sub-002_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-002,2,25,25,0,0,100.0,11,0,24,sub-002_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-002,3,25,25,0,0,100.0,10,0,22,sub-002_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-002,4,25,25,0,0,100.0,15,0,24,sub-002_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-003,1,25,25,0,0,100.0,10,0,25,sub-003_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-003,2,25,25,0,0,100.0,11,0,25,sub-003_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-003,3,26,26,0,0,100.0,10,0,26,sub-003_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-003,4,25,24,1,0,96.0,16,0,24,sub-003_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-004,1,25,24,1,0,96.0,11,0,25,sub-004_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-004,2,25,23,1,1,95.83333333333334,9,0,25,sub-004_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-004,3,25,23,2,0,92.0,12,0,25,sub-004_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-004,4,26,23,2,1,92.0,15,0,26,sub-004_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-005,1,25,10,0,15,100.0,0,0,25,sub-005_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-005,2,25,10,0,15,100.0,0,0,25,sub-005_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-005,3,25,9,1,15,90.0,0,0,25,sub-005_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-005,4,25,14,0,11,100.0,0,0,25,sub-005_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-006,1,25,18,3,4,85.71428571428571,10,0,25,sub-006_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-006,2,25,24,1,0,96.0,10,0,25,sub-006_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-006,3,25,23,1,1,95.83333333333334,11,0,25,sub-006_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-006,4,25,24,1,0,96.0,16,0,25,sub-006_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-007,1,25,24,0,1,100.0,10,0,15,sub-007_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-007,2,25,21,0,4,100.0,11,0,14,sub-007_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-007,3,25,22,1,2,95.65217391304348,11,0,14,sub-007_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-007,4,25,24,0,1,100.0,14,0,11,sub-007_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-008,1,25,24,0,1,100.0,10,0,25,sub-008_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-008,2,25,23,2,0,92.0,13,0,25,sub-008_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-008,3,25,23,2,0,92.0,12,0,25,sub-008_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-008,4,25,22,3,0,88.0,14,0,25,sub-008_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-009,1,25,23,2,0,92.0,12,0,15,sub-009_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-009,2,25,24,1,0,96.0,12,0,13,sub-009_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-009,3,25,25,0,0,100.0,10,0,15,sub-009_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-009,4,26,25,0,1,100.0,15,0,13,sub-009_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-010,1,25,24,1,0,96.0,11,0,25,sub-010_ses-01_task-WorkingMemory_run-1_eeg_events.csv
