subject,runs,trials,correct,wrong,unresolved,accuracy_percent,consistent,inconsistent,trials_needing_check,accuracy_zscore,behavioral_outlier_flag
sub-001,2,50,47,3,0,94.0,22,0,49,0.014205864046877776,False
sub-002,4,100,100,0,0,100.0,46,0,95,0.5296397280781664,False
sub-003,4,101,100,1,0,99.00990099009901,47,0,100,0.44458463500369655,False
sub-004,4,101,93,6,2,93.93939393939394,47,0,101,0.008999461379894914,False
sub-005,4,100,43,1,56,97.72727272727273,0,0,100,0.33439962806631524,False
sub-006,4,100,89,6,5,93.6842105263158,47,0,100,-0.012922234060031703,False
sub-007,4,100,91,1,8,98.91304347826086,46,0,54,0.43626402807249737,False
sub-008,4,100,92,7,1,92.92929292929293,49,0,100,-0.07777391640315033,False
sub-009,4,101,97,3,1,97.0,49,0,56,0.2719227960625221,False
sub-010,4,100,95,5,0,95.0,45,0,95,0.10011150805209255,False
sub-011,4,100,95,5,0,95.0,41,0,99,0.10011150805209255,False
sub-012,3,75,75,0,0,100.0,31,0,75,0.5296397280781664,False
sub-014,3,75,67,4,4,94.36619718309859,32,0,75,0.04566426889385787,False
sub-015,3,75,71,3,1,95.94594594594594,34,0,43,0.18137360373270034,False
sub-016,3,75,72,3,0,96.0,30,0,52,0.18601715205730732,False
sub-017,3,75,71,2,2,97.26027397260275,33,0,43,0.2942817992967567,False
sub-018,3,75,72,3,0,96.0,30,0,45,0.18601715205730732,False
sub-019,3,75,70,5,0,93.33333333333333,32,0,45,-0.04306456528993248,False
sub-020,3,75,73,2,0,97.33333333333334,31,0,45,0.30055801073092786,False
sub-021,3,76,75,1,0,98.68421052631578,30,0,48,0.4166059859660409,False
sub-022,6,136,126,7,3,94.73684210526315,65,0,111,0.07750475962966696,False
sub-023,5,126,120,5,1,96.0,55,0,126,0.18601715205730732,False
sub-024,3,75,31,44,0,41.333333333333336,75,0,0,-4.5101580535611,True
