subject,run,trial,memory_cond,probe_role,probe_letter,response_role,feedback_role,feedback_value,rt_ms,click_count,response_feedback_consistent,behavior,status,issues,source_file
sub-001,1,1,3,probe_target,C,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,2,7,probe_not_shown,B,ignored_correct,feedback_correct,correct,270.3760829750008,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,3,3,probe_target,B,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,4,7,probe_target,Z,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,5,7,probe_not_shown,L,ignored_correct,feedback_correct,correct,349.6014002999982,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,6,3,probe_not_shown,S,ignored_correct,feedback_correct,correct,285.65114415000426,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,7,3,probe_not_shown,L,ignored_correct,feedback_correct,correct,248.9009969500039,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,8,3,probe_target,V,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,9,3,probe_target,J,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,10,3,probe_target,V,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,11,5,probe_target,L,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,12,5,probe_target,G,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,13,5,probe_target,R,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,14,7,probe_not_shown,G,ignored_correct,feedback_correct,correct,303.72621654999966,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,15,3,probe_target,D,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,16,5,probe_not_shown,J,ignored_correct,feedback_correct,correct,367.15147060000163,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,17,5,probe_target,L,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,18,7,probe_target,B,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,19,5,probe_not_shown,T,ignored_correct,feedback_correct,correct,333.4013353999908,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,20,5,probe_target,J,ignored_incorrect,feedback_incorrect,wrong,278.40111510000133,1,True,wrong,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,21,5,probe_target,R,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,22,7,probe_not_shown,C,ignored_correct,feedback_correct,correct,265.42606312502176,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,23,7,probe_target,M,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,24,5,probe_not_shown,Q,ignored_correct,feedback_correct,correct,289.82616087500355,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,1,25,7,probe_not_shown,F,ignored_correct,feedback_correct,correct,277.3761110000196,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-001,2,1,7,probe_not_shown,Y,ignored_correct,feedback_correct,correct,179.1242142000001,2,True,correct,OK,,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,2,3,probe_target,P,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,3,5,probe_not_shown,J,ignored_correct,feedback_correct,correct,170.17425345000083,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,4,5,probe_target,P,ignored_incorrect,feedback_incorrect,wrong,203.2741082499997,1,True,wrong,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,5,5,probe_target,X,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,6,5,probe_not_shown,L,ignored_correct,feedback_correct,correct,206.79909277499974,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,7,7,probe_target,X,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,8,3,probe_not_shown,X,ignored_correct,feedback_correct,correct,258.87386434999644,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,9,3,probe_target,R,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,10,7,probe_target,S,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,11,3,probe_target,L,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,12,7,probe_not_shown,L,ignored_correct,feedback_correct,correct,375.7733515249856,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,13,7,probe_target,Z,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,14,3,probe_target,K,,feedback_correct,correct,,1,,correct,CHECK,missing_response;unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,15,5,probe_not_shown,Q,ignored_correct,feedback_correct,correct,195.24914344999706,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,16,5,probe_not_shown,Z,ignored_correct,feedback_correct,correct,242.67393539998739,1,True,correct,CHECK,unexpected_click_count_1,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-001,2,17,7,probe_target,G,,feedback_correct,correct,,0,,correct,CHECK,missing_response;unexpected_click_count_0,sub-001_ses-01_task-WorkingMemory_run-2_eeg_events.csv
