file,subject,sampling_rate,channels,samples,duration_sec,data_path,data_shape,data_dtype,data_min,data_max,data_std,status,event_fields,event_field_count,error
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.28518250602957,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,sub-001,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.250697893242755,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.250697893242755,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.216150651883726,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.18235317779255,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.149308378148362,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,sub-003,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.216962222838724,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,sub-003,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.18235317779255,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,sub-003,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.148494707420745,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,sub-003,250.0,1,47,0.188,/data,"(47, 1)",uint16,45.0,121.0,26.115389731072256,PARTIAL,"type,latency,sample,trial,letter,memory_cond,task_role,value,urevent",9,
