channel_index,channel,std,peak_to_peak,robust_z_std,is_flat,is_extreme,subject,file,sampling_rate
0,FP1,39.62003707885742,191.94140625,0.36471641063690186,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
1,FPZ,31.44171714782715,150.91575622558594,-0.48229891061782837,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
2,FP2,26.02333641052246,120.14653015136719,-1.0434718132019043,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
3,AF7,37.88759994506836,192.4298095703125,0.18529069423675537,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
4,AF3,29.90138816833496,146.03175354003906,-0.6418282985687256,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
5,AFZ,41.31483459472656,201.22100830078125,0.5402438044548035,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
6,AF4,31.621007919311523,152.38095092773438,-0.4637300670146942,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
7,AF8,27.34805679321289,127.9609375,-0.9062726497650146,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
8,F9,25.931367874145508,123.56532287597656,-1.0529968738555908,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
9,F7,27.31571388244629,130.40292358398438,-0.9096223711967468,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
10,F5,37.04417419433594,189.010986328125,0.09793845564126968,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
11,F3,28.72686004638672,135.2869415283203,-0.7634722590446472,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
12,F1,26.14712142944336,121.61172485351562,-1.030651569366455,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
13,FZ,34.04896545410156,173.87057495117188,-0.21227043867111206,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
14,F2,27.398393630981445,129.91453552246094,-0.9010593295097351,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
15,F4,35.1048698425293,170.4517822265625,-0.10291214287281036,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
16,F6,27.546796798706055,131.86813354492188,-0.8856894969940186,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
17,F8,27.397857666015625,129.24542236328125,-0.901114821434021,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
18,F10,47.93946838378906,272.3467712402344,1.2263463735580444,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
19,FT9,29.791793823242188,145.54335021972656,-0.6531787514686584,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
20,FT7,34.501747131347656,169.96337890625,-0.16537657380104065,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
21,FC5,44.27073287963867,240.78146362304688,0.846381425857544,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
22,FC3,25.994117736816406,124.05372619628906,-1.0464979410171509,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
23,FC1,107.44873046875,701.3431396484375,7.389623641967773,False,True,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
24,FCZ,73.06063842773438,418.0708312988281,3.8281049728393555,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
25,FC2,32.7137451171875,177.7777862548828,-0.3505570590496063,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
26,FC4,87.52045440673828,460.5616760253906,5.325685024261475,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
27,FC6,162.2525177001953,1047.619140625,13.065563201904297,False,True,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
28,FT8,56.215145111083984,351.64837646484375,2.083444833755493,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
29,FT10,46.10660934448242,278.3882751464844,1.0365201234817505,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
30,T7,81.1952896118164,489.3773193359375,4.670597553253174,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
31,C5,41.18584442138672,235.89744567871094,0.5268844962120056,False,False,sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0
