file,subject,run,channels_total,eeg_channels,eog_channels,sampling_rate,duration_seconds,events,nan_count,inf_count,median_eeg_std,max_eeg_std,high_variance_eeg,low_variance_eeg,status,error
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,1,71,69,2,250.0,652.952,350,0,0,34.714725494384766,177.9087677001953,0,0,PASS,
sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,sub-001,2,71,69,2,250.0,615.048,350,0,0,28.173593521118164,51.96192932128906,0,0,PASS,
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,1,71,69,2,250.0,724.484,350,0,0,38.455535888671875,107.20585632324219,0,0,PASS,
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,2,71,69,2,250.0,762.98,350,0,0,46.81189727783203,137.22760009765625,0,0,PASS,
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,3,71,69,2,250.0,764.904,350,0,0,51.4353141784668,132.52471923828125,0,0,PASS,
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,4,71,69,2,250.0,725.416,350,0,0,45.404319763183594,144.05877685546875,0,0,PASS,
sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,sub-003,1,71,69,2,250.0,727.164,350,0,0,33.73078155517578,86.53317260742188,0,0,PASS,
sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,sub-003,2,71,69,2,250.0,783.996,350,0,0,80.00846099853516,119.27203369140625,0,0,PASS,
sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,sub-003,3,71,69,2,250.0,784.34,351,0,0,66.05200958251953,94.92056274414062,0,0,PASS,
sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,sub-003,4,71,69,2,250.0,672.884,350,0,0,78.52047729492188,89.61923217773438,0,0,PASS,
sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,sub-004,1,71,69,2,250.0,673.052,350,0,0,212.1916046142578,229.592529296875,0,0,PASS,
sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,sub-004,2,71,69,2,250.0,736.284,340,0,0,457.835693359375,462.56329345703125,0,0,PASS,
sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,sub-004,3,71,69,2,250.0,634.688,350,0,0,49.07680130004883,116.19429779052734,0,0,PASS,
sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,sub-004,4,71,69,2,250.0,660.864,352,0,0,131.35328674316406,144.88824462890625,0,0,PASS,
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,1,71,69,2,250.0,599.324,325,0,0,32.134559631347656,48.662166595458984,0,0,PASS,
sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,sub-005,2,71,69,2,250.0,613.916,325,0,0,19.704435348510742,52.972782135009766,0,0,PASS,
sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,sub-005,3,71,69,2,250.0,619.128,325,0,0,19.715124130249023,37.516693115234375,0,0,PASS,
sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,sub-005,4,71,69,2,250.0,608.168,325,0,0,16.798376083374023,35.63003921508789,0,0,PASS,
sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,sub-006,1,71,69,2,250.0,696.188,310,0,0,23.343753814697266,97.38886260986328,0,0,PASS,
sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,sub-006,2,71,69,2,250.0,575.532,350,0,0,24.216609954833984,117.88906860351562,0,0,PASS,
sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,sub-006,3,71,69,2,250.0,557.676,349,0,0,24.336406707763672,129.04510498046875,0,0,PASS,
sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,sub-006,4,71,69,2,250.0,560.676,350,0,0,25.433443069458008,136.52157592773438,0,0,PASS,
