file,subject,session,task,run,set_path,fdt_path,set_exists,fdt_exists,fdt_size_ok,hdf5_ok,read_ok,status,fdt_size_bytes,expected_fdt_size_bytes,channels,samples,sampling_rate,trials,xmin,xmax,duration_seconds,events,channel_locations,nan_count,inf_count,mean_amplitude,std_amplitude,global_min,global_max,median_channel_std,max_channel_std,median_channel_ptp,max_channel_ptp,flat_channel_count,extreme_channel_count,low_variance_channel_count,high_variance_channel_count
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,46359592,46359592,71,163238,250.0,1,0.0,652.948,652.952,350,71,0,0,-20.204721450805664,50.63671112060547,-810.989013671875,1000.0001220703125,34.919246673583984,177.90359497070312,1242.979248046875,1810.9891357421875,0,0,0,0
sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,sub-001,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,43668408,43668408,71,153762,250.0,1,0.0,615.044,615.048,350,71,0,0,-19.31743621826172,34.30708694458008,-696.7033081054688,774.3590087890625,28.71965217590332,51.96163558959961,491.3309326171875,1447.130615234375,0,0,0,0
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,51438364,51438364,71,181121,250.0,1,0.0,724.48,724.484,350,71,0,0,-35.672889709472656,51.58069610595703,-782.6617431640625,991.2088623046875,38.65394973754883,125.65817260742188,776.068359375,1552.1368408203125,0,0,0,0
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,54171580,54171580,71,190745,250.0,1,0.0,762.976,762.98,350,71,0,0,-23.265779495239258,61.8422737121582,-819.7802734375,1000.0001220703125,47.02687072753906,137.2194366455078,939.1942138671875,1792.9183349609375,0,0,0,0
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,54308184,54308184,71,191226,250.0,1,0.0,764.9,764.904,350,71,0,0,-37.436458587646484,64.39605712890625,-1000.0,1000.0001220703125,51.47801971435547,140.52159118652344,1073.99267578125,2000.0001220703125,0,0,0,0
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,51504536,51504536,71,181354,250.0,1,0.0,725.412,725.416,350,71,0,0,-38.94762420654297,63.6292724609375,-899.3894653320312,1000.0001220703125,45.8934326171875,168.9024200439453,924.0537109375,1794.8719482421875,0,0,0,0
sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,sub-003,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,51628644,51628644,71,181791,250.0,1,0.0,727.16,727.164,350,71,0,0,-40.87100601196289,45.512939453125,-968.2539672851562,1000.0001220703125,33.83056640625,122.3709487915039,740.4151611328125,1553.1136474609375,0,0,0,0
sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,sub-003,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,55663716,55663716,71,195999,250.0,1,0.0,783.992,783.996,350,71,0,0,-41.906986236572266,84.80831146240234,-1000.0,578.5104370117188,80.00204467773438,145.18914794921875,791.697265625,1500.854736328125,0,0,0,0
sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,sub-003,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,55688140,55688140,71,196085,250.0,1,0.0,784.336,784.34,351,71,0,0,-50.109622955322266,70.58087921142578,-1000.0,659.5848999023438,66.07244873046875,128.09530639648438,1036.3858642578125,1430.5250244140625,0,0,0,0
sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,sub-003,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,47774764,47774764,71,168221,250.0,1,0.0,672.88,672.884,350,71,0,0,-41.93649673461914,81.34529113769531,-1000.0,496.9475402832031,78.5186538696289,144.6214599609375,1210.2564697265625,1469.59716796875,0,0,0,0
sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,sub-004,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,47786692,47786692,71,168263,250.0,1,0.0,673.048,673.052,350,71,0,0,-9.717220306396484,228.12820434570312,-1000.0,1000.0001220703125,212.18655395507812,681.9935913085938,2000.0001220703125,2000.0001220703125,0,0,0,0
sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,sub-004,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,52276164,52276164,71,184071,250.0,1,0.0,736.28,736.284,340,71,0,0,112.78250122070312,463.2611083984375,-1000.0,1000.0001220703125,457.9383239746094,743.6422729492188,2000.0001220703125,2000.0001220703125,0,0,0,0
sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,sub-004,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,REVIEW,45062848,45062848,71,158672,250.0,1,0.0,634.684,634.688,350,71,0,0,61.87380599975586,56.56907272338867,-1000.0,1000.0001220703125,49.07606887817383,116.19071960449219,2000.0001220703125,2000.0001220703125,0,0,1,0
sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,sub-004,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,REVIEW,46921344,46921344,71,165216,250.0,1,0.0,660.86,660.864,352,71,0,0,17.68653678894043,132.72303771972656,-1000.0,1000.0001220703125,131.35084533691406,166.17184448242188,2000.0001220703125,2000.0001220703125,0,0,1,0
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,42552004,42552004,71,149831,250.0,1,0.0,599.32,599.324,325,71,0,0,-45.94581604003906,36.47655487060547,-532.1123046875,503.2967529296875,32.20801544189453,48.66090774536133,633.4554443359375,971.4285888671875,0,0,0,0
sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,sub-005,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,43588036,43588036,71,153479,250.0,1,0.0,613.912,613.916,325,71,0,0,-38.06131362915039,29.8319149017334,-603.4187622070312,606.837646484375,19.745697021484375,59.640201568603516,459.5848693847656,1100.3663330078125,0,0,0,0
sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,sub-005,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,43958088,43958088,71,154782,250.0,1,0.0,619.124,619.128,325,71,0,0,-39.28065872192383,26.588626861572266,-778.7545776367188,649.3284912109375,19.92416763305664,38.00469207763672,509.4017333984375,1346.03173828125,0,0,0,0
sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,sub-005,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,43179928,43179928,71,152042,250.0,1,0.0,608.164,608.168,325,71,0,0,-38.707733154296875,25.7388858795166,-511.5994873046875,494.50555419921875,17.094125747680664,48.3578987121582,404.3956298828125,770.696044921875,0,0,0,0
sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,sub-006,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,49429348,49429348,71,174047,250.0,1,0.0,696.184,696.188,310,71,0,0,-2.8504717350006104,38.607452392578125,-399.26739501953125,661.0501098632812,23.341949462890625,97.3858413696289,264.71307373046875,996.3370361328125,0,0,0,0
sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,sub-006,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,40862772,40862772,71,143883,250.0,1,0.0,575.528,575.532,350,71,0,0,1.1193914413452148,43.36189651489258,-329.91448974609375,1000.0001220703125,24.214956283569336,117.88746643066406,282.7839050292969,1223.9317626953125,0,0,0,0
sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,sub-006,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,39594996,39594996,71,139419,250.0,1,0.0,557.672,557.676,349,71,0,0,8.47500228881836,45.99801254272461,-370.45172119140625,631.74609375,24.335634231567383,129.04505920410156,209.03541564941406,750.6715698242188,0,0,0,0
sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,sub-006,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,39807996,39807996,71,140169,250.0,1,0.0,560.672,560.676,350,71,0,0,12.877954483032227,49.77206802368164,-401.7093505859375,1000.0001220703125,25.43226432800293,136.5172576904297,266.17828369140625,1182.417724609375,0,0,0,0
sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,sub-007,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,42880308,42880308,71,150987,250.0,1,0.0,603.944,603.948,349,71,0,0,-24.584936141967773,38.766727447509766,-767.5213623046875,1000.0001220703125,26.514129638671875,116.21572875976562,318.925537109375,1357.75341796875,0,0,0,0
sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,sub-007,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,39568300,39568300,71,139325,250.0,1,0.0,557.296,557.3,346,71,0,0,-24.0609130859375,36.63014221191406,-778.7545776367188,602.4420776367188,28.039369583129883,79.95494842529297,382.4176025390625,1121.3675537109375,0,0,0,0
sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,sub-007,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,41319728,41319728,71,145492,250.0,1,0.0,581.964,581.968,348,71,0,0,-22.90511703491211,40.66891860961914,-768.009765625,1000.0001220703125,32.698936462402344,98.17293548583984,583.1502075195312,1348.9622802734375,0,0,0,0
sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,sub-007,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,42703660,42703660,71,150365,250.0,1,0.0,601.456,601.46,348,71,0,0,-23.711273193359375,41.86857986450195,-792.4298095703125,1000.0001220703125,29.55451011657715,158.4893035888672,439.07208251953125,1505.25048828125,0,0,0,0
sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,sub-008,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,REVIEW,43617856,43617856,71,153584,250.0,1,0.0,614.332,614.336,340,71,0,0,9.706151962280273,38.953556060791016,-886.6911010742188,1000.0001220703125,18.76864242553711,236.10130310058594,448.3516845703125,1886.691162109375,0,0,0,1
sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,sub-008,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,62170724,62170724,71,218911,250.0,1,0.0,875.64,875.644,350,71,0,0,10.226181983947754,46.18387985229492,-873.5042724609375,1000.0001220703125,35.1453857421875,194.06304931640625,1080.830322265625,1755.3115234375,0,0,0,0
sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,sub-008,ses-01,WorkingMemory,3,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-3_eeg.fdt,True,True,True,True,True,PASS,53810616,53810616,71,189474,250.0,1,0.0,757.892,757.896,350,71,0,0,43.22897720336914,50.95878982543945,-861.7826538085938,1000.0001220703125,42.937469482421875,136.69007873535156,1095.482421875,1720.635009765625,0,0,0,0
sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,sub-008,ses-01,WorkingMemory,4,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-4_eeg.fdt,True,True,True,True,True,PASS,93691032,93691032,71,329898,250.0,1,0.0,1319.588,1319.592,350,71,0,0,65.32743835449219,73.28362274169922,-1000.0,1000.0001220703125,68.36556243896484,173.6592559814453,1431.501953125,1829.54833984375,0,0,0,0
sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,sub-009,ses-01,WorkingMemory,1,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-1_eeg.fdt,True,True,True,True,True,PASS,43727764,43727764,71,153971,250.0,1,0.0,615.88,615.884,350,71,0,0,-41.66746520996094,25.674236297607422,-1000.0,501.8315734863281,19.03407096862793,65.96452331542969,366.78875732421875,1424.664306640625,0,0,0,0
sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,sub-009,ses-01,WorkingMemory,2,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-2_eeg.fdt,True,True,True,True,True,PASS,44643380,44643380,71,157195,250.0,1,0.0,628.776,628.78,350,71,0,0,-45.0350456237793,58.67884826660156,-1000.0,1000.0001220703125,52.12520980834961,194.79833984375,917.7045288085938,2000.0001220703125,0,0,0,0
