subject,file,set_path,status,fdt_path,channels,samples,trials,sampling_rate,file_size_mb,min,max,mean,std,error
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,163238,1,250.0,44.21,-810.989013671875,1000.0001220703125,-20.204721450805664,50.63671112060547,
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-001\ses-01\eeg\sub-001_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,153762,1,250.0,41.65,-696.7033081054688,774.3590087890625,-19.31743621826172,34.30708694458008,
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,181121,1,250.0,49.06,-782.6617431640625,991.2088623046875,-35.672889709472656,51.58069610595703,
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,190745,1,250.0,51.66,-819.7802734375,1000.0001220703125,-23.265779495239258,61.8422737121582,
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,191226,1,250.0,51.79,-1000.0,1000.0001220703125,-37.436458587646484,64.39605712890625,
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-002\ses-01\eeg\sub-002_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,181354,1,250.0,49.12,-899.3894653320312,1000.0001220703125,-38.94762420654297,63.6292724609375,
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,181791,1,250.0,49.24,-968.2539672851562,1000.0001220703125,-40.87100601196289,45.512939453125,
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,195999,1,250.0,53.09,-1000.0,578.5104370117188,-41.906986236572266,84.80831146240234,
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,196085,1,250.0,53.11,-1000.0,659.5848999023438,-50.109622955322266,70.58087921142578,
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-003\ses-01\eeg\sub-003_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,168221,1,250.0,45.56,-1000.0,496.9475402832031,-41.93649673461914,81.34529113769531,
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,168263,1,250.0,45.57,-1000.0,1000.0001220703125,-9.717220306396484,228.12820434570312,
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,184071,1,250.0,49.85,-1000.0,1000.0001220703125,112.78250122070312,463.2611083984375,
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,158672,1,250.0,42.98,-1000.0,1000.0001220703125,61.87380599975586,56.56907272338867,
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-004\ses-01\eeg\sub-004_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,165216,1,250.0,44.75,-1000.0,1000.0001220703125,17.68653678894043,132.72303771972656,
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,149831,1,250.0,40.58,-532.1123046875,503.2967529296875,-45.94581604003906,36.47655487060547,
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,153479,1,250.0,41.57,-603.4187622070312,606.837646484375,-38.06131362915039,29.8319149017334,
sub-005,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,154782,1,250.0,41.92,-778.7545776367188,649.3284912109375,-39.28065872192383,26.588626861572266,
sub-005,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-005\ses-01\eeg\sub-005_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,152042,1,250.0,41.18,-511.5994873046875,494.50555419921875,-38.707733154296875,25.7388858795166,
sub-006,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,174047,1,250.0,47.14,-399.26739501953125,661.0501098632812,-2.8504717350006104,38.607452392578125,
sub-006,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,143883,1,250.0,38.97,-329.91448974609375,1000.0001220703125,1.1193914413452148,43.36189651489258,
sub-006,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,139419,1,250.0,37.76,-370.45172119140625,631.74609375,8.47500228881836,45.99801254272461,
sub-006,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-006\ses-01\eeg\sub-006_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,140169,1,250.0,37.96,-401.7093505859375,1000.0001220703125,12.877954483032227,49.77206802368164,
sub-007,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,150987,1,250.0,40.89,-767.5213623046875,1000.0001220703125,-24.584936141967773,38.766727447509766,
sub-007,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,139325,1,250.0,37.74,-778.7545776367188,602.4420776367188,-24.0609130859375,36.63014221191406,
sub-007,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,145492,1,250.0,39.41,-768.009765625,1000.0001220703125,-22.90511703491211,40.66891860961914,
sub-007,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-007\ses-01\eeg\sub-007_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,150365,1,250.0,40.73,-792.4298095703125,1000.0001220703125,-23.711273193359375,41.86857986450195,
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,153584,1,250.0,41.6,-886.6911010742188,1000.0001220703125,9.706151962280273,38.953556060791016,
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,218911,1,250.0,59.29,-873.5042724609375,1000.0001220703125,10.226181983947754,46.18387985229492,
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,189474,1,250.0,51.32,-861.7826538085938,1000.0001220703125,43.22897720336914,50.95878982543945,
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-008\ses-01\eeg\sub-008_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,329898,1,250.0,89.35,-1000.0,1000.0001220703125,65.32743835449219,73.28362274169922,
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,153971,1,250.0,41.7,-1000.0,501.8315734863281,-41.66746520996094,25.674236297607422,
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,157195,1,250.0,42.58,-1000.0,1000.0001220703125,-45.0350456237793,58.67884826660156,
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,156203,1,250.0,42.31,-1000.0,1000.0001220703125,-41.448543548583984,37.406124114990234,
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\data\sub-009\ses-01\eeg\sub-009_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,159257,1,250.0,43.13,-571.6727905273438,298.6569519042969,-41.78742599487305,19.291259765625,
