subject,session,file,sampling_rate,channels,samples,trials,duration_seconds
sub-001,ses-01,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,163238,1,652.952
sub-001,ses-01,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,153762,1,615.048
sub-002,ses-01,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,181121,1,724.484
sub-002,ses-01,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,190745,1,762.98
sub-002,ses-01,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,191226,1,764.904
sub-002,ses-01,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,181354,1,725.416
sub-003,ses-01,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,181791,1,727.164
sub-003,ses-01,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,195999,1,783.996
sub-003,ses-01,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,196085,1,784.34
sub-003,ses-01,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,168221,1,672.884
sub-004,ses-01,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,168263,1,673.052
sub-004,ses-01,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,184071,1,736.284
sub-004,ses-01,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,158672,1,634.688
sub-004,ses-01,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,165216,1,660.864
sub-005,ses-01,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,149831,1,599.324
sub-005,ses-01,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,153479,1,613.916
sub-005,ses-01,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,154782,1,619.128
sub-005,ses-01,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,152042,1,608.168
sub-006,ses-01,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,174047,1,696.188
sub-006,ses-01,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,143883,1,575.532
sub-006,ses-01,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,139419,1,557.676
sub-006,ses-01,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,140169,1,560.676
sub-007,ses-01,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,150987,1,603.948
sub-007,ses-01,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,139325,1,557.3
sub-007,ses-01,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,145492,1,581.968
sub-007,ses-01,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,150365,1,601.46
sub-008,ses-01,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,153584,1,614.336
sub-008,ses-01,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,218911,1,875.644
sub-008,ses-01,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,189474,1,757.896
sub-008,ses-01,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,329898,1,1319.592
sub-009,ses-01,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,153971,1,615.884
sub-009,ses-01,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,157195,1,628.78
sub-009,ses-01,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,156203,1,624.812
sub-009,ses-01,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,159257,1,637.028
sub-010,ses-01,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,154877,1,619.508
sub-010,ses-01,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,148326,1,593.304
sub-010,ses-01,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,148571,1,594.284
sub-010,ses-01,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,147960,1,591.84
sub-011,ses-01,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,187847,1,751.388
sub-011,ses-01,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,191647,1,766.588
sub-011,ses-01,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,212631,1,850.524
sub-011,ses-01,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,203451,1,813.804
sub-012,ses-01,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,136499,1,545.996
sub-012,ses-01,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,140935,1,563.74
sub-012,ses-01,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,139549,1,558.196
sub-014,ses-01,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,1000.0,71,588801,1,588.801
sub-014,ses-01,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,1000.0,71,606465,1,606.465
sub-014,ses-01,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,1000.0,71,595967,1,595.967
sub-015,ses-01,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,299520,1,599.04
sub-015,ses-01,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,281601,1,563.202
sub-015,ses-01,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,277759,1,555.518
sub-016,ses-01,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,388097,1,776.194
sub-016,ses-01,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,71,345857,1,691.714
sub-016,ses-01,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,71,283391,1,566.782
sub-017,ses-01,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,71,278273,1,556.546
