subject,file,sampling_rate,channels,samples,reference,global_mean,global_std,min,max,p01,p99,median_channel_std,max_channel_std,max_std_channel
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,163238,[ 99 111 109 109 111 110],-20.204721450805664,50.63671112060547,-810.989013671875,1000.0001220703125,-129.67030334472656,125.77781677246094,36.098533630371094,162.2525177001953,FC6
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,153762,[ 99 111 109 109 111 110],-19.31743621826172,34.30708694458008,-696.7033081054688,774.3590087890625,-96.94746398925781,70.57390594482422,30.30324935913086,55.86240768432617,TP8
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,181121,[ 99 111 109 109 111 110],-35.672889709472656,51.58069610595703,-782.6617431640625,991.2088623046875,-161.41632080078125,108.66915130615234,37.88561248779297,100.72063446044922,REYE
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,190745,[ 99 111 109 109 111 110],-23.265779495239258,61.8422737121582,-819.7802734375,1000.0001220703125,-190.72036743164062,168.25401306152344,42.60980224609375,125.7527084350586,OZ
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,191226,[ 99 111 109 109 111 110],-37.436458587646484,64.39605712890625,-1000.0,1000.0001220703125,-216.6055908203125,147.74118041992188,46.8305549621582,125.22232055664062,REYE
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,181354,[ 99 111 109 109 111 110],-38.94762420654297,63.6292724609375,-899.3894653320312,1000.0001220703125,-201.95358276367188,167.76560974121094,52.44173812866211,163.54562377929688,TP7
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,181791,[ 99 111 109 109 111 110],-40.87100601196289,45.512939453125,-968.2539672851562,1000.0001220703125,-185.3479461669922,80.3419189453125,34.1986198425293,72.61314392089844,P3
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,195999,[ 99 111 109 109 111 110],-41.906986236572266,84.80831146240234,-1000.0,578.5104370117188,-333.82171630859375,116.97195434570312,34.018436431884766,102.12632751464844,O2
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,196085,[ 99 111 109 109 111 110],-50.109622955322266,70.58087921142578,-1000.0,659.5848999023438,-246.3980255126953,145.78758239746094,31.115041732788086,140.2339630126953,O1
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,71,168221,[ 99 111 109 109 111 110],-41.93649673461914,81.34529113769531,-1000.0,496.9475402832031,-321.6116943359375,133.57757568359375,32.14842987060547,124.41943359375,REYE
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,71,168263,[ 99 111 109 109 111 110],-9.717220306396484,228.12820434570312,-1000.0,1000.0001220703125,-706.9596557617188,1000.0001220703125,94.63286590576172,828.416015625,REYE
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,71,184071,[ 99 111 109 109 111 110],112.78250122070312,463.2611083984375,-1000.0,1000.0001220703125,-1000.0,1000.0001220703125,113.01078033447266,881.1254272460938,O2
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,71,158672,[ 99 111 109 109 111 110],61.87380599975586,56.56907272338867,-1000.0,1000.0001220703125,-48.10741424560547,204.39564514160156,26.5388240814209,135.55361938476562,REYE
