subject,events,event_types,trials,eeg_files,mean_signal_std,min_signal_std,max_signal_std,max_flat_channels,max_channels_over_5x,max_channels_over_10x
sub-001,700,7,25,2,42.47189903259277,34.30708694458008,50.63671112060547,0,0,0
sub-002,1400,6,25,4,60.362074851989746,51.58069610595703,64.39605712890625,0,0,0
sub-003,1401,7,26,4,70.56185531616211,45.512939453125,84.80831146240234,0,0,0
sub-004,1392,7,26,4,220.17035579681396,56.56907272338867,463.2611083984375,0,4,3
sub-005,1300,5,25,4,29.658995628356934,25.7388858795166,36.47655487060547,0,0,0
sub-006,1359,7,25,4,44.43485736846924,38.607452392578125,49.77206802368164,0,0,0
sub-007,1391,7,25,4,39.48359203338623,36.63014221191406,41.86857986450195,0,0,0
sub-008,1390,7,25,4,52.34496212005615,38.953556060791016,73.28362274169922,0,1,0
sub-009,1401,7,26,4,35.262617111206055,19.291259765625,58.67884826660156,0,5,1
sub-010,1400,7,25,4,30.378052711486816,28.627172470092773,33.118812561035156,0,0,0
sub-011,1400,7,25,4,19.426551342010498,17.012405395507812,22.747615814208984,0,0,0
sub-012,1050,6,25,3,52.02363077799479,50.80910110473633,53.15056610107422,0,0,0
sub-014,1017,7,25,3,39.714134216308594,34.25751876831055,43.78190994262695,0,0,0
sub-015,1040,7,25,3,30.59796078999837,24.750152587890625,40.60906982421875,0,0,0
sub-016,1050,7,25,3,36.83110046386719,33.69614028930664,40.403106689453125,0,0,0
sub-017,1030,7,25,3,38.174065907796226,36.78330993652344,40.391422271728516,0,0,0
sub-018,1050,7,25,3,22.35262107849121,19.366315841674805,27.97063446044922,0,0,0
sub-019,1050,7,25,3,22.566441853841145,20.337961196899414,24.34954261779785,0,0,0
sub-020,1050,7,25,3,21.989407857259113,20.70140838623047,23.88030242919922,0,0,0
sub-021,1051,7,26,3,28.496680577596027,25.84554100036621,31.782894134521484,0,0,0
sub-022,1892,7,25,6,0.8177849551041921,0.564093291759491,1.4914289712905884,0,6,2
sub-023,1751,7,26,5,0.5236940383911133,0.4113033711910248,0.6681010723114014,0,0,0
sub-024,1050,6,25,3,41.45036061604818,38.51338577270508,43.29465103149414,0,0,0
