subject,trials,accuracy,accuracy_percent
sub-024,75,0.41333333333333333,41.333333333333336
sub-014,75,0.8933333333333333,89.33333333333333
sub-006,100,0.9,90.0
sub-008,100,0.92,92.0
sub-022,136,0.9264705882352942,92.64705882352942
sub-004,101,0.9306930693069307,93.06930693069307
sub-019,75,0.9333333333333333,93.33333333333333
sub-001,50,0.94,94.0
sub-015,75,0.9466666666666667,94.66666666666667
sub-011,100,0.95,95.0
sub-010,100,0.95,95.0
sub-016,75,0.96,96.0
sub-018,75,0.96,96.0
sub-005,100,0.96,96.0
sub-023,126,0.9603174603174603,96.03174603174604
sub-009,101,0.9702970297029703,97.02970297029702
sub-017,75,0.9726027397260274,97.26027397260275
sub-020,75,0.9733333333333334,97.33333333333334
sub-021,76,0.9868421052631579,98.68421052631578
sub-007,100,0.99,99.0
sub-003,101,0.9900990099009901,99.00990099009901
sub-002,100,1.0,100.0
sub-012,75,1.0,100.0
