subject,accuracy,accuracy_percent,behavioral_flag
sub-024,0.4133333333333333,41.33333333333333,CRITICAL_REVIEW
sub-014,0.8933333333333333,89.33333333333333,MODERATE_REVIEW
sub-006,0.9,90.0,NORMAL
sub-008,0.92,92.0,NORMAL
sub-022,0.9264705882352942,92.64705882352942,NORMAL
sub-004,0.9306930693069309,93.06930693069309,NORMAL
sub-019,0.9333333333333332,93.33333333333333,NORMAL
sub-001,0.94,94.0,NORMAL
sub-015,0.9466666666666668,94.66666666666667,NORMAL
sub-011,0.95,95.0,NORMAL
sub-010,0.95,95.0,NORMAL
sub-016,0.96,96.0,NORMAL
sub-018,0.96,96.0,NORMAL
sub-005,0.96,96.0,NORMAL
sub-023,0.9603174603174603,96.03174603174604,NORMAL
sub-009,0.9702970297029704,97.02970297029704,NORMAL
sub-017,0.9726027397260274,97.26027397260275,NORMAL
sub-020,0.9733333333333334,97.33333333333334,NORMAL
sub-021,0.986842105263158,98.6842105263158,NORMAL
sub-007,0.99,99.0,NORMAL
sub-003,0.99009900990099,99.009900990099,NORMAL
sub-002,1.0,100.0,NORMAL
sub-012,1.0,100.0,NORMAL
