subject,run,trial,memory_cond,probe_role,probe_letter,response_role,feedback_role,feedback_value,rt_ms,click_count,response_feedback_consistent,behavior,status,issues
sub-024,1,1,5,probe_target,G,ignored_incorrect,feedback_incorrect,wrong,731.9359075499997,2,True,wrong,OK,
sub-024,1,2,5,probe_not_shown,T,ignored_correct,feedback_correct,correct,311.4791138999972,2,True,correct,OK,
sub-024,1,3,3,probe_target,V,ignored_incorrect,feedback_incorrect,wrong,510.82974784999533,2,True,wrong,OK,
sub-024,1,4,7,probe_target,M,ignored_incorrect,feedback_incorrect,wrong,308.8784533500002,2,True,wrong,OK,
sub-024,1,5,7,probe_not_shown,C,ignored_correct,feedback_correct,correct,320.6314385499936,2,True,correct,OK,
sub-024,1,6,7,probe_not_shown,B,ignored_correct,feedback_correct,correct,256.7152041999798,2,True,correct,OK,
sub-024,1,7,3,probe_not_shown,S,ignored_correct,feedback_correct,correct,300.1262303500116,2,True,correct,OK,
sub-024,1,8,5,probe_target,L,ignored_incorrect,feedback_incorrect,wrong,278.6207681000087,2,True,wrong,OK,
sub-024,1,9,7,probe_target,B,ignored_incorrect,feedback_incorrect,wrong,288.42325785000867,2,True,wrong,OK,
sub-024,1,10,7,probe_target,Z,ignored_incorrect,feedback_incorrect,wrong,310.57888529999764,2,True,wrong,OK,
sub-024,1,11,5,probe_target,J,ignored_incorrect,feedback_incorrect,wrong,299.82615410001017,2,True,wrong,OK,
sub-024,1,12,7,probe_not_shown,F,ignored_correct,feedback_correct,correct,281.47149215001264,2,True,correct,OK,
sub-024,1,13,3,probe_target,B,ignored_incorrect,feedback_incorrect,wrong,584.7985355000128,2,True,wrong,OK,
sub-024,1,14,3,probe_not_shown,L,ignored_correct,feedback_correct,correct,393.2498832499841,2,True,correct,OK,
sub-024,1,15,5,probe_target,L,ignored_incorrect,feedback_incorrect,wrong,466.2684295500221,2,True,wrong,OK,
sub-024,1,16,5,probe_not_shown,Q,ignored_correct,feedback_correct,correct,467.66878519998863,2,True,correct,OK,
sub-024,1,17,5,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,712.4309534499771,2,True,wrong,OK,
sub-024,1,18,7,probe_not_shown,L,ignored_correct,feedback_correct,correct,272.5692310500017,2,True,correct,OK,
sub-024,1,19,3,probe_target,C,ignored_incorrect,feedback_incorrect,wrong,554.040723150014,2,True,wrong,OK,
sub-024,1,20,3,probe_target,D,ignored_incorrect,feedback_incorrect,wrong,504.0780329499976,2,True,wrong,OK,
sub-024,1,21,3,probe_target,J,ignored_incorrect,feedback_incorrect,wrong,429.30904205000843,2,True,wrong,OK,
sub-024,1,22,5,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,427.7586482500192,2,True,wrong,OK,
sub-024,1,23,7,probe_not_shown,G,ignored_correct,feedback_correct,correct,358.5410674000159,2,True,correct,OK,
sub-024,1,24,5,probe_not_shown,J,ignored_correct,feedback_correct,correct,490.87467935000313,2,True,correct,OK,
sub-024,1,25,3,probe_target,V,ignored_incorrect,feedback_incorrect,wrong,562.4928700000164,2,True,wrong,OK,
sub-024,2,1,7,probe_target,S,ignored_incorrect,feedback_incorrect,wrong,746.0398454500009,2,True,wrong,OK,
sub-024,2,2,7,probe_target,G,ignored_incorrect,feedback_incorrect,wrong,335.9354858000006,2,True,wrong,OK,
sub-024,2,3,3,probe_not_shown,B,ignored_correct,feedback_correct,correct,445.01324290000775,2,True,correct,OK,
sub-024,2,4,5,probe_target,X,ignored_incorrect,feedback_incorrect,wrong,560.2425654499966,2,True,wrong,OK,
sub-024,2,5,5,probe_target,P,ignored_incorrect,feedback_incorrect,wrong,318.7311077999984,2,True,wrong,OK,
sub-024,2,6,3,probe_target,P,ignored_incorrect,feedback_incorrect,wrong,456.3661318999948,2,True,wrong,OK,
sub-024,2,7,5,probe_not_shown,L,ignored_correct,feedback_correct,correct,207.55281614999694,2,True,correct,OK,
sub-024,2,8,7,probe_target,X,ignored_incorrect,feedback_incorrect,wrong,391.19954889999644,2,True,wrong,OK,
sub-024,2,9,3,probe_target,S,ignored_incorrect,feedback_incorrect,wrong,299.7762842999946,2,True,wrong,OK,
sub-024,2,10,3,probe_target,L,ignored_incorrect,feedback_incorrect,wrong,251.51400299998932,2,True,wrong,OK,
sub-024,2,11,7,probe_not_shown,Z,ignored_correct,feedback_correct,correct,380.5468380999955,2,True,correct,OK,
sub-024,2,12,5,probe_not_shown,Q,ignored_correct,feedback_correct,correct,297.77577525001834,2,True,correct,OK,
sub-024,2,13,7,probe_not_shown,X,ignored_correct,feedback_correct,correct,300.4264497999975,2,True,correct,OK,
sub-024,2,14,7,probe_target,Z,ignored_incorrect,feedback_incorrect,wrong,258.9658993000048,2,True,wrong,OK,
sub-024,2,15,5,probe_not_shown,Z,ignored_correct,feedback_correct,correct,259.11593744999846,2,True,correct,OK,
sub-024,2,16,3,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,438.0614738999866,2,True,wrong,OK,
sub-024,2,17,7,probe_not_shown,Y,ignored_correct,feedback_correct,correct,189.44820904999506,2,True,correct,OK,
sub-024,2,18,5,probe_target,K,ignored_incorrect,feedback_incorrect,wrong,414.55549229998724,2,True,wrong,OK,
sub-024,2,19,3,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,422.50751584998216,2,True,wrong,OK,
sub-024,2,20,7,probe_not_shown,L,ignored_correct,feedback_correct,correct,393.5501470500021,2,True,correct,OK,
sub-024,2,21,3,probe_not_shown,X,ignored_correct,feedback_correct,correct,304.4774806500063,2,True,correct,OK,
sub-024,2,22,5,probe_not_shown,J,ignored_correct,feedback_correct,correct,245.46246305000386,2,True,correct,OK,
sub-024,2,23,5,probe_target,Q,ignored_incorrect,feedback_incorrect,wrong,390.64940890000435,2,True,wrong,OK,
sub-024,2,24,3,probe_target,K,ignored_incorrect,feedback_incorrect,wrong,333.6349004000076,2,True,wrong,OK,
sub-024,2,25,3,probe_not_shown,Q,ignored_correct,feedback_correct,correct,279.27106634998927,2,True,correct,OK,
sub-024,3,1,3,probe_target,B,ignored_incorrect,feedback_incorrect,wrong,457.8665137000007,2,True,wrong,OK,
sub-024,3,2,7,probe_target,G,ignored_incorrect,feedback_incorrect,wrong,227.0077668999984,2,True,wrong,OK,
sub-024,3,3,7,probe_target,C,ignored_incorrect,feedback_incorrect,wrong,157.8401656999995,2,True,wrong,OK,
sub-024,3,4,5,probe_not_shown,G,ignored_correct,feedback_correct,correct,410.6544996500015,2,True,correct,OK,
sub-024,3,5,7,probe_target,P,ignored_incorrect,feedback_incorrect,wrong,230.00853050000296,2,True,wrong,OK,
sub-024,3,6,5,probe_not_shown,V,ignored_correct,feedback_correct,correct,236.6102104500169,2,True,correct,OK,
sub-024,3,7,5,probe_target,H,ignored_incorrect,feedback_incorrect,wrong,411.7047668500163,2,True,wrong,OK,
sub-024,3,8,3,probe_not_shown,Z,ignored_correct,feedback_correct,correct,352.0895965499949,2,True,correct,OK,
sub-024,3,9,3,probe_target,K,ignored_incorrect,feedback_incorrect,wrong,416.20591229999263,2,True,wrong,OK,
sub-024,3,10,5,probe_not_shown,B,ignored_correct,feedback_correct,correct,386.24828895000974,2,True,correct,OK,
sub-024,3,11,7,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,1158.74486685,2,True,wrong,OK,
sub-024,3,12,5,probe_target,Q,ignored_incorrect,feedback_incorrect,wrong,391.2995743500069,2,True,wrong,OK,
sub-024,3,13,3,probe_not_shown,Y,ignored_correct,feedback_correct,correct,466.31866454996634,2,True,correct,OK,
sub-024,3,14,3,probe_target,T,ignored_incorrect,feedback_incorrect,wrong,402.1523360499996,2,True,wrong,OK,
sub-024,3,15,5,probe_target,F,ignored_incorrect,feedback_incorrect,wrong,275.3200609500054,2,True,wrong,OK,
sub-024,3,16,7,probe_not_shown,P,ignored_correct,feedback_correct,correct,339.5864148500259,2,True,correct,OK,
sub-024,3,17,7,probe_target,N,ignored_incorrect,feedback_incorrect,wrong,271.06897915000445,2,True,wrong,OK,
sub-024,3,18,7,probe_target,W,ignored_incorrect,feedback_incorrect,wrong,269.018457350001,2,True,wrong,OK,
sub-024,3,19,7,probe_not_shown,Y,ignored_correct,feedback_correct,correct,230.55867050000234,2,True,correct,OK,
sub-024,3,20,7,probe_target,V,ignored_incorrect,feedback_incorrect,wrong,426.3584958499996,2,True,wrong,OK,
sub-024,3,21,3,probe_not_shown,F,ignored_correct,feedback_correct,correct,575.5464598500112,2,True,correct,OK,
sub-024,3,22,3,probe_target,R,ignored_incorrect,feedback_incorrect,wrong,359.19140380001045,2,True,wrong,OK,
sub-024,3,23,3,probe_not_shown,M,ignored_correct,feedback_correct,correct,432.6100867000059,2,True,correct,OK,
sub-024,3,24,5,probe_target,W,ignored_incorrect,feedback_incorrect,wrong,428.10894130001543,2,True,wrong,OK,
sub-024,3,25,5,probe_not_shown,H,ignored_correct,feedback_correct,correct,426.7085849000141,2,True,correct,OK,
