subject,total_trials,mean_events,min_events,max_events,non14_trials,bad_trials,non14_percent
sub-005,100,13.0,13,13,100,0,100.0
sub-007,100,13.91,13,14,9,0,9.0
sub-014,75,13.56,4,14,4,4,5.333333333333334
sub-006,100,13.59,4,14,5,4,5.0
sub-017,75,13.733333333333333,4,14,2,2,2.666666666666667
sub-022,136,13.911764705882353,4,14,3,3,2.2058823529411766
sub-004,101,13.782178217821782,2,14,2,1,1.9801980198019802
sub-015,75,13.866666666666667,4,14,1,1,1.3333333333333335
sub-021,76,13.828947368421053,1,14,1,0,1.3157894736842104
sub-008,100,13.9,4,14,1,1,1.0
sub-003,101,13.871287128712872,1,14,1,0,0.9900990099009901
sub-009,101,13.871287128712872,1,14,1,0,0.9900990099009901
sub-023,126,13.896825396825397,1,14,1,0,0.7936507936507936
sub-001,50,14.0,14,14,0,0,0.0
sub-002,100,14.0,14,14,0,0,0.0
sub-016,75,14.0,14,14,0,0,0.0
sub-012,75,14.0,14,14,0,0,0.0
sub-010,100,14.0,14,14,0,0,0.0
sub-011,100,14.0,14,14,0,0,0.0
sub-020,75,14.0,14,14,0,0,0.0
sub-019,75,14.0,14,14,0,0,0.0
sub-018,75,14.0,14,14,0,0,0.0
sub-024,75,14.0,14,14,0,0,0.0
